ticker,close,avg_value_50,total_score,grade,trend_score,base_score,tightness_score,volume_dryup_score,pivot_score,rs_score,vsa_score,obv_cmf_score,macd_score,vp_score,rs_20,rs_60,atr14_pct,range10_pct,close_stdev5_pct,base_depth_pct,distance_to_pivot,pivot,ma20,ma50,ma100,ma150,ma200,cmf20,macd,signal,histogram,short_poc,short_val,short_vah,mid_poc,mid_val,mid_vah,main_support,main_resistance,warnings
PCH,22.1,2286882800.0,17,A+,2,2,2,1,1,2,2,2,1,2,-0.023929176445763423,0.09210734771920248,0.015141964604647576,0.07239819004524876,0.006137855188318423,0.10714285714285708,0.013574660633484033,22.4,20.965,20.57,19.886000000000003,19.984,19.749,0.15761144710715036,0.4433543323132092,0.313468284642531,0.12988604767067818,20.964,20.313333333333336,22.233333333333334,19.980666666666668,19.753333333333334,21.034666666666666,20.313333333333336,22.4,unadjusted_price_data;using_repo_liquid_universe_file
TAL,45.1,14559053300.0,15,A,2,2,2,2,1,1,2,0,2,1,-0.12682772717040125,0.008624901513087035,0.02658740963740283,0.07538802660753893,0.009088204670464199,0.10064935064935077,0.024390243902439056,46.2,44.7975,44.209,46.3095,46.39233333333333,43.345,0.31776964091148896,0.11498916018983607,0.07272873205008158,0.04226042813975449,44.43875,44.3875,45.583333333333336,44.4815,44.051,49.832,44.3875,46.2,unadjusted_price_data;using_repo_liquid_universe_file
NTL,16.6,8870943800.0,15,A,0,2,2,2,1,1,2,2,2,1,-0.08257115175440544,-0.03928561415763032,0.023710009913752265,0.054216867469879644,0.017355253362658037,0.10746268656716422,0.009036144578313166,16.75,16.0375,16.211,16.964,17.466,18.108999999999998,0.007426082360712077,-0.023295480047153205,-0.07999545852684453,0.056699978479691326,16.164250000000003,15.940000000000001,16.400000000000002,19.0625,16.75,19.416666666666668,15.940000000000001,16.75,unadjusted_price_data;using_repo_liquid_universe_file
PTB,50.1,7579087300.0,15,A,1,2,2,2,1,0,2,2,2,1,-0.09819906567033554,-0.02277407520569874,0.025184879535000898,0.045908183632734474,0.006106610195814631,0.1211538461538461,0.037924151696606755,52.0,49.3175,50.903,50.221,50.12733333333333,50.928999999999995,0.3261934234772649,-0.0619270729789676,-0.23840079315627563,0.17647372017730803,48.9615,48.93933333333334,51.333333333333336,55.592999999999996,49.228,57.0,48.93933333333334,52.0,unadjusted_price_data;using_repo_liquid_universe_file
PPT,15.5,3294370200.0,15,A,2,2,1,2,1,1,2,1,1,2,-0.10076900328559035,0.00017924314403905406,0.015376959154117452,0.03225806451612903,0.0031606319260328365,0.06211180124223613,0.03870967741935493,16.1,15.575,15.446,15.341,15.026666666666667,14.7375,0.40940328593554104,0.00985577012406047,0.04179405115095649,-0.03193828102689602,15.434666666666667,15.432,15.800000000000002,15.132000000000001,15.128,15.504000000000001,15.432,16.1,unadjusted_price_data;using_repo_liquid_universe_file
VPI,61.4,140548730800.0,14,A,2,2,1,0,0,2,1,2,2,2,-0.0394364228225752,0.13477089912107165,0.025952537599789157,0.0667752442996743,0.015635179153097256,0.10950080515297914,0.011400651465798092,62.1,58.894999999999996,58.468,57.556,56.944,56.429,0.09316585131629276,0.7983020917196626,0.5619392877174503,0.23636280400221232,61.14333333333333,58.13333333333333,61.166666666666664,61.19183333333333,56.83433333333333,61.23333333333333,58.13333333333333,62.1,unadjusted_price_data;using_repo_liquid_universe_file
LPB,47.3,74475188100.0,14,A,2,1,1,2,1,2,2,1,0,2,0.0216157718438148,0.11329782390967869,0.03434317061020408,0.07716701902748412,0.012443077352673653,0.18263473053892212,0.059196617336152314,50.1,46.445,43.851000000000006,43.44349999999999,45.66766666666667,44.15175,-0.06085465628943462,0.8578280452676594,1.0611673430677773,-0.20333929780011784,43.087500000000006,43.050000000000004,49.04999999999999,42.42375,41.525999999999996,44.60399999999999,43.050000000000004,50.1,unadjusted_price_data;using_repo_liquid_universe_file
ABB,14.9,13608979000.0,14,A,2,1,2,2,1,2,2,0,1,1,-0.1005057530223401,0.06681749264673864,0.021430291260907446,0.046979865771812034,0.0042446680000474135,0.15032679738562096,0.02684563758389264,15.3,14.719999999999999,14.187999999999999,14.615,14.135333333333335,13.562500000000002,-0.006532520453612655,0.1986967946573337,0.19773355124400052,0.0009632434133331758,14.5725,14.422,14.966666666666667,15.703999999999997,14.809333333333331,16.099999999999998,14.422,15.3,unadjusted_price_data;using_repo_liquid_universe_file
