asof_date,symbol,fa_pass,fa_fail_reasons,sales_yoy,earnings_yoy,roe,debt_to_equity,margin_yoy,eps_yoy,earnings_accel_flag,tech_breakout_20d,tech_ma_stacked,tech_both,close,ma5,ma10,ma20,high20,liquidity_adv20,volume,vol_med20,rs_3m,rs_6m,rs_3m_pct,rs_6m_pct,pass_rs,tier,tag
2026-02-27,AAA,False,sales_yoy<15.0; roe<15.0; earnings_yoy<20.0; earnings_accel_2step=False,-42.948375392032766,12.94603612018783,6.134207379773286,1.1205981630634545,26.56572584632686,9.656345992832938,0,False,True,False,7900.0,8000.0,7910.0,7896.5,8060.000000000001,10549263400.0,1323100.0,1335800.0,-0.21759446299913765,-0.1389193120237875,17.20430107526882,47.31182795698925,False,,
2026-02-27,AAS,False,missing sales_yoy; missing roe; missing earnings_yoy; debt_to_equity>1.5; earnings_accel=False; profit_positive=False,,,,1.6051026942584794,,,0,False,False,False,10400.0,10380.0,10220.0,10235.0,10700.0,14896990500.0,1616600.0,1218250.0,0.045619067656253565,-0.5649534783374963,77.95698924731182,0.5376344086021506,True,,
2026-02-27,ABB,False,missing sales_yoy; missing roe; missing debt_to_equity; earnings_accel_2step=False,,128.10195482361033,,,,,1,False,False,False,13900.0,13940.0,13900.0,13920.0,14300.0,17396570500.0,1193500.0,1064650.0,-0.10632958950044213,0.02078545876945892,46.774193548387096,72.04301075268818,False,,
2026-02-27,ACB,False,missing sales_yoy; missing roe; earnings_yoy<20.0; missing debt_to_equity; earnings_accel_2step=False,,-38.73570961533554,,,,,0,False,False,False,24550.0,24300.0,23880.0,23880.0,25050.0,379205320500.0,11051000.0,14211850.0,-0.14227198865585544,-0.26122317712066,36.55913978494624,26.881720430107524,False,,
2026-02-27,ACV,False,earnings_yoy<20.0; earnings_accel_2step=False; gross_margin_yoy<0.0,18.744749991258796,1.4786497326426007,17.24286211710869,0.3001393002975607,-4.763118509454889,-38.33491411369558,0,False,True,False,53300.0,54480.0,54210.0,54005.0,59400.0,152233445000.0,1810600.0,2385600.0,-0.15098654484584695,-0.26896076431199534,32.795698924731184,25.268817204301076,False,,
2026-02-27,AGR,False,missing sales_yoy; missing roe; missing earnings_yoy; debt_to_equity>1.5; earnings_accel=False; profit_positive=False,,,,1.7266470666785658,,,0,False,True,False,16700.0,16700.0,16385.0,16207.5,16750.0,11438592250.0,649300.0,662050.0,-0.05877975932321866,-0.16325911535281068,58.06451612903226,44.623655913978496,False,,
2026-02-27,ANV,True,,55.70947063294729,4153.584149062203,28.338958648339155,0.6515260277885588,97.0512800625008,4153.584149062203,1,False,False,False,27050.0,27440.0,26875.0,27452.5,29300.0,59886271750.0,1946900.0,1767050.0,-0.24639648258298097,0.009546651719777532,12.903225806451612,68.27956989247312,False,W,FA
2026-02-27,BAF,False,sales_yoy<15.0; roe<15.0; earnings_yoy<20.0; debt_to_equity>1.5; earnings_accel_2step=False; profit_positive=False; gross_margin_yoy<0.0,-13.983214879437256,-344.6309248808217,2.433713305817737,1.661191636951828,-124.827640570824,-292.32869398486,0,False,True,False,37700.0,38000.0,37895.0,37407.5,38550.0,107330323250.0,1490600.0,2427050.0,0.04933547703304031,-0.06865718204119986,78.49462365591397,57.52688172043011,True,,
2026-02-27,BCM,False,sales_yoy<15.0; roe<15.0; earnings_yoy<20.0; debt_to_equity>1.5; earnings_accel_2step=False,-31.173403486992324,-9.556923488785518,14.96080307206459,1.612139569969697,12.783203931657926,-9.556923488785518,0,False,False,False,67300.0,65840.0,64521.021672679155,66001.02941370565,72739.93808376076,96246021342.14636,1208300.0,1296300.0,-0.11432110269058504,-0.1131699513245974,45.16129032258064,50.0,False,,
2026-02-27,BFC,False,sales_yoy<15.0; earnings_yoy<20.0; earnings_accel_2step=False; gross_margin_yoy<0.0,-0.1852753273508645,-44.71739269088473,18.2794613941891,1.3392809400009524,-9.62065577095621,-44.71739269088473,0,True,True,True,73600.0,67940.0,62350.0,55520.0,70000.0,20118577000.0,318500.0,318450.0,0.5289592568787957,0.4149407015566837,95.6989247311828,93.01075268817203,True,,
