strategy,variant,horizon,median_yearly_alpha,sharpe,trade_count
FA_only,FA_only,8,0.035505309690226916,0.3987402614549467,175
FA_only,FA_only,10,0.025472349760805535,0.3853034323089407,175
FA_only,FA_only,13,0.060166983476950486,0.40951576393996597,175
Hybrid,c_gt_ma10,8,0.041519439464645425,0.4258426286044865,174
Hybrid,c_gt_ma10,10,0.02170192820877792,0.40948765654653047,174
Hybrid,c_gt_ma10,13,0.032657753205698414,0.4444514401850037,174
Hybrid,c_gt_ma10_and_ma20,8,0.041519439464645425,0.4447643409906237,170
Hybrid,c_gt_ma10_and_ma20,10,0.02170192820877792,0.4363718191435302,170
Hybrid,c_gt_ma10_and_ma20,13,0.07293179344198264,0.4496502303770708,170
Hybrid,c_gt_ma20,8,0.041519439464645425,0.45964257432777467,170
Hybrid,c_gt_ma20,10,0.02170192820877792,0.4386483583185473,170
Hybrid,c_gt_ma20,13,0.08019244165557732,0.46033114816707005,170
Hybrid,c_gt_ma5,8,0.041519439464645425,0.42382720675762076,175
Hybrid,c_gt_ma5,10,0.02170192820877792,0.4007157212030695,175
Hybrid,c_gt_ma5,13,0.032657753205698414,0.43527087325392555,175
Hybrid,c_gt_ma5_and_ma10,8,0.041519439464645425,0.4338855707821127,174
Hybrid,c_gt_ma5_and_ma10,10,0.02170192820877792,0.4112963236963148,174
Hybrid,c_gt_ma5_and_ma10,13,0.032657753205698414,0.4478205805492434,174
Hybrid,c_gt_ma5_and_ma20,8,0.02388987068584525,0.46958407734650054,168
Hybrid,c_gt_ma5_and_ma20,10,0.02170192820877792,0.4457676665541182,168
Hybrid,c_gt_ma5_and_ma20,13,0.04460321621350205,0.4694269337230358,168
Hybrid,ma10_gt_ma20_gt_ma5,8,0.02516415577447262,0.30608698008278745,105
Hybrid,ma10_gt_ma20_gt_ma5,10,0.024793533790893163,0.2681955452072626,105
Hybrid,ma10_gt_ma20_gt_ma5,13,0.06306634855029847,0.35380497028982033,105
Hybrid,ma10_gt_ma5_gt_ma20,8,0.01680319281346121,0.38567107380407173,133
Hybrid,ma10_gt_ma5_gt_ma20,10,0.015193641987004125,0.39490340976087634,133
Hybrid,ma10_gt_ma5_gt_ma20,13,0.020729972063655067,0.39138366871640373,133
Hybrid,ma20_gt_ma10_gt_ma5,8,0.02596457781370054,0.3200773718260039,136
Hybrid,ma20_gt_ma10_gt_ma5,10,0.021204779731435752,0.32117823973798054,136
Hybrid,ma20_gt_ma10_gt_ma5,13,0.008851555105099329,0.3567077085239387,136
Hybrid,ma20_gt_ma5_gt_ma10,8,0.028874307429585855,0.3900358450941497,123
Hybrid,ma20_gt_ma5_gt_ma10,10,0.03206944141788315,0.40028408473394295,123
Hybrid,ma20_gt_ma5_gt_ma10,13,0.024325458590521265,0.4600043819681638,123
Hybrid,ma5_gt_ma10_gt_ma20,8,0.05105012551356913,0.44913736777922564,165
Hybrid,ma5_gt_ma10_gt_ma20,10,0.04618245007401395,0.4244852834160407,165
Hybrid,ma5_gt_ma10_gt_ma20,13,0.08609112013256198,0.4418592648568459,165
Hybrid,ma5_gt_ma20_gt_ma10,8,0.014186236104469119,0.4373547631535849,115
Hybrid,ma5_gt_ma20_gt_ma10,10,0.01755697917572252,0.39566114791347273,115
Hybrid,ma5_gt_ma20_gt_ma10,13,0.02354727530310652,0.37488596418116715,115
Hybrid,c_gt_all,8,,,0
Hybrid,c_gt_all,10,,,0
Hybrid,c_gt_all,13,,,0
