strategy,variant,symbol,report_date,horizon_weeks,entry_date,exit_date,entry_price,exit_price,year,ret,bench_ret,alpha
Hybrid,breakout_20d,BID,2015-06-30,8,2015-07-02,2015-08-27,11224.922754234443,11348.879557309372,2015,0.01104299831623945,-0.08236750866765741,0.09341050698389686
Hybrid,breakout_20d,BID,2015-06-30,10,2015-07-02,2015-09-11,11224.922754234443,12554.070306758154,2015,0.11841039636752138,-0.06432227175169236,0.18273266811921374
Hybrid,breakout_20d,BID,2015-06-30,13,2015-07-02,2015-10-02,11224.922754234443,11650.177244671568,2015,0.037884847829059876,-0.07163612349347881,0.10952097132253868
Hybrid,breakout_20d,BID,2015-06-30,16,2015-07-02,2015-10-23,11224.922754234443,12353.205181850024,2015,0.10051583002564102,-0.006537890044576611,0.10705372007021763
Hybrid,breakout_20d,BID,2015-06-30,20,2015-07-02,2015-11-20,11224.922754234443,11800.826088352664,2015,0.05130577258546998,-0.0020472180947663787,0.053352990680236356
Hybrid,breakout_20d,DGC,2015-06-30,8,2015-08-03,2015-09-29,4848.390352187277,6051.891503439438,2015,0.24822695035460973,-0.07921636832001566,0.3274433186746254
Hybrid,breakout_20d,DGC,2015-06-30,10,2015-08-03,2015-10-13,4848.390352187277,6086.27725061807,2015,0.2553191489361699,-0.03056754229084291,0.2858866912270128
Hybrid,breakout_20d,DGC,2015-06-30,13,2015-08-03,2015-11-03,4848.390352187277,6412.941848815085,2015,0.32269503546099254,0.003675324462237617,0.3190197109987549
Hybrid,breakout_20d,DGC,2015-06-30,16,2015-08-03,2015-11-24,4848.390352187277,8080.650586978795,2015,0.6666666666666667,-0.025661640441695166,0.6923283071083619
Hybrid,breakout_20d,DGC,2015-06-30,20,2015-08-03,2015-12-22,4848.390352187277,8390.122311586492,2015,0.7304964539007088,-0.0707499958980754,0.8012464497987842
Hybrid,breakout_20d,KSB,2015-06-30,8,2015-07-22,2015-09-17,6725.021979735986,6975.022796826543,2015,0.037174721189590976,-0.1069619750734302,0.14413669626302117
Hybrid,breakout_20d,KSB,2015-06-30,10,2015-07-22,2015-10-01,6725.021979735986,7500.024512716713,2015,0.11524163568773238,-0.10527903469079947,0.22052067037853185
