trades,expectancy_r,profit_factor,max_drawdown,trades_per_year,pct_hit_1r,pct_hit_2r,top10_pct_pnl,version,setting,realism,pass_exp_r,pass_pf,pass_tpy,pass_top10,pass_realism,group
4,0.44357530324707195,1.4519733142440976,-0.028465353470256805,1.0435714285714286,0.25,0.25,0.9999999999999998,M1,fee20_minhold3,True,True,True,False,False,False,Gross-only
4,0.40689925591732157,1.3683096770452814,-0.030406498603203103,1.0435714285714286,0.25,0.25,1.0,M1,fee30_minhold3,True,True,True,False,False,False,Gross-only
4,0.5171152840893439,1.6377799936050568,-0.02457142215409136,1.0435714285714286,0.25,0.25,1.0000000000000002,M1,gross,False,True,True,False,False,,Gross-only
0,,,,,,,,M2,fee20_minhold3,True,False,False,False,True,False,Noise
0,,,,,,,,M2,fee30_minhold3,True,False,False,False,True,False,Noise
0,,,,,,,,M2,gross,False,False,False,False,True,,Noise
5,0.4908199664911078,3.174983583535294,-0.05013121630520545,0.95966894377299,0.2,0.2,1.0000000000000002,M3,fee20_minhold3,True,True,True,False,False,False,Gross-only
5,0.44543886612942013,2.8332677697413007,-0.05392313698597473,0.95966894377299,0.2,0.2,0.9999999999999998,M3,fee30_minhold3,True,True,True,False,False,False,Gross-only
5,0.5818543177414022,4.047256286930151,-0.042501769228357245,0.95966894377299,0.2,0.2,0.9999999999999999,M3,gross,False,True,True,False,False,,Gross-only
4,-0.5846472870092723,,-0.07441419427882223,0.9898373983739837,0.0,0.0,1.0,M4,fee20_minhold3,True,False,False,False,False,False,Noise
4,-0.6195243351288059,,-0.07995113198295023,0.9898373983739837,0.0,0.0,0.9999999999999999,M4,fee30_minhold3,True,False,False,False,False,False,Noise
4,-0.30966001866388515,0.06656761081984174,-0.02961639188701748,0.9884979702300405,0.0,0.0,1.0,M4,gross,False,False,False,False,False,,Noise
4,0.44357530324707195,1.4519733142440976,-0.028465353470256805,1.0435714285714286,0.25,0.25,0.9999999999999998,M5,fee20_minhold3,True,True,True,False,False,False,Gross-only
4,0.40689925591732157,1.3683096770452814,-0.030406498603203103,1.0435714285714286,0.25,0.25,1.0,M5,fee30_minhold3,True,True,True,False,False,False,Gross-only
4,0.5171152840893439,1.6377799936050568,-0.02457142215409136,1.0435714285714286,0.25,0.25,1.0000000000000002,M5,gross,False,True,True,False,False,,Gross-only
3,0.4566889346110199,1.2736520117408812,-0.028465353470256693,6.6409090909090915,0.3333333333333333,0.3333333333333333,1.0,M6,fee20_minhold3,True,True,True,False,False,False,Gross-only
3,0.421376890665129,1.213133335797223,-0.030406498603203214,6.6409090909090915,0.3333333333333333,0.3333333333333333,0.9999999999999998,M6,fee30_minhold3,True,True,True,False,False,False,Gross-only
3,0.5274820420458818,1.408056570195489,-0.02457142215409147,6.6409090909090915,0.3333333333333333,0.3333333333333333,1.0,M6,gross,False,True,True,False,False,,Gross-only
4,-0.5886353443631722,0.07522759439183765,-0.056109180055823216,0.9898373983739837,0.0,0.0,1.0,M7,fee20_minhold3,True,False,False,False,False,False,Noise
4,-0.6657413323866616,0.05712190199669919,-0.06360788231246584,0.9898373983739837,0.0,0.0,1.0,M7,fee30_minhold3,True,False,False,False,False,False,Noise
4,-0.49279575325342273,0.11292800681739823,-0.04852774861949882,0.9898373983739837,0.0,0.0,1.0000000000000002,M7,gross,False,False,False,False,False,,Noise
4,-0.5537099045888566,,-0.07268674635902006,1.0048143053645118,0.0,0.0,1.0,M8,fee20_minhold3,True,False,False,False,False,False,Noise
4,-0.5883378470797198,,-0.07823401781228256,1.0048143053645118,0.0,0.0,1.0000000000000002,M8,fee30_minhold3,True,False,False,False,False,False,Noise
4,-0.4842787511416266,,-0.061491923797863945,1.0048143053645118,0.0,0.0,0.9999999999999999,M8,gross,False,False,False,False,False,,Noise
6,-0.0417225004741118,0.7330388422636757,-0.087391421179139,1.0450643776824033,0.16666666666666666,0.16666666666666666,1.0,M9,fee20_minhold3,True,False,False,False,False,False,Noise
6,-0.07790241273996647,0.6905717832287538,-0.09103459737661113,1.0450643776824033,0.16666666666666666,0.16666666666666666,1.0,M9,fee30_minhold3,True,False,False,False,False,False,Noise
6,0.030800504502227193,0.8274537327500211,-0.08121121920791408,1.0450643776824033,0.16666666666666666,0.16666666666666666,0.9999999999999997,M9,gross,False,False,False,False,False,,Noise
4,0.44357530324707195,1.4519733142440976,-0.028465353470256805,1.0435714285714286,0.25,0.25,0.9999999999999998,M10,fee20_minhold3,True,True,True,False,False,False,Gross-only
4,0.40689925591732157,1.3683096770452814,-0.030406498603203103,1.0435714285714286,0.25,0.25,1.0,M10,fee30_minhold3,True,True,True,False,False,False,Gross-only
4,0.5171152840893439,1.6377799936050568,-0.02457142215409136,1.0435714285714286,0.25,0.25,1.0000000000000002,M10,gross,False,True,True,False,False,,Gross-only
4,0.44357530324707195,1.4519733142440976,-0.028465353470256805,1.0435714285714286,0.25,0.25,0.9999999999999998,M11,fee20_minhold3,True,True,True,False,False,False,Gross-only
4,0.40689925591732157,1.3683096770452814,-0.030406498603203103,1.0435714285714286,0.25,0.25,1.0,M11,fee30_minhold3,True,True,True,False,False,False,Gross-only
4,0.5171152840893439,1.6377799936050568,-0.02457142215409136,1.0435714285714286,0.25,0.25,1.0000000000000002,M11,gross,False,True,True,False,False,,Gross-only
