strategy,variant,symbol,report_date,horizon_weeks,entry_date,exit_date,entry_price,exit_price,year,ret,bench_ret,alpha
Hybrid,ma5_gt_ma10_gt_ma20,BID,2015-06-30,8,2015-06-30,2015-08-25,10601.315934554756,10244.121370314651,2015,-0.033693417538462,-0.106348537222831,0.072655119684369
Hybrid,ma5_gt_ma10_gt_ma20,BID,2015-06-30,10,2015-06-30,2015-09-09,10601.315934554756,12955.800556574415,2015,0.22209361899547475,-0.03492117022173502,0.25701478921720977
Hybrid,ma5_gt_ma10_gt_ma20,BID,2015-06-30,13,2015-06-30,2015-09-30,10601.315934554756,11901.258650806729,2015,0.12262088256561032,-0.05127729533766123,0.17389817790327156
Hybrid,ma5_gt_ma10_gt_ma20,BID,2015-06-30,16,2015-06-30,2015-10-21,10601.315934554756,12051.907494487828,2015,0.13683127348416257,-0.004738217688221802,0.14156949117238438
Hybrid,ma5_gt_ma10_gt_ma20,BID,2015-06-30,20,2015-06-30,2015-11-18,10601.315934554756,11750.609807125633,2015,0.10841049164705852,0.01735098221060638,0.09105950943645214
Hybrid,ma5_gt_ma10_gt_ma20,DGC,2015-06-30,8,2015-07-29,2015-09-24,4779.618857830011,6155.048744975336,2015,0.28776978417266164,-0.08716183768208752,0.37493162185474915
Hybrid,ma5_gt_ma10_gt_ma20,DGC,2015-06-30,10,2015-07-29,2015-10-08,4779.618857830011,6120.662997796704,2015,0.28057553956834536,-0.06070113654554199,0.34127667611388735
Hybrid,ma5_gt_ma10_gt_ma20,DGC,2015-06-30,13,2015-07-29,2015-10-29,4779.618857830011,6344.170354457819,2015,0.3273381294964026,-0.031214983191932166,0.3585531126883348
Hybrid,ma5_gt_ma10_gt_ma20,DGC,2015-06-30,16,2015-07-29,2015-11-19,4779.618857830011,8063.457713389477,2015,0.6870503597122299,-0.036497518809028406,0.7235478785212583
Hybrid,ma5_gt_ma10_gt_ma20,DGC,2015-06-30,20,2015-07-29,2015-12-17,4779.618857830011,8183.807828514695,2015,0.7122302158273381,-0.07618056667200257,0.7884107824993407
Hybrid,ma5_gt_ma10_gt_ma20,HHS,2015-06-30,8,2015-07-29,2015-09-24,10210.65983926768,9770.44554218774,2015,-0.04311320757028703,-0.08716183768208752,0.04404863011180049
