,,B Date,S Date,Hold period,Stock,,Cash Output,,,,Closed position,,,,Current Value,,Sell?,Trade count,Profit (loss),Gain (Loss) %,,Buying Fee,Selling Fee,Tax,,Workday from today,,Set up type,Session,Buy,Sell,Reason for loss,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,0,HOSE:MWG,1000,-88700,-88700000,,1000,113100,113100000,,0,93099.9984741211,0,,1,24400000,0.2750845546786922,,-221750,-282750,-113100,,,,,,,,,,,,,,,,,,,,
1,,,,0,HOSE:MWG,1000,-111200,-111200000,,1000,113100,113100000,,0,93099.9984741211,0,,1,1900000,0.0170863309352518,,-278000,-282750,-113100,,,,,,,,,,,,,,,,,,,,
1,,,,0,HOSE:PNJ,1000,-66400,-66400000,,1000,71300,71300000,,0,121900.0015258789,0,,1,4900000,0.07379518072289157,,-166000,-178250,-71300,,,,,,,,,,,,,,,,,,,,
1,,,,0,HOSE:TCH,6000,-20500,-123000000,,6000,19750,118500000,,0,15199.999809265137,0,,1,-4500000,-0.036585365853658534,,-307500,-296250,-118500,,,,,,,,,,,,,,,,,,,,
1,,,,0,HOSE:GIL,2500,-46850,-117125000,,2500,43950,109875000,,0,15000,0,,1,-7250000,-0.061899679829242264,,-292812.5,-274687.5,-109875,,,,,,,,,,,,,,,,,,,,
1,,,,0,HOSE:NVL,1500,-68000,-102000000,,1500,65600,98400000,,0,12300.000190734863,0,,1,-3600000,-0.03529411764705882,,-255000,-246000,-98400,,,,,,,,,,,,,,,,,,,,
1,,,,0,HOSE:HDG,2200,-44900,-98780000,,2200,42900,94380000,,0,27299.999237060547,0,,1,-4400000,-0.044543429844097995,,-246950,-235950,-94380,,,,,,,,,,,,,,,,,,,,
1,,,2021-01-20 00:00:00,0,HOSE:FPT,1000,-53500,-53500000,,1000,60200,60200000,,0,92900.0015258789,0,,1,6700000,0.1252336448598131,,-133750,-150500,-60200,,,,,,,,,,,,,,,,,,,,
1,,,2021-01-20 00:00:00,0,HOSE:MWG,1500,-115200,-172800000,,1500,117600,176400000,,0,93099.9984741211,0,,1,3600000,0.020833333333333332,,-432000,-441000,-176400,,,,,,,,,,,,,,,,,,,,
1,,,2021-01-20 00:00:00,0,HOSE:NVL,1100,-73300,-80630000,,1100,71400,78540000,,0,12300.000190734863,0,,1,-2090000,-0.02592087312414734,,-201575,-196350,-78540,,,,,,,,,,,,,,,,,,,,
1,,2021-01-15 00:00:00,2021-01-20 00:00:00,4,HOSE:NVL,1300,-74300,-96590000,,1300,71400,92820000,,0,12300.000190734863,0,,1,-3770000,-0.039030955585464336,,-241475,-232050,-92820,,,,,,,,,,,,,,,,,,,,
1,,2021-01-15 00:00:00,2021-01-20 00:00:00,4,HOSE:DXG,3000,-17500,-52500000,,3000,16950,50850000,,0,15100.000381469727,0,,1,-1650000,-0.03142857142857143,,-131250,-127125,-50850,,,,,,,,,,,,,,,,,,,,
1,,2021-01-18 00:00:00,,0,HOSE:MSN,1000,-95700,-95700000,,1000,84100,84100000,,0,79000,0,,1,-11600000,-0.12121212121212122,,-239250,-210250,-84100,,,,,,,,,,,,,,,,,,,,
1,,2021-01-18 00:00:00,,0,Upcom:VGI,1000,-44600,-44600000,,1000,41500,41500000,,0,110000,0,,1,-3100000,-0.06950672645739911,,-111500,-103750,-41500,,,,,,,,,,,,,,,,,,,,
1,,2021-01-22 00:00:00,,0,HOSE:ACB,4000,-28825,-115300000,,4000,23850,95400000,,0,24549.999237060547,0,,1,-19900000,-0.17259323503902863,,-288250,-238500,-95400,,,,,,,,,,,,,,,,,,,,
1,,2021-01-22 00:00:00,,0,HOSE:MWG,1000,-126000,-126000000,,1000,125000,125000000,,0,93099.9984741211,0,,1,-1000000,-0.007936507936507936,,-315000,-312500,-125000,,,,,,,,,,,,,,,,,,,,
1,,2021-01-26 00:00:00,,0,HOSE:MWG,1000,-131000,-131000000,,1000,125000,125000000,,0,93099.9984741211,0,,1,-6000000,-0.04580152671755725,,-327500,-312500,-125000,,,,,,,,,,,,,,,,,,,,
1,,2021-01-22 00:00:00,,0,HOSE:FPT,1000,-67000,-67000000,,1000,77000,77000000,,0,92900.0015258789,0,,1,10000000,0.14925373134328357,,-167500,-192500,-77000,,,,,,,,,,,,,,,,,,,,
