year,horizon_weeks,alpha
2014,8,-0.01559111761101395
2014,10,0.003958406037470663
2014,13,0.015246978671017541
2015,8,-0.003134655187929436
2015,10,-0.02290383338000379
2015,13,0.0012190683632842259
2016,8,-0.0386823873150175
2016,10,0.01622879165063673
2016,13,0.030642738399792258
2017,8,-0.07064632593470555
2017,10,-0.06294488591526515
2017,13,-0.08885480950096325
2018,8,-0.05068196624670135
2018,10,-0.042150485937968885
2018,13,-0.02811008558544925
2019,8,0.0014498133264176927
2019,10,-0.0014768143607991058
2019,13,-0.015585040749055146
2020,8,0.10072381507858585
2020,10,0.12383723257600265
2020,13,0.15802856084268757
2021,8,0.11367292857978883
2021,10,0.12633976688028947
2021,13,0.11901609442978867
2022,8,0.02292836931237674
2022,10,0.02924277131283315
2022,13,0.016135013718547142
2023,8,0.0514612582635931
2023,10,0.04265208661397846
2023,13,0.04824815260389781
2024,8,0.03953147787364536
2024,10,0.0460600316477866
2024,13,0.05829052676083657
