year,n_pass,median_eps_yoy,median_sales_yoy,median_roe
2014,53,,,20.358550582303728
2015,36,74.5448641278573,31.469538228075923,20.541966957275708
2016,31,91.71454561600774,34.43875824338384,25.447187120252813
2017,30,71.34432428191566,26.477332027638823,18.53164488637384
2018,30,83.82119661720138,27.34502606767768,15.135054161410743
2019,21,41.62472858548159,34.21419411278359,16.13516630031805
2020,19,72.52038846745933,30.97860476495783,18.794756516897785
2021,36,119.389108348935,44.45656101659239,19.01801003027787
2022,34,151.05904931579204,57.27175398503095,22.721657020790936
2023,13,108.34000015552786,17.986549105342863,15.473999125462033
2024,25,70.59264451724539,23.778482793443672,13.616381507031889
