cohort_date,horizon_weeks,n_symbols,cohort_ret,bench_ret,alpha
2014-03-31,8,34,-0.0753754566782637,-0.04995182311476254,-0.025423633563501163
2014-03-31,10,34,-0.06995860249175753,-0.028889226972294124,-0.04106937551946341
2014-03-31,13,34,-0.022511112521979116,-0.003752725797454226,-0.01875838672452489
2014-06-30,8,33,0.15036003138662002,0.08259388026914372,0.0677661511174763
2014-06-30,10,33,0.18627329030249418,0.087644647397644,0.09862864290485018
2014-06-30,13,33,0.2020349449441717,0.05386331793887189,0.14817162700529982
2014-07-14,8,1,0.8650306748466257,0.07261654981833066,0.792414125028295
2014-07-14,10,1,1.1226993865030672,0.029612950548419503,1.0930864359546477
2014-07-14,13,1,1.3570552147239257,0.030807021135049295,1.3262481935888764
2014-08-26,8,1,-0.07948717948717954,-0.05648109878231011,-0.023006080704869425
2014-08-26,10,1,-0.08974358974358987,-0.04961370934410059,-0.04012988039948928
2014-08-26,13,1,-0.08974358974358987,-0.08929195943153267,-0.00045163031205719406
2014-09-30,8,36,0.007131491505872574,-0.02152638610554436,0.028657877611416933
2014-09-30,10,36,-0.030129291916533588,-0.0726285905143621,0.042499298597828514
2014-09-30,13,36,-0.06142337457169343,-0.1022545090180359,0.04083113444634247
2014-12-31,8,28,0.052342373422308866,0.07845976210985484,-0.02611738868754597
2014-12-31,10,28,0.032702932337685946,0.04629510840679574,-0.013592176069109792
2014-12-31,13,28,0.028369318689759705,0.025493466268350362,0.002875852421409343
2015-03-11,8,1,-0.273684210526316,-0.07182800831997815,-0.20185620220633782
2015-03-11,10,1,-0.24216524216524105,-0.03297302826746673,-0.20919221389777432
2015-03-11,13,1,-0.19669515669515547,-0.010553414941862349,-0.18614174175329312
2015-03-18,8,1,-0.07547169811320753,-0.0723370429252781,-0.003134655187929436
2015-03-18,10,1,-0.11792452830188671,-0.014463952443492079,-0.10346057585839463
2015-03-18,13,1,0.11320754716981152,0.024866938549803264,0.08834060862000825
2015-03-31,8,7,0.05864541999071837,0.04327472647106867,0.015370693519649703
2015-03-31,10,7,0.09218328873101901,0.06414094678206594,0.028042341948953067
2015-03-31,13,7,0.12079677862389465,0.13443289242102585,-0.0136361137971312
2015-06-10,8,1,-0.05303030303030276,0.05744643790280435,-0.11047674093310711
2015-06-10,10,1,-0.05303030303030276,0.006479707368054477,-0.05951001039835724
2015-06-10,13,1,-0.1212121212121211,-0.0035359693433199,-0.1176761518688012
2015-06-30,8,12,-0.019073297452279748,-0.106348537222831,0.08727523977055125
2015-06-30,10,12,0.07592984507338917,-0.03492117022173502,0.11085101529512419
2015-06-30,13,12,0.07998347856593375,-0.05127729533766123,0.13126077390359497
2015-08-03,8,1,-0.20000000000000007,-0.07921636832001566,-0.1207836316799844
2015-08-03,10,1,-0.11180124220582632,-0.03056754229084291,-0.08123369991498341
2015-08-03,13,1,-0.11641526172683503,0.003675324462237617,-0.12009058618907265
2015-09-17,8,1,-0.11188811188811176,0.07662494666477038,-0.18851305855288214
2015-09-17,10,1,-0.18181818181818188,0.04963732043806002,-0.2314555022562419
2015-09-17,13,1,-0.2097902097902098,0.026009813682264182,-0.23580002347247397
2015-09-30,8,7,0.1465045979755733,0.05875870894355195,0.08774588903202135
2015-09-30,10,7,0.13652577859307433,0.004549978671975152,0.13197579992109917
2015-09-30,13,7,0.1744043603416741,0.029877008389023185,0.1445273519526509
