year,n_pass,median_eps_yoy,median_sales_yoy,median_roe
2015,9,117.32595542791636,54.793839250399245,22.77223830542916
2016,10,126.29381873785354,33.982176035942935,22.67271384620413
2017,10,85.588269347106,25.20498809717772,22.45241629020755
2018,8,164.5938952153932,24.4785778734528,30.282706070865103
2019,9,155.5856330813797,118.00034236379122,21.302780296468168
2020,10,79.31078961544787,39.100056579593144,20.07574639270863
2021,22,133.86507077071883,56.09150330734878,23.246964679313542
2022,22,159.3807939048942,55.34973363468616,21.315516114663936
2023,8,87.51983284630424,30.395893999511745,20.990081362386036
2024,11,87.65305134958075,18.44562611577365,17.797978331952137
