year,horizon_weeks,alpha
2015,8,0.0867248943973043
2015,10,0.1717068845074493
2015,13,0.17115736425180805
2016,8,-0.03588422435970523
2016,10,-0.05262358590331695
2016,13,-0.05615839665099964
2017,8,-0.028831597009375987
2017,10,-0.03251353518733224
2017,13,-0.012085841965521427
2018,8,0.0011812000185440485
2018,10,0.01297525960862178
2018,13,0.11108795660188076
2019,8,0.029491179915808408
2019,10,0.015259053764267172
2019,13,0.025706911109420694
2020,8,0.07769863333960148
2020,10,0.09556716973416246
2020,13,0.15103831285402092
2021,8,0.13805363994565656
2021,10,0.12633976688028947
2021,13,0.11324355537746666
2022,8,0.023579731962331207
2022,10,0.02924277131283315
2022,13,0.018141158667037804
2023,8,0.041519439464645425
2023,10,0.02170192820877792
2023,13,0.032657753205698414
2024,8,0.05873649518578672
2024,10,0.04530278312251623
2024,13,0.08767621374820256
