symbol,entry_date,exit_date,hold_weeks,ret,exit_reason
DGC,2019-03-15,2019-03-15,0,-0.04446153846153844,MA10
DTD,2019-03-15,2019-03-15,0,-0.18377777777777787,MA10
GMD,2019-03-22,2019-03-22,0,-0.052017699115044364,MA10
PVP,2019-03-22,2019-03-22,0,-0.08175757575757579,MA10
MST,2019-03-15,2019-03-29,2,-0.046816326530612254,MA10
GMD,2019-03-29,2019-03-29,0,-0.006,MA10
HAX,2019-03-29,2019-03-29,0,-0.035239766081871286,MA10
BVH,2019-03-15,2019-04-05,3,-0.030973985431841676,MA10
QNS,2019-03-22,2019-04-05,2,-0.05340406320541756,MA10
VIX,2019-03-15,2019-04-12,4,-0.028222222222222003,MA10
HNG,2019-04-05,2019-04-12,1,-0.019071895424836602,MA10
CSM,2019-03-15,2019-04-19,5,-0.015999999999999997,MA10
VGS,2019-03-15,2019-04-19,5,-0.18100000000000002,MA10
SAB,2019-03-22,2019-04-19,4,-0.04438464614154326,MA10
BCM,2019-03-29,2019-04-19,3,-0.06314285714285704,MA10
IDC,2019-03-29,2019-04-19,3,-0.08860869565217391,MA10
VGT,2019-03-29,2019-04-19,3,-0.08474015748031483,MA10
HDC,2019-03-22,2019-04-26,5,-0.0626037735849056,MA10
TCM,2019-03-15,2019-05-03,7,-0.14446153846153842,MA10
KBC,2019-03-22,2019-05-03,6,-0.11567741935483859,MA10
BID,2019-03-15,2019-05-10,8,-0.0675835777126101,MA10
FTS,2019-03-15,2019-05-10,8,-0.03499243332258043,MA10
HDG,2019-03-15,2019-05-10,8,-0.08179462102689494,MA10
LCG,2019-03-15,2019-05-10,8,-0.06732075471698107,MA10
AGR,2019-04-12,2019-05-10,4,-0.06226598465473141,MA10
G36,2019-03-15,2019-05-17,9,0.05169230769230754,MA10
MIG,2019-03-29,2019-05-31,9,-0.0287743270956523,MA10
PVD,2019-03-15,2019-06-14,13,-0.02762162162162149,MA10
PVS,2019-03-15,2019-06-14,13,0.017474178403755612,MA10
KSV,2019-03-22,2019-06-14,12,-0.006,MA10
DPG,2019-03-29,2019-06-21,12,-0.05130923227169778,MA10
PVB,2019-03-15,2019-07-05,16,-0.06127638190954763,MA10
PVC,2019-03-29,2019-07-05,14,-0.006,MA10
VCG,2019-04-05,2019-07-12,14,-0.13394612794612812,MA10
HVN,2019-03-15,2019-08-02,20,-0.0007862239803440498,MA10
TNG,2019-03-15,2019-08-09,21,-0.04250313877826104,MA10
DPR,2019-03-15,2019-08-16,22,0.023850746268656665,MA10
DHC,2019-04-05,2019-08-16,19,0.09114285714285712,MA10
ORS,2019-03-22,2019-08-23,22,0.7940000000000003,MA10
PVI,2019-03-29,2019-08-30,22,0.0326382465633803,MA10
HT1,2019-08-30,2019-08-30,0,-0.012493506493506402,MA10
PHR,2019-03-15,2019-09-06,25,0.2299659272105816,MA10
NTL,2019-04-12,2019-09-06,21,0.15022027922634174,MA10
BMI,2019-08-30,2019-09-06,1,-0.09423529411764707,MA10
HHV,2019-04-12,2019-09-13,22,-0.006000000002500174,MA10
GMD,2019-08-30,2019-09-13,2,-0.03467383512544797,MA10
EVF,2019-08-30,2019-09-27,4,-0.28689887640449435,MA10
SGP,2019-08-30,2019-09-27,4,-0.24766666666666673,MA10
DXP,2019-09-06,2019-09-27,3,-0.12138461538461533,MA10
VIC,2019-03-15,2019-10-04,29,0.0025470085470085287,MA10
PVB,2019-08-30,2019-10-04,5,-0.0782480326132074,MA10
PVD,2019-08-30,2019-10-04,5,-0.04554802259886997,MA10
PVT,2019-08-30,2019-10-04,5,-0.08545205479452048,MA10
GAS,2019-09-27,2019-10-04,1,-0.028373540856031193,MA10
MBS,2019-10-04,2019-10-04,0,-0.0386797385620914,MA10
AGR,2019-08-30,2019-10-11,6,-0.11224999999999992,MA10
C69,2019-03-15,2019-10-18,31,3.062491369595583,MA10
GVR,2019-03-15,2019-10-18,31,0.36375609750500004,MA10
SCS,2019-08-30,2019-10-18,7,-0.012289308176100714,MA10
DTD,2019-09-06,2019-10-18,6,-0.19457142857142862,MA10
VOS,2019-09-06,2019-10-18,6,-0.27176576576576594,MA10
PVP,2019-09-13,2019-10-18,5,-0.09050704225352124,MA10
HT1,2019-10-11,2019-10-18,1,-0.04326708074534168,MA10
TCH,2019-09-06,2019-10-25,7,-0.04530131004366828,MA10
CDC,2019-10-25,2019-10-25,0,-0.11126315789473691,MA10
NTP,2019-10-25,2019-10-25,0,-0.05163492062666674,MA10
TPB,2019-10-25,2019-10-25,0,-0.01921585903083709,MA10
HAH,2019-08-30,2019-11-01,9,-0.1460651465798044,MA10
DIG,2019-10-18,2019-11-01,2,-0.09443537414965986,MA10
HAX,2019-10-25,2019-11-01,1,-0.289702213279678,MA10
BCM,2019-09-06,2019-11-08,9,-0.15672463768115935,MA10
VPI,2019-09-20,2019-11-08,7,-0.01803369434416361,MA10
VNM,2019-11-08,2019-11-08,0,-0.03457142857142848,MA10
SHI,2019-03-29,2019-11-15,33,0.20229991350571275,MA10
HDG,2019-08-30,2019-11-22,12,-0.04121126760563388,MA10
MWG,2019-08-30,2019-11-22,12,-0.0337777777777779,MA10
E1VFVN30,2019-09-27,2019-11-22,8,-0.031557011795543904,MA10
VPB,2019-10-11,2019-11-22,6,-0.10421428571428563,MA10
ACB,2019-10-18,2019-11-22,5,-0.03933333333333335,MA10
TV2,2019-10-25,2019-11-22,4,-0.044674033149171254,MA10
CTG,2019-11-01,2019-11-22,3,-0.05124886877828071,MA10
HT1,2019-11-01,2019-11-22,3,-0.049135361357798155,MA10
REE,2019-08-30,2019-11-29,13,-0.0018333333333334324,MA10
VIB,2019-08-30,2019-11-29,13,-0.05069273743016746,MA10
HHV,2019-09-27,2019-11-29,9,-0.09233093525179863,MA10
DGW,2019-10-04,2019-11-29,8,-0.054500162343082796,MA10
CTR,2019-03-29,2019-12-06,36,0.8804207378028277,MA10
DPG,2019-08-30,2019-12-06,14,-0.17517293233082712,MA10
MBB,2019-08-30,2019-12-06,14,0.04513585746102457,MA10
BMP,2019-09-27,2019-12-06,10,-0.05101887832210605,MA10
ORS,2019-10-18,2019-12-06,7,-0.16092957746478884,MA10
NNC,2019-11-15,2019-12-06,3,-0.0017446808510637925,MA10
CMG,2019-03-15,2019-12-13,39,0.3549862465753431,MA10
GEG,2019-03-22,2019-12-13,38,0.4881629408579234,MA10
BMI,2019-10-25,2019-12-13,7,-0.05154079696394694,MA10
DBC,2019-10-25,2019-12-13,7,-0.04141666666666668,MA10
PVC,2019-11-08,2019-12-13,5,-0.07266666666666681,MA10
VHM,2019-11-08,2019-12-13,5,-0.07496551724137933,MA10
VRE,2019-11-08,2019-12-13,5,-0.047428571428571424,MA10
PTB,2019-04-12,2019-12-27,37,0.15851073843457977,MA10
TRC,2019-04-05,2020-01-03,39,0.3597707277784094,MA10
VCG,2019-10-18,2020-01-03,11,-0.009985753020454367,MA10
QTP,2019-11-01,2020-01-03,9,-0.01484955752212401,MA10
KDH,2019-09-27,2020-01-10,15,0.013920318725099677,MA10
IJC,2019-03-15,2020-01-31,46,0.4353247184058252,MA10
FPT,2019-04-12,2020-01-31,42,0.24256357631207023,MA10
HDC,2019-08-30,2020-01-31,22,-0.05145454545454554,MA10
PNJ,2019-08-30,2020-01-31,22,-0.011896226415094389,MA10
