entry_date,exit_signal_date,exit_date,entry_px,exit_px,ret,hold_cal_days,hold_trading_bars,n_units,engine,entry_bar_index,exit_reason,stop_at_entry,stop_at_exit,add_date,add_px,avg_entry_1,avg_entry_final,sell_tier,mkt_dd_count,stk_dd_count,sell_v4,sell_mkt_dd,sell_stk_dd,symbol
2020-07-15,2020-07-27,2020-07-28,6411.367725233667,5579.562282484477,-0.12973915682224813,13,9,1,darvas,629,DARVAS_BOX,5456.944205064821,5454.277874070001,,,6411.367725233667,6411.367725233667,,4.0,0.0,False,False,False,SSI
2020-11-19,2021-01-27,2021-01-28,7530.124168682815,11219.771981082915,0.4899849895895543,70,49,1,darvas,719,DARVAS_BOX,6627.433188042789,12371.18450301558,,,7530.124168682815,7530.124168682815,,3.0,0.0,False,False,False,SSI
2021-05-21,2021-09-27,2021-09-28,15831.527901812928,24061.535378645305,0.519849222884541,130,90,1,darvas,841,DARVAS_BOX,12478.25361248292,24465.792265915505,,,15831.527901812928,15831.527901812928,,3.0,0.0,False,False,False,SSI
2021-11-09,2022-01-11,2022-01-12,26875.746517996376,29174.611646607435,0.08553679158536887,64,45,1,darvas,961,DARVAS_BOX,22721.829489823023,29258.371518277832,,,26875.746517996376,26875.746517996376,,5.0,0.0,False,False,False,SSI
2023-05-15,2023-10-26,2023-10-27,15709.380377191977,20241.844940953008,0.2885196268047334,165,117,1,darvas,1335,DARVAS_BOX,13708.740573590514,20799.375943318755,,,15709.380377191977,15709.380377191977,,4.0,0.0,False,False,False,SSI
2020-08-28,2021-01-28,2021-01-29,6654.315263122389,11896.199166255246,0.7877420434500453,154,108,1,darvas,661,DARVAS_BOX,5086.797447893597,13724.784663958646,,,6654.315263122389,6654.315263122389,,4.0,0.0,False,False,False,VCI
2021-05-11,2021-07-19,2021-07-20,18905.621088666656,26093.207229960997,0.38018249215854016,70,50,1,darvas,833,DARVAS_BOX,15486.150793267994,27047.4986622809,,,18905.621088666656,18905.621088666656,,4.0,0.0,False,False,False,VCI
2023-05-19,2023-08-18,2023-08-21,25340.747816899275,30525.754366543748,0.20461142611532113,94,66,1,darvas,1339,DARVAS_BOX,21527.302930860937,30560.950648932743,,,25340.747816899275,25340.747816899275,,5.0,0.0,False,False,False,VCI
2020-04-14,2020-07-27,2020-07-28,2793.3002837068834,2926.346151217589,0.04763034904866914,105,73,1,darvas,567,DARVAS_BOX,1526.092668633967,3239.5842505319174,,,2793.3002837068834,2793.3002837068834,,4.0,0.0,False,False,False,SHS
2021-04-02,2021-07-19,2021-07-20,10027.777695230543,11482.727832495108,0.14509198164181236,109,74,1,darvas,811,DARVAS_BOX,8055.611110484509,11689.57161214083,,,10027.777695230543,10027.777695230543,,4.0,0.0,False,False,False,SHS
2021-08-16,2021-09-27,2021-09-28,15967.798877755642,15752.483372844295,-0.013484357271765113,43,29,1,darvas,904,DARVAS_BOX,11014.00213438577,16671.7058797164,,,15967.798877755642,15967.798877755642,,3.0,0.0,False,False,False,SHS
2021-11-02,2022-01-17,2022-01-18,17998.620591025297,18991.726432612275,0.055176775162546265,77,54,1,darvas,958,DARVAS_BOX,15877.739507694474,20227.881260002607,,,17998.620591025297,17998.620591025297,,5.0,0.0,False,False,False,SHS
2023-07-11,2023-10-19,2023-10-20,12124.200000489458,13342.492308230947,0.10048434599332778,101,71,1,darvas,1378,DARVAS_BOX,9782.142857537763,13387.362637903088,,,12124.200000489458,12124.200000489458,,5.0,0.0,False,False,False,SHS
2024-03-22,2024-04-19,2024-04-22,16956.92307760763,15200.307692921333,-0.10359281437125734,31,20,1,darvas,1553,DARVAS_BOX,13407.005495046738,15603.983517113453,,,16956.92307760763,16956.92307760763,,5.0,0.0,False,False,False,SHS
2019-08-27,2019-11-21,2019-11-22,6338.644691107216,6557.27745960436,0.03449203720219152,87,62,1,darvas,408,DARVAS_BOX,5688.1057512537,6545.239306992775,,,6338.644691107216,6338.644691107216,,7.0,0.0,False,False,False,MBB
2021-04-06,2021-07-19,2021-07-20,10284.626335536317,12477.4689908049,0.21321558836723953,105,72,1,darvas,811,DARVAS_BOX,8885.262945410901,12624.789963942878,,,10284.626335536317,10284.626335536317,,4.0,0.0,False,False,False,MBB
2024-07-22,2024-10-24,2024-10-25,16545.370370247816,16153.642707146242,-0.023675968221659516,95,67,1,darvas,1633,DARVAS_BOX,14356.230524602443,16246.036320644242,,,16545.370370247816,16545.370370247816,,4.0,0.0,False,False,False,MBB
2020-11-10,2021-01-26,2021-01-27,6791.22940074009,6525.385103193213,-0.039145238933896986,78,55,1,darvas,714,DARVAS_BOX,5853.575216466754,6630.302358423118,,,6791.22940074009,6791.22940074009,,2.0,0.0,False,False,False,SHB
