symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,ret,risk_budget
PNJ,2023-01-27,2023-02-10,83426.09503314046,76908.43135867635,1201,-8116556.722326254,-0.0781250000000002,5010577.1962888185
SHI,2023-01-20,2023-02-17,15380.95238095238,13666.666666666666,5000,-8789285.71428571,-0.1114551083591331,5000000.0
ACB,2023-04-07,2023-05-05,14803.198839298864,14246.246803760887,6732,-4042742.405345285,-0.037623762376237636,4982899.531833352
HT1,2023-04-07,2023-05-05,14660.668498147554,13122.499999981253,6797,-10738194.57645902,-0.1049180327868852,4982899.531833352
GMD,2023-04-07,2023-05-12,40864.929737265455,38918.980702157576,2438,-5035993.508069971,-0.04761904761904761,4982899.531833352
CDC,2023-05-26,2023-06-23,12031.746031746032,11714.285714285714,8215,-2900546.9841269986,-0.026385224274406382,4942579.412753535
CTF,2023-01-20,2023-07-21,25074.082516526098,24504.21700478687,3988,-2569201.048552538,-0.022727272727272603,5000000.0
HDB,2023-04-07,2023-08-25,9902.774699965741,9874.56558744553,7053,-408193.24217571906,-0.002848606918251812,4982899.531833352
PLC,2023-04-07,2023-08-25,31503.57991750284,32352.478777555312,3163,2382102.0238672686,0.026946107784431135,4965799.063666708
VRE,2023-07-21,2023-09-22,28050.0,28500.0,3733,1363198.275,0.016042780748663103,5236309.692403583
VIB,2023-05-26,2023-10-06,12224.49948954511,13171.827292215195,8086,7352060.564854354,0.07749419953596298,4740978.817354452
CTG,2023-06-23,2023-10-06,17523.04174696529,18474.380265627155,5863,5261118.407024767,0.05429071803852901,5137497.121689389
FUEVFVND,2023-09-01,2023-10-27,25700.0,25480.0,4146,-1230408.42,-0.008560311284046693,5328416.696275123
SSI,2023-04-07,2023-11-03,14677.299371394382,20109.055830897254,4818,25918801.632837888,0.37007874010454567,4982899.531833352
CTF,2024-01-19,2024-02-09,29313.88192386597,27809.436972874406,3733,-5935955.026213815,-0.0513219284603421,5472899.726164895
KOS,2024-01-19,2024-03-29,39100.0,38200.0,2799,-2843644.0500000003,-0.023017902813299233,5472899.726164895
KHG,2024-04-05,2024-04-12,6350.0,6200.0,20131,-3398616.0749999997,-0.023622047244094488,6391822.857497419
BSI,2023-04-07,2024-04-26,18428.051046758665,42561.98347107437,2703,64986735.24797279,1.309630213367607,4982899.531833352
VEA,2024-01-19,2024-04-26,28069.9876633045,28227.6842232107,3899,285601.95304600755,0.00561797752808979,5472899.726164895
AGR,2024-01-19,2024-04-26,15147.990781851406,17104.037639567956,7225,13782907.188984945,0.12912912912912927,5472899.726164895
BSR,2024-04-12,2024-04-26,11968.48195681712,10885.905699416578,10517,-11745993.891552422,-0.09045226130653254,6294015.352782037
KDC,2024-05-17,2024-06-21,62542.59868533335,58778.46080149384,1982,-7821208.795624247,-0.06018518518518523,6199459.435682118
VJC,2024-05-17,2024-06-21,117000.0,104900.0,574,-7136455.9,-0.10341880341880341,6199459.435682118
VPI,2024-05-17,2024-06-21,48333.333333333336,47916.66666666667,2565,-1439071.874999985,-0.008620689655172363,6199459.435682118
VIB,2024-02-16,2024-07-05,15407.712902247877,15071.768477142907,4777,-1823207.2425504779,-0.021803652965000277,5687814.8530196315
TPB,2024-06-21,2024-07-05,13462.168793140521,12725.316115470148,9665,-7501334.192146733,-0.054735064534759584,6505847.346660693
BVS,2024-01-19,2024-08-02,24523.758016006053,35252.902148008696,4463,47483995.40965979,0.4374999999999998,5472899.726164895
HPG,2024-06-21,2024-08-02,24250.000000000004,23041.666666666668,5365,-6863288.020833343,-0.04982817869415817,6505847.346660693
VPB,2024-06-21,2024-08-02,18205.2910060616,18010.582011344366,7147,-1779837.4519271841,-0.010695187165775343,6505847.346660693
CTR,2023-09-01,2024-08-09,74181.03995071726,114786.70163108014,816,32902923.41547999,0.5473859857901637,5328416.696275123
REE,2024-05-10,2024-10-25,48666.24006105786,54615.559453137415,1747,10122811.022336038,0.12224736048265472,6036579.569690869
DPM,2024-09-27,2024-10-25,19701.434282124894,19092.682099250247,6337,-4226420.056139799,-0.030898876404494437,6242705.704332187
HCM,2024-09-27,2024-11-01,23279.725129429327,21646.7264661904,3161,-5374927.544738869,-0.07014681892332796,6242705.704332187
VJC,2024-10-25,2024-11-01,105700.0,104200.0,1179,-2139708.15,-0.014191106906338695,6232245.7923592245
SZC,2024-10-25,2024-11-01,37906.03085406732,37274.263673166206,3288,-2448039.7034111847,-0.01666666666666649,6232245.7923592245
MWG,2024-07-12,2024-11-22,64669.50354664966,59050.35461043164,1820,-10564606.27668562,-0.08689024390243882,6460708.243658917
ACB,2024-09-27,2024-11-22,21473.15578910339,20386.965029343297,5049,-5801204.771047233,-0.05058365758754869,6242705.704332187
CTG,2024-09-27,2024-11-22,24655.66807313428,22701.046264832952,5063,-10255900.782469312,-0.07927677329624477,6242705.704332187
VPI,2024-07-12,2024-12-27,51333.333333333336,56500.0,2215,11085890.416666657,0.1006493506493506,6460708.243658917
