entry_date,exit_signal_date,exit_date,entry_px,exit_px,ret,hold_days,exit_reason,sell_tier,mkt_dd_count,stk_dd_count,sell_v4,sell_mkt_dd,sell_stk_dd,symbol
2018-08-01,2018-08-31,2018-09-04,8828.600519925127,9523.600752857925,0.0787214498338964,34,MARKET_DD,,5.0,2.0,False,True,False,SSI
2018-09-06,2018-09-06,2018-09-07,9393.75314836324,9401.893394993926,0.0008665595637995516,1,MARKET_DD,,5.0,3.0,False,True,True,SSI
2018-09-10,2018-09-10,2018-09-11,9561.771497358357,9462.747073925926,-0.010356284236638369,1,MARKET_DD,,5.0,2.0,False,True,False,SSI
2018-09-12,2018-09-12,2018-09-13,9913.08259071178,9721.375209386923,-0.01933882619968086,1,MARKET_DD,,5.0,2.0,False,True,False,SSI
2018-11-29,2018-11-29,2018-11-30,8975.536898352295,8861.28793443623,-0.01272892810869486,1,MARKET_DD,,5.0,1.0,False,True,False,SSI
2019-01-28,2019-01-28,2019-01-29,8251.195324099303,8202.572725150705,-0.005892794563544634,1,STOCK_DD,,2.0,4.0,False,False,True,SSI
2019-06-21,2019-06-21,2019-06-24,7904.771092934829,7904.582511426301,-2.3856669131960828e-05,3,MARKET_DD,,7.0,5.0,False,True,True,SSI
2019-07-08,2019-07-08,2019-07-09,7983.5038727449355,7857.531425048764,-0.015779092702169595,1,MARKET_DD,,6.0,4.0,False,True,True,SSI
2019-07-18,2019-07-23,2019-07-24,8046.490096593022,7920.266206885482,-0.015686825956696904,6,SELL_V4,MA50,4.0,1.0,True,False,False,SSI
2019-08-22,2019-08-22,2019-08-23,7101.696738871728,7026.2955657122675,-0.010617346238786185,1,STOCK_DD,,3.0,6.0,False,False,True,SSI
2019-10-25,2019-10-25,2019-10-28,7007.49859131143,7045.059986776182,0.005360171675428571,3,STOCK_DD,,3.0,4.0,False,False,True,SSI
2019-11-01,2019-11-01,2019-11-04,7007.49859131143,7077.827707644909,0.010036265497174846,3,STOCK_DD,,3.0,4.0,False,False,True,SSI
2020-05-11,2020-05-11,2020-05-12,5228.317728315551,5321.477869081171,0.017818377842854227,1,STOCK_DD,,3.0,4.0,False,False,True,SSI
2020-09-07,2020-10-02,2020-10-05,6292.0174994384715,7297.905739046726,0.15986736205009366,28,STOCK_DD,,4.0,3.0,False,False,True,SSI
2020-11-24,2020-11-30,2020-12-01,7631.608321899565,7601.142819616534,-0.003992015968063756,7,STOCK_DD,,2.0,3.0,False,False,True,SSI
2020-12-02,2020-12-02,2020-12-03,7875.170289619763,8045.8905377855845,0.021678292898738682,1,STOCK_DD,,2.0,3.0,False,False,True,SSI
2021-01-13,2021-01-13,2021-01-14,14004.813143911437,13544.589598784782,-0.03286181260667065,1,STOCK_DD,,2.0,3.0,False,False,True,SSI
2021-01-15,2021-01-19,2021-01-20,14532.530740638531,13827.610873983269,-0.04850633927675352,5,UGLY_BAR,MA10,2.0,2.0,True,False,False,SSI
2021-05-11,2021-06-04,2021-06-07,14207.781450344934,19488.03637795303,0.37164528086683823,27,STOCK_DD,,3.0,3.0,False,False,True,SSI
2021-06-28,2021-07-05,2021-07-06,22673.121122602242,23283.165070227664,0.0269060419307372,8,STOCK_DD,,3.0,3.0,False,False,True,SSI
2021-08-16,2021-08-18,2021-08-19,25362.451182764922,25096.367305785214,-0.010491252405466445,3,STOCK_DD,,4.0,3.0,False,False,True,SSI
2021-11-02,2021-11-02,2021-11-03,25063.89843813145,25715.76593592717,0.026008224514826095,1,STOCK_DD,,2.0,3.0,False,False,True,SSI
2022-02-28,2022-03-02,2022-03-03,27660.880685937846,27069.22730097597,-0.02138953533980059,3,STOCK_DD,,4.0,3.0,False,False,True,SSI
2022-07-11,2022-07-11,2022-07-12,13670.503349513869,13682.512048999559,0.0008784387215792222,1,MARKET_DD,,5.0,2.0,False,True,False,SSI
2022-08-19,2022-08-22,2022-08-23,16778.955211383774,16179.32081706517,-0.03573729035952,4,STOCK_DD,,2.0,3.0,False,False,True,SSI
2022-08-24,2022-08-24,2022-08-25,17146.6215606372,16878.427272123547,-0.01564123215557134,1,STOCK_DD,,2.0,3.0,False,False,True,SSI
2018-02-05,2018-02-06,2018-02-07,14757.454379570772,13147.778739806023,-0.10907542712739648,2,STOCK_DD,,3.0,3.0,False,False,True,VCI
2018-03-01,2018-03-01,2018-03-02,14960.538614152023,14664.830132860563,-0.019765898068117127,1,MARKET_DD,,5.0,2.0,False,True,False,VCI
2018-03-19,2018-04-10,2018-04-11,16246.738766499935,19384.545577919136,0.1931345642049236,23,STOCK_DD,,2.0,3.0,False,False,True,VCI
2018-06-15,2018-06-15,2018-06-18,16246.738766499935,15676.19772823026,-0.0351172654690618,3,MARKET_DD,,5.0,1.0,False,True,False,VCI
2018-07-20,2018-07-20,2018-07-23,13497.384398294993,12728.66800786612,-0.05695298939000204,3,MARKET_DD,,7.0,4.0,False,True,True,VCI
2018-07-31,2018-08-02,2018-08-03,13196.413562655482,12913.141457255484,-0.02146584024932574,3,STOCK_DD,,2.0,3.0,False,False,True,VCI
2018-08-10,2018-08-10,2018-08-13,12964.897535240474,13028.437363123836,0.004900912460792828,3,STOCK_DD,,3.0,3.0,False,False,True,VCI
2018-08-23,2018-08-31,2018-09-04,13775.203631193002,14527.284139412419,0.05459668897499137,12,MARKET_DD,,5.0,0.0,False,True,False,VCI
2018-09-12,2018-09-12,2018-09-13,14261.387288764523,14066.100515939008,-0.013693392435907503,1,MARKET_DD,,5.0,2.0,False,True,False,VCI
2018-09-17,2018-09-17,2018-09-18,14238.235686023021,14043.041334765338,-0.013709167031790037,1,STOCK_DD,,4.0,3.0,False,False,True,VCI
2018-09-19,2018-09-19,2018-09-20,14122.477672315516,14342.810690023054,0.015601583717810286,1,STOCK_DD,,3.0,3.0,False,False,True,VCI
2018-10-03,2018-10-11,2018-10-12,15002.23857649255,13051.496544297506,-0.13003006333012979,9,UGLY_BAR,MA20,2.0,3.0,True,False,True,VCI
2018-12-10,2018-12-10,2018-12-11,11737.86258994093,11483.47222448791,-0.02167263106922268,1,STOCK_DD,,4.0,3.0,False,False,True,VCI
2019-07-09,2019-07-09,2019-07-10,7783.6812563321255,7692.603965348368,-0.011701056092149886,1,MARKET_DD,,6.0,2.0,False,True,False,VCI
2019-07-12,2019-07-12,2019-07-15,7831.877425101985,8016.629405386443,0.02358974358974364,3,MARKET_DD,,6.0,3.0,False,True,True,VCI
2019-07-24,2019-07-26,2019-07-29,8169.250606490993,8016.629405386443,-0.018682399213372447,5,STOCK_DD,,3.0,3.0,False,False,True,VCI
2019-07-30,2019-07-30,2019-07-31,8048.7601845663485,7752.60867646653,-0.036794674124804305,1,STOCK_DD,,4.0,3.0,False,False,True,VCI
2019-08-01,2019-08-02,2019-08-05,8000.56401579649,7824.614329808325,-0.02199216025779749,4,STOCK_DD,,4.0,3.0,False,False,True,VCI
2019-08-14,2019-08-14,2019-08-15,8072.858268951277,8040.631289833708,-0.003992015968063756,1,STOCK_DD,,3.0,3.0,False,False,True,VCI
2019-09-23,2019-10-09,2019-10-10,8578.91804103479,8280.650134306357,-0.034767543564556136,17,STOCK_DD,,2.0,3.0,False,False,True,VCI
2019-10-15,2019-10-15,2019-10-16,8386.133365955357,8376.657672095414,-0.0011299240599260685,1,STOCK_DD,,2.0,3.0,False,False,True,VCI
2019-10-24,2019-10-24,2019-10-25,8362.035281570428,8424.661440989945,0.00748934407841384,1,STOCK_DD,,3.0,3.0,False,False,True,VCI
2020-01-22,2020-01-22,2020-01-30,7096.885851361645,7200.56533417944,0.01460915181521516,8,STOCK_DD,,1.0,3.0,False,False,True,VCI
2020-02-24,2020-02-24,2020-02-25,6554.678952700739,6480.508800761495,-0.011315604085945785,1,MARKET_DD,,6.0,3.0,False,True,True,VCI
2020-08-20,2020-08-20,2020-08-21,5654.244761150238,5657.213392559952,0.0005250270434189463,1,STOCK_DD,,4.0,4.0,False,False,True,VCI
2020-08-24,2020-08-24,2020-08-25,6077.35151198461,6027.550160921664,-0.008194581301531834,1,STOCK_DD,,3.0,4.0,False,False,True,VCI
2020-10-02,2020-10-02,2020-10-05,7949.278349009405,8377.27310500977,0.053840705685403334,3,STOCK_DD,,4.0,4.0,False,False,True,VCI
2020-12-21,2020-12-21,2020-12-22,12436.774191192133,13029.790981659633,0.047682524531761805,1,STOCK_DD,,3.0,3.0,False,False,True,VCI
2021-01-15,2021-01-15,2021-01-18,15855.401686483987,16521.774964744414,0.04202815491129952,3,STOCK_DD,,1.0,3.0,False,False,True,VCI
2021-03-11,2021-03-11,2021-03-12,15436.777219514111,15427.272522285006,-0.0006157177171081107,1,STOCK_DD,,2.0,4.0,False,False,True,VCI
2021-05-11,2021-05-11,2021-05-12,18905.621088666656,18238.344847333563,-0.035295124037639014,1,STOCK_DD,,3.0,3.0,False,False,True,VCI
2021-07-02,2021-07-14,2021-07-15,29816.865259839986,27438.217911917753,-0.07977523214440685,13,SELL_V4,MA10,4.0,3.0,True,False,True,VCI
2021-07-21,2021-07-21,2021-07-22,27278.110427933316,26200.808084517543,-0.03949329064642959,1,STOCK_DD,,4.0,4.0,False,False,True,VCI
2021-09-20,2021-09-28,2021-09-29,35272.48734542665,32280.25636696206,-0.08483186765825157,9,SELL_V4,MA20,3.0,2.0,True,False,False,VCI
2022-03-09,2022-03-09,2022-03-10,34701.640864749774,35547.503772460106,0.024375300032845715,1,MARKET_DD,,5.0,5.0,False,True,True,VCI
2022-06-09,2022-06-09,2022-06-10,23061.217030371685,22312.8946756365,-0.03244938694040478,1,MARKET_DD,,5.0,2.0,False,True,False,VCI
2022-07-15,2022-07-22,2022-07-25,21688.525540468607,20508.175253342368,-0.05442279996968091,10,STOCK_DD,,4.0,3.0,False,False,True,VCI
2022-08-30,2022-08-30,2022-08-31,27374.213691647154,26305.152791620487,-0.03905357472798843,1,STOCK_DD,,4.0,4.0,False,False,True,VCI
2022-09-07,2022-09-07,2022-09-08,26838.864010584955,27158.29288215953,0.011901728457977878,1,MARKET_DD,,5.0,2.0,False,True,False,VCI
2018-03-01,2018-03-01,2018-03-02,4534.735172808529,4617.9022231838735,0.018340001611127477,1,MARKET_DD,,5.0,3.0,False,True,True,SHS
2018-03-07,2018-03-07,2018-03-08,4758.421661153344,4597.648266064647,-0.03378712660149763,1,MARKET_DD,,5.0,2.0,False,True,False,SHS
2018-03-15,2018-03-23,2018-03-26,4860.097337673714,4698.918051660784,-0.03316379792715807,11,STOCK_DD,,2.0,3.0,False,False,True,SHS
2018-08-09,2018-08-09,2018-08-10,2928.259483786673,2957.077739407218,0.009841428254601992,1,STOCK_DD,,3.0,3.0,False,False,True,SHS
2018-08-28,2018-08-31,2018-09-04,3131.6108368274145,3078.6014821225826,-0.01692718459185516,7,MARKET_DD,,5.0,3.0,False,True,True,SHS
2018-09-27,2018-10-05,2018-10-08,3375.632460476304,3260.887096195631,-0.033992256450953384,11,STOCK_DD,,2.0,3.0,False,False,True,SHS
2018-12-04,2018-12-04,2018-12-05,2846.9189425703767,2795.0460824533975,-0.018220701454234267,1,MARKET_DD,,5.0,2.0,False,True,False,SHS
2018-12-06,2018-12-06,2018-12-07,2846.9189425703767,2835.5539966918523,-0.003992015968063867,1,MARKET_DD,,5.0,1.0,False,True,False,SHS
2018-12-10,2018-12-18,2018-12-19,2968.9297543948214,2795.0460824533975,-0.05856779591501915,9,SELL_V4,MA50,4.0,1.0,True,False,False,SHS
2019-02-12,2019-03-05,2019-03-06,2790.3159886035287,2981.298966448068,0.06844492832516802,22,MARKET_DD,,5.0,2.0,False,True,False,SHS
2019-03-14,2019-03-19,2019-03-20,3069.3475874638807,2981.298966448068,-0.028686428795301477,6,STOCK_DD,,3.0,3.0,False,False,True,SHS
2019-04-09,2019-04-16,2019-04-17,2993.2480605019673,2905.503230012947,-0.029314252850231703,8,MARKET_DD,,5.0,1.0,False,True,False,SHS
2019-06-10,2019-06-10,2019-06-11,3018.614569489272,2981.298966448068,-0.01236183095992871,1,MARKET_DD,,6.0,4.0,False,True,True,SHS
2019-07-18,2019-07-22,2019-07-23,2909.687795528004,2811.13010712459,-0.03387225548902206,5,STOCK_DD,,4.0,3.0,False,False,True,SHS
2019-11-04,2019-11-13,2019-11-14,2473.2346261988037,2492.342156832111,0.007725725020546914,10,MARKET_DD,,5.0,1.0,False,True,False,SHS
2019-12-19,2019-12-19,2019-12-20,2269.5564805118424,2260.4963748012165,-0.003992015968063756,1,MARKET_DD,,7.0,2.0,False,True,False,SHS
2020-01-03,2020-01-03,2020-01-06,2269.5564805118424,2231.515652047355,-0.016761349096678146,3,STOCK_DD,,4.0,3.0,False,False,True,SHS
2020-03-02,2020-03-02,2020-03-03,2356.847114377683,2492.342156832111,0.05748995835489534,1,STOCK_DD,,4.0,3.0,False,False,True,SHS
2020-05-19,2020-05-19,2020-05-20,2589.622138019923,2550.303602339835,-0.015183116912242611,1,STOCK_DD,,2.0,3.0,False,False,True,SHS
2020-05-27,2020-05-29,2020-06-01,2735.106527796323,2550.303602339835,-0.06756699367222962,5,STOCK_DD,,1.0,3.0,False,False,True,SHS
2020-06-03,2020-06-03,2020-06-04,2618.7190159752035,2869.091552632314,0.09560878243512971,1,STOCK_DD,,1.0,3.0,False,False,True,SHS
2020-06-24,2020-06-29,2020-06-30,4015.369157828645,3506.6674532172724,-0.12668865168214283,6,STOCK_DD,,3.0,3.0,False,False,True,SHS
2020-08-18,2020-10-27,2020-10-28,3417.108959839707,4039.630013093846,0.18217770067341976,71,SELL_V4,MA10,3.0,3.0,True,False,True,SHS
2020-12-03,2020-12-03,2020-12-04,4758.4040655711815,4739.408440558922,-0.003992015968063756,1,STOCK_DD,,2.0,3.0,False,False,True,SHS
2021-01-13,2021-01-13,2021-01-14,8526.804600721513,8556.381681277517,0.00346871799472237,1,STOCK_DD,,2.0,3.0,False,False,True,SHS
2021-02-24,2021-02-26,2021-03-01,8526.804600721513,8715.422232974124,0.022120552901687462,5,STOCK_DD,,4.0,3.0,False,False,True,SHS
2021-03-12,2021-03-16,2021-03-17,8782.289382765603,8779.038453652767,-0.0003701687534021225,5,STOCK_DD,,2.0,3.0,False,False,True,SHS
2021-04-02,2021-04-02,2021-04-05,10027.777695230543,10114.979087904276,0.008695983828521436,3,STOCK_DD,,3.0,3.0,False,False,True,SHS
2021-07-08,2021-07-08,2021-07-09,14115.534207935989,13931.95232862287,-0.013005662882380031,1,STOCK_DD,,2.0,3.0,False,False,True,SHS
2021-08-10,2021-08-10,2021-08-11,14371.018989980079,14695.346976766592,0.022568196939454666,1,MARKET_DD,,5.0,2.0,False,True,False,SHS
2021-09-20,2021-09-21,2021-09-22,17954.0695499584,17172.425536030263,-0.04353575726957948,2,SELL_V4,MA20,2.0,2.0,True,False,False,SHS
2021-10-21,2021-10-21,2021-10-22,17196.7018518212,16861.81318783333,-0.01947400535716115,1,STOCK_DD,,2.0,3.0,False,False,True,SHS
2021-10-29,2021-10-29,2021-11-01,17196.7018518212,17083.67915083114,-0.0065723475329131364,3,STOCK_DD,,1.0,3.0,False,False,True,SHS
2021-11-12,2021-11-19,2021-11-22,19468.804946232813,21964.730336782894,0.1282012633771361,10,MARKET_DD,,5.0,1.0,False,True,False,SHS
2022-02-21,2022-02-24,2022-02-25,18889.641412363184,18858.606854813595,-0.0016429405340260272,4,STOCK_DD,,4.0,3.0,False,False,True,SHS
2022-04-05,2022-04-06,2022-04-07,19246.049740898343,18725.48727701491,-0.027047756339173668,2,STOCK_DD,,2.0,3.0,False,False,True,SHS
2022-07-15,2022-07-15,2022-07-18,10767.095605047014,10521.771429207998,-0.022784619440364362,3,STOCK_DD,,4.0,3.0,False,False,True,SHS
2018-04-10,2018-04-10,2018-04-11,8142.323220114193,8054.874363066573,-0.010740037540095781,1,STOCK_DD,,2.0,5.0,False,False,True,MBB
2018-07-30,2018-07-30,2018-07-31,6118.216691710197,6067.639056358581,-0.008266728345883045,1,STOCK_DD,,4.0,3.0,False,False,True,MBB
2018-08-14,2018-08-14,2018-08-15,6393.93031944821,6250.714372714227,-0.0223987343587978,1,STOCK_DD,,3.0,5.0,False,False,True,MBB
2018-08-28,2018-08-28,2018-08-29,6315.15499723735,6250.714372714227,-0.010204123976579105,1,STOCK_DD,,4.0,4.0,False,False,True,MBB
2018-10-05,2018-10-09,2018-10-10,6302.0257768688725,5989.178206491874,-0.049642381902860855,5,UGLY_BAR,MA50,1.0,1.0,True,False,False,MBB
2018-11-22,2018-11-22,2018-11-23,5593.047876971124,5544.566723913875,-0.00866810978981003,1,STOCK_DD,,4.0,5.0,False,False,True,MBB
