trades,win_rate,avg_ret,expectancy,median_ret,avg_win,avg_loss,profit_factor,max_drawdown,avg_hold_days,tail5,median_hold_bars,skipped_due_to_regime,symbol
2,0.5,0.3374280285582683,0.3374280285582683,0.3374280285582683,0.7219445723936748,-0.0470885152771382,15.331648665172162,0.0,151.0,-0.008636860893597546,103.0,0,PET
2,0.5,0.6909425401686087,0.6909425401686087,0.6909425401686087,1.543578360443671,-0.16169328010645379,9.546335873868273,-0.16169328010645379,177.5,-0.07642969807894755,121.0,3,PDR
2,0.5,0.09476981007279,0.09476981007279,0.09476981007279,0.21321558836723953,-0.023675968221659516,9.005569967448395,-0.023675968221659627,100.0,-0.011831390392214564,69.5,1,MBB
4,0.5,0.24405882387792927,0.24405882387792927,0.0271074768115398,0.5495464067087057,-0.06142875895284716,8.946076985382996,-0.11910383805307379,145.5,-0.06454455117867429,88.0,1,TCB
3,0.3333333333333333,0.543916665180728,0.543916665180728,-0.13093421001134975,1.9322887902950576,-0.1502693973764368,6.429415516502407,-0.2783317524354393,101.33333333333333,-0.16573754726850642,30.0,0,NKG
4,0.5,0.12033642550518237,0.12033642550518237,0.02578949278116599,0.28776089058746157,-0.04708803957709684,6.111124888015632,-0.060218273131156796,62.0,-0.05627920306493881,45.0,2,SSI
4,0.5,0.1957233944808796,0.1957233944808796,0.064526464312754,0.47178306222803446,-0.08033627326627524,5.872603284251258,-0.043832335329341054,64.5,-0.10588902982212917,32.5,0,PVD
2,0.5,0.03791590925292293,0.03791590925292293,0.03791590925292293,0.09383019674935866,-0.017998378243512803,5.213258410278054,0.0,95.5,-0.012406949493869229,65.0,2,STB
4,0.25,0.18323672552572465,0.18323672552572465,-0.04176326304366129,0.915399969292185,-0.06081768906309548,5.017180491367135,-0.16140379949700423,60.5,-0.09448803135962852,39.0,0,DIG
4,0.25,0.2276496461342818,0.2276496461342818,-0.07733893808393177,1.1787063909679216,-0.08936926881026482,4.3963896712279285,-0.2454235073502874,146.0,-0.11005424789717382,35.0,1,MSN
5,0.8,0.07590413958525484,0.07590413958525484,0.12327210279439105,0.13773813274182445,-0.1714318330410236,3.2138286174391832,-0.17143183304102372,122.8,-0.1261191173045913,113.0,0,MWG
4,0.5,0.029596896327729355,0.029596896327729355,0.03443666842983373,0.08727488410859463,-0.02808109145313592,3.107959113848772,-0.01584160825011316,65.5,-0.036648729695251854,43.0,2,DCM
2,0.5,0.014134982701263343,0.014134982701263343,0.014134982701263343,0.047717277674534264,-0.019447312272007578,2.453669535775307,-0.019447312272007466,72.5,-0.016089082774680484,50.5,0,PVT
2,0.5,0.024367665049575382,0.024367665049575382,0.024367665049575382,0.13985329298054472,-0.09111796288139395,1.534859741789754,-0.09111796288139395,70.0,-0.07956940008829702,49.5,4,SBT
2,0.5,0.011580832943395458,0.011580832943395458,0.011580832943395458,0.1005175658222508,-0.07735589993545988,1.2994169275532355,0.0,57.0,-0.06846222664757434,40.5,3,VNM
2,0.5,0.007854915640632343,0.007854915640632343,0.007854915640632343,0.08710627525436943,-0.07139644397310474,1.2200366069657842,0.0,87.0,-0.06347130801173104,60.5,1,VJC
3,0.3333333333333333,-0.0020876930369330138,-0.0020876930369330138,-0.013214312116507587,0.06779782734345985,-0.037030453227129445,0.9154333992027601,-0.07325686056545333,65.0,-0.056083366115626934,32.0,1,HDB
4,0.5,-0.015576172707345542,-0.015576172707345542,-0.033382926390249534,0.09909730843675824,-0.13024965385144932,0.7608258871058455,-0.18942920301431665,78.5,-0.17167533826545645,53.5,4,TCH
6,0.16666666666666666,-0.053515232950105886,-0.053515232950105886,-0.12878944491968453,0.5207872514081153,-0.16837572982175014,0.6186013292526701,-0.4867673299308881,59.666666666666664,-0.27349734735759856,28.5,7,GEX
3,0.3333333333333333,-0.020358772105405598,-0.020358772105405598,-0.02506141563027786,0.05748995835489512,-0.05928313733555596,0.48487614639462284,-0.11622291053523903,83.0,-0.08666051469977844,52.0,0,KDH
4,0.25,-0.033328336130686614,-0.033328336130686614,-0.043789495798917166,0.11281062608258985,-0.0820413235351121,0.45834879798637523,-0.2308492500211895,49.0,-0.14377900343072936,35.0,1,HPG
9,0.2222222222222222,-0.05476102567634449,-0.05476102567634449,-0.0928806003553534,0.1397301887453165,-0.11032994408253335,0.3618501885601041,-0.4544909450897572,60.333333333333336,-0.16629655125855908,36.0,0,PVS
5,0.2,-0.04724535258703908,-0.04724535258703908,-0.04964921038908032,0.06759737072520133,-0.07595603341509918,0.22248848342231808,-0.27580671412274593,52.2,-0.12916813900110444,38.0,0,HCM
2,0.5,-0.058200735368020395,-0.058200735368020395,-0.058200735368020395,0.015198889276048178,-0.13160036001208897,0.11549276365696863,-0.13160036001208897,42.0,-0.12426039754768212,29.5,1,PLX
2,0.5,-0.09044098291535024,-0.09044098291535024,-0.09044098291535024,0.01781837784285467,-0.19870034367355516,0.0896746201512791,-0.19870034367355516,53.5,-0.18787440759773466,37.5,1,VND
1,1.0,1.2810672361570568,1.2810672361570568,1.2810672361570568,1.2810672361570568,,,0.0,112.0,1.2810672361570568,78.0,0,VIX
2,1.0,0.9102154102682082,0.9102154102682082,0.9102154102682082,0.9102154102682082,,,0.0,325.0,0.17937327922314478,224.0,0,NLG
2,1.0,0.7567632996622441,0.7567632996622441,0.7567632996622441,0.7567632996622441,,,0.0,180.5,0.15785279442860434,124.0,1,HSG
1,1.0,0.6238712448520682,0.6238712448520682,0.6238712448520682,0.6238712448520682,,,0.0,146.0,0.6238712448520682,101.0,3,VPB
4,1.0,0.4979664437663694,0.4979664437663694,0.2802066631320932,0.4979664437663694,,,0.0,238.25,0.18693240214872708,132.5,2,FPT
1,1.0,0.36246154707048683,0.36246154707048683,0.36246154707048683,0.36246154707048683,,,0.0,274.0,0.36246154707048683,187.0,1,PNJ
1,1.0,0.29311504650273945,0.29311504650273945,0.29311504650273945,0.29311504650273945,,,0.0,112.0,0.29311504650273945,78.0,0,SHB
1,1.0,0.2797330405839211,0.2797330405839211,0.2797330405839211,0.2797330405839211,,,0.0,149.0,0.2797330405839211,100.0,0,HBC
1,1.0,0.20461142611532113,0.20461142611532113,0.20461142611532113,0.20461142611532113,,,0.0,94.0,0.20461142611532113,66.0,0,VCI
1,1.0,0.1731824811914633,0.1731824811914633,0.1731824811914633,0.1731824811914633,,,0.0,161.0,0.1731824811914633,108.0,5,ACB
2,1.0,0.1573858373567779,0.1573858373567779,0.1573858373567779,0.1573858373567779,,,0.0,37.0,0.024595869164819584,26.5,1,BSR
1,1.0,0.15134867878921066,0.15134867878921066,0.15134867878921066,0.15134867878921066,,,0.0,127.0,0.15134867878921066,89.0,2,CII
1,1.0,0.14497827583399348,0.14497827583399348,0.14497827583399348,0.14497827583399348,,,0.0,76.0,0.14497827583399348,48.0,0,CTD
1,1.0,0.10048434599332778,0.10048434599332778,0.10048434599332778,0.10048434599332778,,,0.0,101.0,0.10048434599332778,71.0,0,SHS
1,1.0,0.05944464374694247,0.05944464374694247,0.05944464374694247,0.05944464374694247,,,0.0,159.0,0.05944464374694247,111.0,0,IDC
1,1.0,0.05212110989289043,0.05212110989289043,0.05212110989289043,0.05212110989289043,,,0.0,67.0,0.05212110989289043,48.0,0,SCR
1,1.0,0.05024918315581428,0.05024918315581428,0.05024918315581428,0.05024918315581428,,,0.0,57.0,0.05024918315581428,39.0,2,GMD
2,1.0,0.040491332762109256,0.040491332762109256,0.040491332762109256,0.040491332762109256,,,0.0,53.0,0.0273149611709834,37.0,0,DGC
1,1.0,0.029464077514942177,0.029464077514942177,0.029464077514942177,0.029464077514942177,,,0.0,107.0,0.029464077514942177,76.0,0,BVH
1,1.0,0.014117220105243966,0.014117220105243966,0.014117220105243966,0.014117220105243966,,,0.0,75.0,0.014117220105243966,50.0,0,DPM
1,0.0,-0.011814068198681138,-0.011814068198681138,-0.011814068198681138,,-0.011814068198681138,,0.0,101.0,-0.011814068198681138,72.0,0,KSB
