symbol,entry_date,exit_date,hold_weeks,ret,exit_reason
CTR,2025-05-16,2025-05-16,0,0.03103703703703714,MARKET_DD
NKG,2025-05-16,2025-05-16,0,0.03448582995951417,MA10
VOS,2025-05-23,2025-05-23,0,-0.009597122302158308,MA10
DGW,2025-05-23,2025-05-23,0,-0.037593265502235344,MA10
MIG,2025-05-23,2025-05-23,0,-0.02418181818181827,MA10
HUT,2025-05-23,2025-05-23,0,-0.036769230769230825,MA10
HPG,2025-05-23,2025-05-23,0,-0.0118252427184466,MA10
PVC,2025-05-23,2025-05-23,0,-0.027739130434782606,MA10
VCI,2025-05-23,2025-05-23,0,-0.034150134048257376,MA10
VDS,2025-05-23,2025-05-23,0,-0.04613377926421422,MA10
MBS,2025-05-23,2025-05-23,0,-0.05635971223021599,MA10
BID,2025-05-23,2025-05-23,0,-0.023808219178082304,MA10
CTG,2025-05-23,2025-05-23,0,-0.004709677419354839,MARKET_DD
ORS,2025-05-23,2025-05-23,0,-0.0743090705487122,MA10
HDB,2025-05-23,2025-05-23,0,0.0054416475972541446,MARKET_DD
DGC,2025-05-23,2025-05-23,0,-0.042223929747530156,MA10
BSR,2025-05-16,2025-05-30,2,-0.04488888888888886,MARKET_DD
MWG,2025-05-23,2025-05-30,1,-0.02804724409448811,MARKET_DD
TNG,2025-06-06,2025-06-06,0,-0.016416666666666795,MARKET_DD
TVN,2025-06-06,2025-06-06,0,0.007888888888888888,MARKET_DD
DLG,2025-05-16,2025-06-13,4,-0.04929004329004329,MA10
QTP,2025-06-13,2025-06-13,0,-0.020925373134328365,MA10
HUT,2025-06-13,2025-06-13,0,-0.10322222222222227,MA10
VSC,2025-06-13,2025-06-20,1,-0.05967231635593204,MA10
PC1,2025-06-13,2025-06-27,2,-0.0454736842105264,MA10
BMI,2025-06-13,2025-06-27,2,-0.029419203747072492,MA10
VCB,2025-06-27,2025-06-27,0,-0.006,MA10
SAB,2025-05-23,2025-07-04,6,-0.02344283369243052,MA10
VPI,2025-07-04,2025-07-04,0,-0.0003074003795066416,MARKET_DD
VEA,2025-05-30,2025-07-11,6,0.009384615384615495,MARKET_DD
CTD,2025-06-27,2025-07-11,2,0.0036852300242133165,MARKET_DD
VPI,2025-07-11,2025-07-11,0,-0.011660377358490567,MARKET_DD
QTP,2025-07-11,2025-07-11,0,-0.013575757575757578,MA10
VCI,2025-07-11,2025-07-11,0,0.10345945945945935,MARKET_DD
BFC,2025-05-16,2025-07-18,9,0.04133847511946914,MA10
LAS,2025-05-16,2025-07-18,9,0.039298493273469286,MA10
NAF,2025-06-13,2025-07-18,5,-0.04794260485651181,MA10
QTP,2025-07-25,2025-07-25,0,-0.02092537313432822,MARKET_DD
BVH,2025-05-16,2025-08-01,11,0.03134439834024893,MA10
GMD,2025-06-06,2025-08-01,8,-0.03186598095622894,MA10
VHC,2025-06-06,2025-08-01,8,-0.0023963963963964125,MA10
CSV,2025-06-13,2025-08-01,7,0.021972027999999907,MA10
CTR,2025-06-20,2025-08-01,6,-0.07335751295336786,MA10
VGI,2025-07-04,2025-08-01,4,-0.01686956521739119,MA10
TIG,2025-07-11,2025-08-01,3,0.22372972972972974,MARKET_DD
CTD,2025-07-25,2025-08-01,1,-0.054723897911832894,MA10
BFC,2025-08-01,2025-08-01,0,-0.07681545064377683,MA10
PLX,2025-08-01,2025-08-01,0,-0.06759895150720839,MA10
HAH,2025-08-01,2025-08-01,0,0.06190945406125183,MARKET_DD
HAX,2025-05-23,2025-08-08,11,0.004273972602739725,MA10
PTB,2025-08-01,2025-08-08,1,-0.027660649819494634,MARKET_DD
PHR,2025-06-06,2025-08-15,10,0.187359375,MARKET_DD
DRI,2025-06-13,2025-08-15,9,-0.0008717949076923609,MA10
FRT,2025-06-20,2025-08-15,8,0.03262973760932945,MA10
SAB,2025-07-18,2025-08-15,4,-0.019499480789200416,MA10
DGW,2025-07-25,2025-08-15,3,-0.05021052631578947,MARKET_DD
VEA,2025-08-15,2025-08-15,0,-0.01875510204081628,MA10
HHS,2025-02-28,2025-08-22,25,0.8774355828220859,MA10
GAS,2025-05-16,2025-08-22,14,0.10875409836065585,MA10
QNS,2025-05-23,2025-08-22,13,0.03242215878787874,MA10
DPG,2025-05-23,2025-08-22,13,0.24923114361226284,MA10
CTI,2025-05-23,2025-08-22,13,0.16717073170731706,MA10
MSR,2025-06-06,2025-08-22,11,0.03267403314917127,MA10
VGT,2025-06-06,2025-08-22,11,0.05540350877192971,MA10
OIL,2025-06-06,2025-08-22,11,0.16952182168039218,MA10
PVC,2025-06-06,2025-08-22,11,0.16066666666666665,MA10
VGS,2025-06-06,2025-08-22,11,0.1840364708334599,MA10
NVL,2025-06-06,2025-08-22,11,0.11371830985915492,MA10
VOS,2025-06-13,2025-08-22,10,-0.009484320557491323,MA10
PVT,2025-06-13,2025-08-22,10,0.021304347826087186,MA10
DDV,2025-06-20,2025-08-22,9,0.13408954012592597,MA10
VNM,2025-06-20,2025-08-22,9,0.05356678700361008,MA10
DGC,2025-06-20,2025-08-22,9,0.05522448979591851,MA10
TVN,2025-06-27,2025-08-22,8,0.06156756756756757,MA10
PET,2025-06-27,2025-08-22,8,0.3840414937759332,MARKET_DD
TNG,2025-07-25,2025-08-22,4,-0.08618867924528306,MA10
PVS,2025-08-15,2025-08-22,1,-0.10599999999999984,MA10
VPI,2025-08-22,2025-08-22,0,-0.035982363315696646,MARKET_DD
BMI,2025-08-22,2025-08-22,0,-0.0173636363636365,MARKET_DD
DRC,2025-07-25,2025-08-29,5,-0.03243171806167398,MA10
QTP,2025-08-29,2025-08-29,0,0.009037593984962263,MARKET_DD
QTP,2025-09-05,2025-09-05,0,0.009037593984962263,MARKET_DD
VEA,2025-09-05,2025-09-05,0,-0.008544529262086462,MARKET_DD
