trades,expectancy_r,profit_factor,max_drawdown,trades_per_year,pct_hit_1r,pct_hit_2r,top10_pct_pnl,version,setting,realism,pass_exp_r,pass_pf,pass_tpy,pass_top10,pass_realism,group
3,0.4566889346110199,1.2736520117408812,-0.028465353470256693,6.6409090909090915,0.3333333333333333,0.3333333333333333,1.0,M1,fee20_minhold3,True,True,True,False,False,False,Gross-only
3,0.421376890665129,1.213133335797223,-0.030406498603203214,6.6409090909090915,0.3333333333333333,0.3333333333333333,0.9999999999999998,M1,fee30_minhold3,True,True,True,False,False,False,Gross-only
3,0.5274820420458818,1.408056570195489,-0.02457142215409147,6.6409090909090915,0.3333333333333333,0.3333333333333333,1.0,M1,gross,False,True,True,False,False,,Gross-only
0,,,,,,,,M2,fee20_minhold3,True,False,False,False,True,False,Noise
0,,,,,,,,M2,fee30_minhold3,True,False,False,False,True,False,Noise
0,,,,,,,,M2,gross,False,False,False,False,True,,Noise
2,-0.5641651392298235,,-0.024451781344760004,2.2203647416413372,0.0,0.0,1.0,M3,fee20_minhold3,True,False,False,False,False,False,Noise
2,-0.6074383588168848,,-0.026400945672929943,2.2203647416413372,0.0,0.0,1.0,M3,fee30_minhold3,True,False,False,False,False,False,Noise
2,-0.47735919049294145,,-0.020541763547021197,2.2203647416413372,0.0,0.0,1.0,M3,gross,False,False,False,False,False,,Noise
3,-0.522838111689837,,-0.03734851101205461,3.765463917525773,0.0,0.0,1.0,M4,fee20_minhold3,True,False,False,False,False,False,Noise
3,-0.5565335875826474,,-0.04119146085115599,3.765463917525773,0.0,0.0,1.0,M4,fee30_minhold3,True,False,False,False,False,False,Noise
3,-0.45529039864566984,,-0.02961639188701748,3.765463917525773,0.0,0.0,1.0,M4,gross,False,False,False,False,False,,Noise
3,0.4566889346110199,1.2736520117408812,-0.028465353470256693,6.6409090909090915,0.3333333333333333,0.3333333333333333,1.0,M5,fee20_minhold3,True,True,True,False,False,False,Gross-only
3,0.421376890665129,1.213133335797223,-0.030406498603203214,6.6409090909090915,0.3333333333333333,0.3333333333333333,0.9999999999999998,M5,fee30_minhold3,True,True,True,False,False,False,Gross-only
3,0.5274820420458818,1.408056570195489,-0.02457142215409147,6.6409090909090915,0.3333333333333333,0.3333333333333333,1.0,M5,gross,False,True,True,False,False,,Gross-only
3,0.4566889346110199,1.2736520117408812,-0.028465353470256693,6.6409090909090915,0.3333333333333333,0.3333333333333333,1.0,M6,fee20_minhold3,True,True,True,False,False,False,Gross-only
3,0.421376890665129,1.213133335797223,-0.030406498603203214,6.6409090909090915,0.3333333333333333,0.3333333333333333,0.9999999999999998,M6,fee30_minhold3,True,True,True,False,False,False,Gross-only
3,0.5274820420458818,1.408056570195489,-0.02457142215409147,6.6409090909090915,0.3333333333333333,0.3333333333333333,1.0,M6,gross,False,True,True,False,False,,Gross-only
3,-0.44764948569957,0.09936692939795677,-0.02244389027431415,3.8994661921708182,0.0,0.0,1.0,M7,fee20_minhold3,True,False,False,False,False,False,Noise
3,-0.5312126319727787,0.07518982107876197,-0.028268506620589773,3.844736842105263,0.0,0.0,1.0,M7,fee30_minhold3,True,False,False,False,False,False,Noise
3,-0.35835303973612964,0.14753910644024254,-0.018525824806894797,3.8994661921708182,0.0,0.0,1.0,M7,gross,False,False,False,False,False,,Noise
3,-0.6068607110348334,,-0.05403913884579736,3.844736842105263,0.0,0.0,0.9999999999999999,M8,fee20_minhold3,True,False,False,False,False,False,Noise
3,-0.6399737493109535,,-0.05781545891671935,3.844736842105263,0.0,0.0,0.9999999999999999,M8,fee30_minhold3,True,False,False,False,False,False,Noise
3,-0.540479249352449,,-0.04644108061835206,3.844736842105263,0.0,0.0,0.9999999999999999,M8,gross,False,False,False,False,False,,Noise
3,0.4566889346110199,1.2736520117408812,-0.028465353470256693,6.6409090909090915,0.3333333333333333,0.3333333333333333,1.0,M9,fee20_minhold3,True,True,True,False,False,False,Gross-only
3,0.421376890665129,1.213133335797223,-0.030406498603203214,6.6409090909090915,0.3333333333333333,0.3333333333333333,0.9999999999999998,M9,fee30_minhold3,True,True,True,False,False,False,Gross-only
3,0.5274820420458818,1.408056570195489,-0.02457142215409147,6.6409090909090915,0.3333333333333333,0.3333333333333333,1.0,M9,gross,False,True,True,False,False,,Gross-only
3,0.4566889346110199,1.2736520117408812,-0.028465353470256693,6.6409090909090915,0.3333333333333333,0.3333333333333333,1.0,M10,fee20_minhold3,True,True,True,False,False,False,Gross-only
3,0.421376890665129,1.213133335797223,-0.030406498603203214,6.6409090909090915,0.3333333333333333,0.3333333333333333,0.9999999999999998,M10,fee30_minhold3,True,True,True,False,False,False,Gross-only
3,0.5274820420458818,1.408056570195489,-0.02457142215409147,6.6409090909090915,0.3333333333333333,0.3333333333333333,1.0,M10,gross,False,True,True,False,False,,Gross-only
3,0.4566889346110199,1.2736520117408812,-0.028465353470256693,6.6409090909090915,0.3333333333333333,0.3333333333333333,1.0,M11,fee20_minhold3,True,True,True,False,False,False,Gross-only
3,0.421376890665129,1.213133335797223,-0.030406498603203214,6.6409090909090915,0.3333333333333333,0.3333333333333333,0.9999999999999998,M11,fee30_minhold3,True,True,True,False,False,False,Gross-only
3,0.5274820420458818,1.408056570195489,-0.02457142215409147,6.6409090909090915,0.3333333333333333,0.3333333333333333,1.0,M11,gross,False,True,True,False,False,,Gross-only
