strategy,horizon,median_yearly_alpha,sharpe,trade_count
FA_only,8,0.035505309690226916,0.3987402614549467,175
FA_only,10,0.025472349760805535,0.3853034323089407,175
FA_only,13,0.060166983476950486,0.40951576393996597,175
Hybrid,8,0.06348903902036518,0.4319651187278057,144
Hybrid,10,0.04097030722081296,0.39166839626394473,144
Hybrid,13,0.07203129811184539,0.4280131971678717,144
