event_start,event_date,event_close,trend_state,extension_bucket,ret_5d,ret_10d,ret_20d,max_drawdown_20d,max_upside_20d,outcome_A,outcome_B,outcome_C,outcome_A_strict,outcome_B_strict,outcome_C_strict
2012-01-09,2012-01-18,362.66,,,0.07723487564109632,0.12923950807919238,0.15372525230243195,0.0010478133789224575,0.1688358241879444,False,,True,False,,False
2012-01-19,2012-02-06,399.73,,highly_extended,-0.01048207540089563,0.035649063117604296,0.1437970630175367,-0.021639606734545902,0.1711655367372975,False,,True,False,,True
2012-03-28,2012-04-09,450.73,above_ma50,not_extended,0.038892463337252936,0.03203691788875829,0.0818450069886627,-0.004037894082932092,0.09253877043906544,False,False,True,False,False,True
2012-06-11,2012-06-20,432.89,below_ma50,not_extended,-0.03430432673427419,-0.05119083369909205,-0.03247938275312434,-0.06426574880454616,0.0013860334034050403,True,True,True,False,True,False
2012-07-04,2012-07-13,416.98,below_ma50,not_extended,0.017962492205861214,-0.009161110844644771,0.020576526452108057,-0.016547556237709315,0.036260731929588896,False,True,False,False,True,False
2012-07-16,2012-07-25,412.91,below_ma50,not_extended,-0.0008718606960355091,0.02581676394371657,-0.006490518514930654,-0.05175461965077133,0.059819331089099315,True,True,True,False,True,False
2012-08-02,2012-08-13,426.17,above_ma50,not_extended,0.02606940892132248,-0.09381232841354392,-0.09280334138958635,-0.11263110965107825,0.026843747800173734,True,True,True,True,True,False
2012-08-23,2012-09-04,402.08,below_ma50,not_extended,-0.0384500596896139,-0.018827099084759213,-0.04417031436530039,-0.04727914842817349,0.00793374452845197,False,True,True,False,True,True
2012-10-02,2012-10-11,394.19,below_ma50,not_extended,0.010959182120297228,-0.010832339734645702,-0.02179152185494293,-0.055303280144093026,0.01719982749435567,True,True,True,False,True,True
2012-10-15,2012-10-24,395.45,below_ma50,not_extended,-0.017777215830066972,-0.03679352636237199,-0.029283095207990884,-0.05831331394613737,-0.002301175875584649,True,True,True,False,True,True
2012-11-05,2012-11-14,387.71,below_ma50,not_extended,-0.009904309922364574,-0.030744628717340183,0.0086920636558252,-0.03497459441335016,0.015733408991256415,False,True,True,False,True,True
2012-11-29,2012-12-10,386.69,below_ma50,not_extended,0.017947192841811344,0.033670381959709283,0.1605420362564327,-0.0022757247407484416,0.18989371331040372,False,False,False,False,False,False
2012-12-11,2012-12-20,399.68,above_ma50,moderately_extended,0.025745596477181776,0.08634407526020804,0.12037129703763005,-0.01353582866293046,0.17679143314651724,False,False,False,False,False,False
2012-12-24,2013-01-04,426.06,above_ma50,moderately_extended,0.08597380650612596,0.06595315213819664,0.1346289255034503,0.001877669811763738,0.15216166737079284,False,False,False,False,False,False
2013-01-07,2013-01-16,465.25,above_ma50,highly_extended,-0.04702847931219778,0.048038688876947955,0.0635787211176786,-0.05324019344438469,0.07011284255776462,True,False,True,False,False,True
2013-01-23,2013-02-01,483.42,above_ma50,moderately_extended,0.02194778867237579,-0.011853047039841136,-0.02635389516362585,-0.04919117951263918,0.02989119192420664,False,False,True,False,False,True
2013-03-27,2013-04-05,502.58,above_ma50,not_extended,-0.01653468104580369,-0.06794938119304383,-0.032552031517370295,-0.07167018186159413,0.03159695968800991,True,True,True,True,True,True
2013-07-11,2013-07-22,506.16,above_ma50,moderately_extended,-0.04044175754702073,-0.024695748379958915,0.009601706970127966,-0.04069859333017234,0.014185237869448475,False,True,False,False,True,False
2013-07-25,2013-08-05,493.66,below_ma50,not_extended,0.011748977028724239,0.03516590365838823,-0.043531985577117904,-0.06386986995097843,0.03986549446987797,True,True,True,False,True,False
2013-09-10,2013-09-19,476.09,below_ma50,not_extended,0.01894599760549487,0.034048184166859174,0.049360415047575046,-0.002919616038984163,0.055766766787792355,False,True,False,False,True,False
2013-09-20,2013-10-01,492.24,above_ma50,not_extended,0.020274662766130325,0.0070697220867870225,0.009832601982772582,-0.0036770680968633007,0.027425646026328687,False,False,False,False,False,False
2013-10-11,2013-10-22,500.57,above_ma50,not_extended,-0.00697205186087857,-0.001558223625067412,0.008270571548434802,-0.013105060231336285,0.014103921529456498,False,False,True,False,False,True
2013-11-22,2013-12-03,511.62,above_ma50,not_extended,-3.909151323244764e-05,-0.011629725186661943,-0.013662483874750775,-0.02370900277549748,0.004905984910675842,False,True,False,False,False,False
2013-12-31,2014-01-10,518.94,above_ma50,not_extended,0.04750067445176698,0.07948895826107072,0.10718002081165423,-0.00030832080780063276,0.11535052221836795,False,False,True,False,False,True
2014-03-04,2014-03-13,595.22,above_ma50,not_extended,0.008467457410705315,-0.008534659453647508,0.008988273243506706,-0.03497866335136601,0.023923927287389457,False,False,True,False,False,True
2014-05-23,2014-06-03,558.76,below_ma50,moderately_extended,0.014550075166440024,0.024142744648865344,0.03455866561672294,-0.018415777793685972,0.04205741284272313,False,True,False,False,True,False
2014-06-20,2014-07-01,578.07,above_ma50,not_extended,0.023180583666337906,0.019444011970868313,0.024512602280000628,-0.002058574221115217,0.047935371148822625,False,False,True,False,False,False
2014-07-11,2014-07-22,597.98,above_ma50,not_extended,-0.009598983243586767,0.016304893140238752,0.01113749623733229,-0.020452189036422652,0.021572627847085135,False,False,True,False,False,False
2014-08-11,2014-08-20,606.7,above_ma50,not_extended,0.03637712213614619,0.052661941651557465,0.010862040547222618,0.003098730838964947,0.06240316466128215,False,False,True,False,False,False
2014-08-21,2014-09-03,640.75,above_ma50,moderately_extended,-0.018650019508388627,-0.023550526726492493,-0.04912992586812337,-0.07272727272727275,0.00332422941864996,True,True,True,True,True,True
2014-09-24,2014-10-03,611.55,below_ma50,not_extended,0.010089117815387239,-0.04295642220587026,-0.01751287711552596,-0.05520398986182651,0.026064917014144484,True,True,True,False,True,True
2014-12-26,2015-01-08,553.47,below_ma50,not_extended,0.0438506152094964,0.038068910690732816,0.02475292247095595,-0.00046976349214955526,0.0601477948217608,False,True,True,False,False,True
2015-02-04,2015-02-13,587.24,above_ma50,not_extended,0.005943055650160067,0.002043457530141124,-0.027842108848171176,-0.04286152169470736,0.02581568013078117,False,True,True,False,True,True
2015-03-17,2015-03-26,556.16,below_ma50,not_extended,-0.016739787111622495,-0.010140966628308323,0.009152042577675656,-0.03468426352128873,0.029847525891829818,False,True,True,False,True,False
2015-04-02,2015-04-13,559.54,below_ma50,not_extended,0.009829502805876356,0.005111341459055785,-0.039496729456338975,-0.05475926654037244,0.023626550380669853,True,True,True,False,True,True
2015-05-19,2015-05-28,572.97,above_ma50,moderately_extended,-0.006946262457022234,0.014101959962999677,0.026214286960922983,-0.009005707105084193,0.038640766532279214,False,False,True,False,False,False
2015-06-03,2015-06-12,582.73,above_ma50,not_extended,0.0033806394041837606,-0.0016817393990355978,0.076450500231668,-0.011755015187136397,0.09325073361591141,False,False,True,False,False,False
2015-10-05,2015-10-14,589.98,above_ma50,not_extended,0.00044069290484416435,0.010610529170480332,0.022966880233228126,-0.002915353062815762,0.047374487270754884,False,False,True,False,False,True
2015-12-21,2015-12-30,579.45,below_ma50,not_extended,-0.024316161877642628,-0.04559496073863156,-0.06899646216239541,-0.11326257658124084,0.002364310984554363,True,True,True,True,True,True
2016-01-22,2016-02-02,536.45,below_ma50,not_extended,0.02162363687202884,0.04628576754590341,0.07132071954515795,-0.011594743219312198,0.08295274489700821,False,True,False,False,True,False
2016-02-03,2016-02-19,554.03,below_ma50,not_extended,0.02180387343645651,0.03541324477013874,0.039330000180495706,0.002310344205187498,0.05324621410392938,False,False,False,False,False,False
2016-03-01,2016-03-10,575.91,above_ma50,not_extended,0.005816881109895755,-0.00911600770953791,-0.00748380823392536,-0.03752322411487907,0.013231234046986451,False,True,True,False,False,True
2016-04-01,2016-04-12,579.84,above_ma50,not_extended,-0.020367687637969145,0.024351545253863183,0.05342853200883013,-0.025075883002207644,0.0650524282560705,False,False,False,False,False,False
2016-04-28,2016-05-11,614.06,above_ma50,moderately_extended,0.013663159951796455,-0.0035338566263882765,0.022489658990978212,-0.017636713024785755,0.030322769761912616,False,False,False,False,False,False
2016-05-20,2016-05-31,618.44,above_ma50,not_extended,0.010041394476424381,0.011302632429984971,0.006079813724856109,-0.03356833322553543,0.024303085182070916,False,False,True,False,False,False
2016-06-27,2016-07-06,649.46,above_ma50,moderately_extended,0.03950974655867956,0.01662919964278009,-0.027484371631817273,-0.03356634742709341,0.049718227450497254,False,True,True,False,True,True
2016-09-19,2016-09-28,686.72,above_ma50,moderately_extended,0.0004659832246038942,-0.0062179636533084,-0.01909075023299167,-0.02551258154706426,0.007936276794035413,False,False,False,False,False,False
2016-10-04,2016-10-13,685.23,above_ma50,not_extended,0.0016928622506311441,-0.0121565021963429,-0.010303109904703622,-0.04166484246165536,0.008216219371597777,False,True,True,False,True,True
