event_start,event_date,event_close,trend_state,extension_bucket,ret_5d,ret_10d,ret_20d,max_drawdown_20d,max_upside_20d,outcome_A,outcome_B,outcome_C,outcome_A_strict,outcome_B_strict,outcome_C_strict
2016-12-23,2017-01-04,674.7,above_ma50,not_extended,0.018467467022380113,0.012716763005780285,0.040521713354083166,-0.0020601748925449526,0.04950348302949448,False,False,False,False,False,False
2017-01-05,2017-01-16,677.94,above_ma50,not_extended,0.013585273033011713,0.03259875505206944,0.04816060418326096,0.0013128005428209022,0.05917927840221826,False,False,False,False,False,False
2017-01-17,2017-02-02,703.18,above_ma50,moderately_extended,-0.00359794078329867,0.008774424756108123,0.006157740550072566,-0.00890241474444664,0.023322620097272484,False,False,True,False,False,False
2017-02-06,2017-02-15,711.57,above_ma50,not_extended,0.007968295459336305,-0.002880953384769014,0.0022063886897984997,-0.010062256699973404,0.01125679834731641,False,False,True,False,False,False
2017-03-01,2017-03-10,712.21,above_ma50,not_extended,-0.002344814029569986,0.013942516954269069,0.024796057342637567,-0.006430687578102057,0.028123727552266775,False,False,True,False,False,False
2017-04-17,2017-04-26,710.04,below_ma50,not_extended,0.014027378739225993,0.021590332938989487,0.046997352261844316,0.0018872176215425362,0.053546279082868464,False,False,False,False,False,False
2017-04-27,2017-05-10,724.31,above_ma50,not_extended,0.003990004279935455,0.025444906186577576,0.040245198878933186,-0.002070936477475138,0.04226091038367552,False,False,False,False,False,False
2017-05-11,2017-05-22,744.1,above_ma50,moderately_extended,0.0028893965864802418,-0.0008197822873270422,0.030546969493347786,-0.011705415938717989,0.03250907136137604,False,False,False,False,False,False
2017-06-05,2017-06-14,760.77,above_ma50,not_extended,0.008727999263903552,0.01087056534826547,0.017613733454263425,-0.003417590073215293,0.030271961302364758,False,False,False,False,False,False
2017-06-15,2017-06-26,772.52,above_ma50,not_extended,0.008232796561901345,-0.0077150106146119946,-0.016543261015895983,-0.02420649303577893,0.014601563713560806,False,False,True,False,False,False
2017-07-28,2017-08-08,791.57,above_ma50,not_extended,-0.025910532233409667,-0.03829099132104563,0.0025013580605630636,-0.04113344366259464,0.008855818184115183,False,True,False,False,True,False
2017-09-12,2017-09-21,803.93,above_ma50,not_extended,0.001107061560086109,0.001617056211361767,0.031097234833878495,-0.011045737812993672,0.036868881619046556,False,False,False,False,False,False
2017-10-04,2017-10-13,820.95,above_ma50,not_extended,0.007174614775564914,0.023655521042694305,0.05756745234179905,-0.00734514891284499,0.07112491625555761,False,False,False,False,False,False
2017-11-03,2017-11-14,880.9,above_ma50,moderately_extended,0.0424565784992621,0.06846407083664441,0.052616642070609565,-0.004881371324781392,0.10659552730162325,False,False,False,False,False,False
2017-11-15,2017-11-24,935.57,above_ma50,moderately_extended,0.026465149587951764,0.004906100024583804,0.01790352405485418,-0.04258366557285931,0.041931656637130166,False,False,False,False,False,False
2017-12-12,2017-12-21,946.06,above_ma50,not_extended,0.032408092509988995,0.070386656237448,0.12262435786313763,-0.0009301735619304807,0.15008561824831412,False,False,False,False,False,False
2017-12-22,2018-01-03,1005.67,above_ma50,moderately_extended,0.03225710223035394,0.02885638430101345,0.0988097487247308,-0.0007756023347619267,0.12372845963387591,False,False,False,False,False,False
2018-01-08,2018-01-17,1034.69,above_ma50,not_extended,0.07823599338932441,0.06799137906039476,0.06587480308111604,-0.05886787346934841,0.09221119369086384,True,True,True,False,False,True
2018-03-08,2018-03-19,1159.22,above_ma50,moderately_extended,0.010351788271423912,0.03225444695571156,-0.009256224012698211,-0.01784820827798006,0.04496126705888437,False,False,False,False,False,False
2018-03-26,2018-04-04,1191.54,above_ma50,not_extended,-0.020502878627658427,-0.04448864494687543,-0.10849824596740354,-0.15756919616630582,0.016617150913943224,True,True,True,True,True,True
2018-05-29,2018-06-07,1036.69,below_ma50,not_extended,-0.020227840530920527,-0.06490850688248184,-0.13243110283691373,-0.1463311115183903,0.008594661856485386,True,True,True,True,True,True
2018-07-26,2018-08-06,960.23,below_ma50,not_extended,0.018547639628005763,0.009778907136831716,0.016360663591014735,-0.013684221488601711,0.04460389698301448,False,True,True,False,False,False
2018-08-16,2018-08-27,991.92,above_ma50,not_extended,-0.016110170175014038,-0.006915880312928446,0.018973304298733895,-0.03671667069924989,0.023126865069763802,False,False,False,False,False,False
2018-09-05,2018-09-14,991.34,above_ma50,not_extended,0.01173159561805237,0.02601529243246503,-0.021445719934633956,-0.058496580386144026,0.033631246595517306,True,True,False,False,True,False
2018-09-17,2018-09-26,1009.61,above_ma50,not_extended,0.010687295094145233,-0.015501035053139267,-0.08605303037806677,-0.12308713265518367,0.014926555798773888,True,True,True,True,True,True
2018-10-26,2018-11-06,922.05,below_ma50,not_extended,-0.01807927986551705,-0.0032861558483813225,0.03990022233067636,-0.03204815357084756,0.04210183829510328,False,True,False,False,True,False
2018-11-16,2018-11-27,923.12,below_ma50,not_extended,0.03869486090649099,0.03408007626310772,-0.027277060403847808,-0.04436042984660715,0.047350290319785104,False,True,True,False,True,True
2018-11-30,2018-12-11,954.58,above_ma50,not_extended,-0.028630392423893314,-0.05933499549540111,-0.05895786628674404,-0.09714219866328644,0.012832868905696682,True,True,True,True,True,True
2019-02-01,2019-02-19,964.35,above_ma50,moderately_extended,0.02354954114170149,0.029138798154197065,0.043801524342821585,-0.001099185980193984,0.052014310157100674,False,False,False,False,False,False
2019-02-27,2019-03-08,985.25,above_ma50,not_extended,0.01915249936564334,0.0035117990357778073,0.00407003298655173,-0.02079675209337728,0.029698046181172222,False,False,True,False,False,True
2019-04-18,2019-05-02,978.5,below_ma50,not_extended,-0.03218191108840063,-0.0028717424629534083,-0.009361267245784344,-0.03432805314256515,0.014655084312723554,False,True,True,False,True,True
2019-05-07,2019-05-16,975.69,below_ma50,not_extended,0.007194908218798979,-0.006508214699341042,-0.026248091094507542,-0.03724543656284274,0.017577304266723992,False,True,True,False,True,True
2019-07-09,2019-07-18,976.05,above_ma50,not_extended,0.019363762102351467,0.021863634035141688,0.0034117104656523622,-0.020787869473899878,0.027375646739408843,False,True,True,False,True,True
2019-08-14,2019-08-23,992.45,above_ma50,not_extended,-0.008453826389238861,-0.01846944430449904,-0.006750969822157282,-0.02550254420877629,0.006156481434832939,False,True,False,False,True,False
2019-08-27,2019-09-06,974.08,below_ma50,not_extended,0.013489651773981537,0.01671320630749018,0.013869497371879147,-0.0071246714848883785,0.03089068659658345,False,True,False,False,True,False
2019-10-03,2019-10-14,993.57,above_ma50,not_extended,-0.010074780840806485,0.0029288323922822546,0.02333001197701212,-0.01011503970530514,0.03562909508137313,False,True,False,False,False,False
2019-12-03,2019-12-12,968.17,below_ma50,not_extended,-0.016433064441162215,-0.009894956464257199,0.0003821642893293564,-0.023642542115537513,0.003790656599564235,False,True,True,False,True,False
2019-12-18,2019-12-27,963.51,below_ma50,not_extended,-0.008012371433612553,0.0024182416373468296,-0.03670953077809258,-0.07437390374775554,0.029008520928687886,True,True,True,True,True,False
2020-01-09,2020-01-20,978.63,above_ma50,not_extended,-0.051592532417767734,-0.04894597549635715,-0.07693408131776047,-0.08867498441699107,0.013110164209149566,True,True,True,True,True,True
2020-02-04,2020-02-13,938.24,below_ma50,not_extended,-0.00011724079126873566,-0.04241984993178716,-0.1801138301500682,-0.2289606070941338,0.0025686391541610565,True,True,True,True,True,True
2020-03-24,2020-04-03,701.8,below_ma50,not_extended,0.07999430037047617,0.12510686805357651,0.08885722428042175,0.019364491308065057,0.13634938728982626,False,True,True,False,True,False
2020-05-05,2020-05-14,832.4,above_ma50,moderately_extended,0.03643680922633363,0.03482700624699664,0.04201105237866409,-0.011196540124939869,0.08799855838539172,False,False,False,False,False,False
2020-05-15,2020-05-26,869.13,above_ma50,moderately_extended,0.006523765144454741,0.03486244865555199,-0.0010700355527941685,-0.04218011114562836,0.04201903052477762,False,False,True,False,False,False
2020-06-30,2020-07-09,876.46,above_ma50,not_extended,0.00042215275083856696,-0.022488191132510327,-0.04155352212308616,-0.11026173470551992,0.0023617734979348715,True,True,True,True,True,True
2020-08-03,2020-08-12,846.92,below_ma50,not_extended,0.005065413498323457,0.03134888773437883,0.049473385916025236,-0.006257970056203654,0.06952250507722102,False,True,False,False,False,False
2020-08-21,2020-09-01,891.73,above_ma50,moderately_extended,-0.0027026117771074,0.006436925975351393,0.015116683300999245,-0.01139358325950679,0.028887667791820393,False,False,True,False,False,False
2020-10-05,2020-10-14,940.18,above_ma50,not_extended,-0.0012231700312705929,-0.020347167563658064,0.012806058414346344,-0.03082388478801923,0.03187687464102629,False,False,False,False,False,False
2020-10-29,2020-11-09,951.99,above_ma50,not_extended,-0.0012605174424101806,0.04432819672475552,0.08192312944463698,-0.004600888664796909,0.08465425056985887,False,False,False,False,False,False
2020-11-17,2020-11-26,1005.97,above_ma50,moderately_extended,0.01374792488841603,0.024791991808901015,0.061184727178742904,-0.01715756931121204,0.08759704563754367,False,False,True,False,False,True
2020-12-24,2021-01-05,1132.55,above_ma50,moderately_extended,0.05273939340426481,-0.0013685929981015477,-0.05034656306564833,-0.11851132400335518,0.060306388238929864,True,True,True,True,True,False
2021-03-05,2021-03-16,1179.9,above_ma50,not_extended,0.003008729553351852,0.005475040257648889,0.057996440376302916,-0.03559623696923464,0.07468429527926079,False,False,True,False,False,True
2021-03-25,2021-04-05,1236.05,above_ma50,moderately_extended,0.013268071679948257,0.019845475506654164,0.011747097609319912,-0.02581610776263088,0.0406698758140851,False,False,True,False,False,True
2021-06-17,2021-06-28,1405.81,above_ma50,moderately_extended,0.0037842951750237663,-0.07789815124376698,-0.09467851274354278,-0.12824634907988985,0.013138333060655372,True,True,True,True,True,True
2021-07-26,2021-08-04,1334.74,below_ma50,not_extended,0.017269280908641438,0.019629291097891688,-6.742886254995639e-05,-0.03714581116921645,0.03368446289164928,False,True,True,False,True,False
2021-08-27,2021-09-09,1343.98,above_ma50,not_extended,0.0014062709266506879,0.006532835310049334,0.01637673179660415,-0.02051369812050774,0.021689310852840205,False,True,False,False,False,False
2021-09-14,2021-09-23,1352.76,above_ma50,not_extended,-0.007909754871522012,0.009780005322451935,0.023662733966113736,-0.02687098968035717,0.03686537153671021,False,True,False,False,False,False
2021-10-04,2021-10-13,1391.91,above_ma50,not_extended,0.0013578464124834877,0.02235058301183268,0.05252494773368954,-0.011322571143249194,0.059120201737181244,False,False,False,False,False,False
2021-11-04,2021-11-15,1476.5700000000002,above_ma50,not_extended,-0.019856830356840605,0.005600818112246442,-0.00024380828541836763,-0.05126746446155639,0.023778080280650427,True,True,True,False,False,True
2021-12-13,2021-12-22,1477.67,above_ma50,not_extended,0.0055154398478685085,0.03444612125846769,-0.008371287229219093,-0.03588081235999929,0.039778841013216715,False,True,True,False,True,False
2022-01-25,2022-02-10,1506.79,above_ma50,not_extended,0.0007963949853662111,-0.00792413010439419,-0.018390087537082045,-0.03179606979074712,0.009284638204394735,False,True,True,False,True,True
2022-03-14,2022-03-23,1502.3400000000001,above_ma50,not_extended,-0.007874382629764365,0.01368531757125524,-0.08794946550048599,-0.09978433643516116,0.019043625277899823,True,True,True,True,True,True
2022-03-31,2022-04-12,1455.25,below_ma50,not_extended,-0.033533757086411264,-0.07827521044494079,-0.14870984366947249,-0.188730458684075,0.019989692492698996,True,True,True,True,True,True
2022-04-22,2022-05-05,1360.68,below_ma50,not_extended,-0.08954346356233644,-0.0874856689302409,-0.052958814710291846,-0.15002792721286418,-0.00778287326924787,True,True,True,True,True,True
2022-07-18,2022-07-27,1191.04,below_ma50,not_extended,0.04930145083288551,0.0549603707684041,0.07230655561526045,0.006414562063406848,0.08239857603439016,False,True,False,False,True,False
2022-07-28,2022-08-08,1256.75,above_ma50,moderately_extended,0.013885020887208999,0.002928187785955938,-0.010805649492739322,-0.017624825939924427,0.03053113188780565,False,False,True,False,False,True
2022-10-24,2022-11-02,1023.1899999999999,below_ma50,not_extended,-0.0367478180983003,-0.07847027433809939,0.024658176878194604,-0.14602371016135807,0.04211339047488738,True,True,True,True,True,False
2023-01-09,2023-01-18,1098.28,above_ma50,moderately_extended,-0.020313581236114597,-0.023728011071857735,-0.040062643406053144,-0.06164183996794992,0.023691590486943248,True,True,True,False,True,True
2023-03-20,2023-03-29,1056.33,below_ma50,not_extended,0.023221909819848063,0.012420361061410867,-0.014701845067355834,-0.02569272859807059,0.026686736152528256,False,True,True,False,True,True
2023-04-26,2023-05-10,1058.26,above_ma50,not_extended,0.0020599852588212286,0.003335664203503841,0.048456900950617054,-0.004053824201991962,0.05374860620263466,False,False,True,False,False,True
2023-06-09,2023-06-20,1111.72,above_ma50,not_extended,0.020337854855539073,0.018242003382146654,0.05610225596373186,-0.0009624725650343446,0.06011405749649201,False,False,False,False,False,False
2023-07-07,2023-07-18,1174.09,above_ma50,not_extended,0.01857608871551575,0.037024418911667745,0.0510693388070762,-0.0063623742643238446,0.061434813344803274,False,False,False,False,False,False
2023-08-04,2023-08-15,1234.05,above_ma50,not_extended,-0.04340180705806085,-0.024002268951825223,-0.008297880961063209,-0.06881406750131669,0.01706575908593644,True,True,True,False,False,True
2023-08-28,2023-09-08,1241.48,above_ma50,not_extended,-0.011373521925443941,-0.039009891419918175,-0.09097206559912363,-0.10880561909978403,0.00796629828913864,True,True,True,True,True,True
2023-10-04,2023-10-13,1154.73,below_ma50,not_extended,-0.04044235448979416,-0.08149957132836261,-0.045941475496436346,-0.11666796567162885,0.0023641890312020575,True,True,True,True,True,True
2023-11-01,2023-11-10,1101.68,below_ma50,not_extended,-0.000444775252341878,-0.005509766901459767,0.020659356618981883,-0.02575157940599826,0.02820238181686152,False,True,True,False,True,False
2023-12-18,2023-12-27,1121.99,above_ma50,not_extended,0.025606288826103718,0.03585593454487124,0.043119813902084525,-0.001327997575735984,0.05790604194333282,False,False,False,False,False,False
2023-12-28,2024-01-09,1158.59,above_ma50,moderately_extended,0.003909924995036951,0.016321563279503515,0.025798600022441054,-0.01021931830932421,0.03532742385140564,False,False,False,False,False,False
2024-02-01,2024-02-19,1224.97,above_ma50,moderately_extended,-0.0006530772182175015,0.029747667289811153,0.015175881858331186,-0.01179620725405528,0.042890846306440134,False,False,True,False,False,True
2024-03-19,2024-03-28,1290.18,above_ma50,not_extended,-0.016997628237920392,-0.024787238989908422,-0.06251840828411548,-0.09625788649645795,0.001991970112697361,True,True,True,True,True,True
2024-04-24,2024-05-08,1250.46,above_ma50,not_extended,0.0031428434336164823,0.013155158901524189,0.027102026454264738,-0.01351502647025904,0.034763207139772545,False,True,True,False,True,False
2024-05-30,2024-06-10,1290.67,above_ma50,not_extended,-0.012319183059961158,-0.028318625210162263,-0.0055087667645487,-0.0392044442033983,0.011745837433271067,False,True,True,False,True,False
2024-07-01,2024-07-10,1285.94,above_ma50,not_extended,-0.013437640947478124,-0.036914630542638105,-0.054481546572934914,-0.07886060002799511,0.005738992487985373,True,True,True,True,True,True
2024-08-09,2024-08-20,1272.55,above_ma50,moderately_extended,0.006294448155278687,-0.003410475030450555,-0.0010058543868609604,-0.02660799182743301,0.014066244941259853,False,True,True,False,True,True
2024-09-17,2024-09-26,1291.49,above_ma50,not_extended,-0.010367869669916208,-0.003972156191685672,-0.02638812534359536,-0.03077066024514319,0.00830823312607909,False,True,True,False,True,False
2024-11-18,2024-11-27,1241.97,below_ma50,not_extended,-0.0012560689871735642,0.021651086580191103,0.025821879755549615,-0.002802000048310327,0.03310869022601182,False,True,False,False,True,False
2024-12-20,2024-12-31,1266.78,above_ma50,not_extended,-0.012440992121757533,-0.024155733434376825,0.002234010641153139,-0.03624149418209954,0.006859912534141754,False,True,True,False,True,True
2025-02-18,2025-02-27,1307.8,above_ma50,not_extended,0.007967579140541359,0.014122954580211067,0.012241933017280937,-0.007279400519957124,0.026846612631900912,False,False,False,False,False,False
2025-02-28,2025-03-11,1332.54,above_ma50,not_extended,-0.0011782010296125245,-0.0004652768397195306,-0.17878637789484741,-0.194313116304201,0.007782130367568696,True,True,True,True,True,True
2025-04-23,2025-05-07,1250.37,below_ma50,moderately_extended,0.047473947711477615,0.058126794468837284,0.07627342306677232,0.0023513040140119568,0.08059214472516163,False,True,False,False,True,False
2025-05-08,2025-05-19,1296.29,above_ma50,moderately_extended,0.02794127857192441,0.03086500705860562,0.03226129955488344,-0.0057317421256046774,0.043755641098828235,False,False,True,False,False,False
2025-06-16,2025-06-25,1366.75,above_ma50,not_extended,0.013052862630327455,0.04724346076458752,0.10650082312054132,-0.004368026339857334,0.11601975489299421,False,False,False,False,False,False
2025-06-26,2025-07-07,1402.06,above_ma50,moderately_extended,0.04875682923697999,0.059191475400482085,0.08996048671240886,0.0009272071095387524,0.1304651726744932,False,False,False,False,False,False
2025-07-16,2025-07-25,1531.13,above_ma50,moderately_extended,-0.023459797665776327,0.03515050975423373,0.07467687263654943,-0.03179351198134717,0.10616342178652372,False,False,True,False,False,False
2025-08-01,2025-08-12,1608.22,above_ma50,moderately_extended,0.028590615711780787,0.03694146323264236,0.030798025145813313,-0.01410254815883405,0.06421385133874713,False,False,True,False,False,False
2025-11-26,2025-12-05,1741.32,above_ma50,moderately_extended,-0.05422897571956897,-0.021253991225047675,0.04304206004640165,-0.06429030850159656,0.06911423517791104,True,True,False,False,True,False
2025-12-15,2025-12-24,1782.82,above_ma50,moderately_extended,0.0009367182329118595,0.0477221480575718,0.04934317541871858,-0.05366778474551548,0.07608171324082069,True,False,True,False,False,True
