date,symbol,name,exchange,industryCode,stock_p20,p_now,p_hist,adv50_vnd,close,rank
2025-03-04,KHW,CTCP Cấp thoát nước Khánh Hòa,UPCOM,7570,0.8323778377185608,0.8323778377185608,,5934000.0,34.0,13
2025-03-04,VXT,CTCP Kho vận và Dịch vụ Thương mại,UPCOM,2770,0.8236288104283338,0.8236288104283338,,1560000.0,13.0,14
2025-03-04,VCA,CTCP Thép Vicasa ,HSX,1750,0.8194644728381393,0.8389289456762785,0.8,458120800.0,12.9,15
2025-03-04,C22,CTCP 22,UPCOM,3570,0.819035479506064,0.819035479506064,,4822400.0,19.3,16
2025-03-04,KSV,Tổng Công ty Khoáng sản TKV - CTCP,HNX,1770,0.8112272836570058,0.8224545673140115,0.8,16099421000.0,218.5,17
2025-03-04,PVH,CTCP Xây lắp Dầu khí Thanh Hóa,UPCOM,2350,0.8046394799478418,0.9592789598956837,0.65,1665000.0,0.8,18
2025-03-04,TCK,Tổng Công ty cơ khí xây dựng - CTCP,UPCOM,2350,0.7964464390716293,0.7964464390716293,,67200.0,4.2,19
2025-03-04,CBI,CTCP Gang thép Cao Bằng,UPCOM,1770,0.7961498162751084,0.9922996325502167,0.6,98105200.0,17.5,20
2025-03-05,PTM,CTCP Sản xuất Thương mại và Dịch vụ Ô tô PTM,UPCOM,2750,0.9910486474910476,0.9820972949820951,1.0,1652800.0,3.5,1
2025-03-05,HLS,CTCP Sứ kỹ thuật Hoàng Liên Sơn,UPCOM,2730,0.9777202252566756,0.9777202252566756,,294000.0,24.5,2
2025-03-05,MLC,CTCP Môi trường đô thị tỉnh Lào Cai,UPCOM,7570,0.9757391065595092,0.9757391065595092,,251800.0,21.7,3
2025-03-05,SPH,CTCP Xuất nhập khẩu Thủy sản Hà Nội,UPCOM,3570,0.971094204855809,0.971094204855809,,339200.0,10.4,4
2025-03-05,LAW,CTCP Cấp thoát nước Long An,UPCOM,7570,0.9431726614659866,0.9431726614659866,,617400.0,30.1,5
2025-03-05,HC1,CTCP Xây dựng số 1 Hà Nội,UPCOM,2350,0.9366861033854129,0.9366861033854129,,3869000.0,12.9,6
2025-03-05,MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,UPCOM,2750,0.8699683884023574,0.8699683884023574,,269800.0,7.4,7
2025-03-05,STW,CTCP Cấp nước Sóc Trăng,UPCOM,7570,0.8676579044796375,0.8676579044796375,,892400.0,39.4,8
2025-03-05,SBM,CTCP Đầu tư Phát triển Bắc Minh,UPCOM,7530,0.865393597511116,0.865393597511116,,4144200.0,39.1,9
2025-03-05,PTE,CTCP Xi măng Phú Thọ,UPCOM,2350,0.8406297642872931,0.8406297642872931,,118800.0,3.4,10
2025-03-05,HU4,CTCP Đầu tư và Xây dựng HUD4,UPCOM,2350,0.8278707949138703,0.9557415898277406,0.7,700063800.0,14.6,11
2025-03-05,MSR,CTCP MaSan High - Tech Materials,UPCOM,1770,0.8262033041785128,0.9524066083570258,0.7,37957571400.0,20.7,12
2025-03-05,VXT,CTCP Kho vận và Dịch vụ Thương mại,UPCOM,2770,0.8225140989941051,0.8225140989941051,,1560000.0,13.0,13
2025-03-05,PTT,CTCP Vận tải Dầu khí Đông Dương,UPCOM,2770,0.8180155023394522,0.9860310046789043,0.65,12511200.0,17.3,14
2025-03-05,MVB,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - CTCP,HNX,1770,0.8146704194845373,0.8793408389690747,0.75,545513200.0,24.6,15
2025-03-05,C22,CTCP 22,UPCOM,3570,0.8082295098359193,0.8082295098359193,,4860800.0,19.2,16
2025-03-05,PVH,CTCP Xây lắp Dầu khí Thanh Hóa,UPCOM,2350,0.8034270839490318,0.9568541678980637,0.65,1665000.0,0.8,17
2025-03-05,TCK,Tổng Công ty cơ khí xây dựng - CTCP,UPCOM,2350,0.7995086454168241,0.7995086454168241,,67200.0,4.2,18
2025-03-05,CDG,CTCP Cầu Đuống,UPCOM,2350,0.7875713706265096,0.7875713706265096,,6800.0,3.4,19
2025-03-05,TED,Tổng Công ty Tư vấn thiết kế Giao thông vận tải - CTCP,UPCOM,2350,0.786176914349499,0.9723538286989981,0.6,5981800.0,69.0,20
2025-03-06,PTM,CTCP Sản xuất Thương mại và Dịch vụ Ô tô PTM,UPCOM,2750,0.9910486474910476,0.9820972949820951,1.0,1652800.0,3.5,1
2025-03-06,MLC,CTCP Môi trường đô thị tỉnh Lào Cai,UPCOM,7570,0.986465533608989,0.986465533608989,,351400.0,24.9,2
2025-03-06,HLS,CTCP Sứ kỹ thuật Hoàng Liên Sơn,UPCOM,2730,0.9761044311820493,0.9761044311820493,,294000.0,24.5,3
2025-03-06,SPH,CTCP Xuất nhập khẩu Thủy sản Hà Nội,UPCOM,3570,0.9558973439438667,0.9558973439438667,,462800.0,10.3,4
2025-03-06,LAW,CTCP Cấp thoát nước Long An,UPCOM,7570,0.9355672118419918,0.9355672118419918,,617400.0,30.1,5
2025-03-06,HU4,CTCP Đầu tư và Xây dựng HUD4,UPCOM,2350,0.8595468095634826,0.9690936191269652,0.75,775136800.0,15.2,6
2025-03-06,STW,CTCP Cấp nước Sóc Trăng,UPCOM,7570,0.8541825384492535,0.8541825384492535,,892400.0,39.4,7
2025-03-06,MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,UPCOM,2750,0.8521976262840396,0.8521976262840396,,198800.0,7.4,8
2025-03-06,SBM,CTCP Đầu tư Phát triển Bắc Minh,UPCOM,7530,0.8511091325774945,0.8511091325774945,,4144200.0,39.1,9
2025-03-06,DWC,CTCP Cấp nước Đắk Lắk,UPCOM,7570,0.8456821583596792,0.8456821583596792,,1433400.0,15.1,10
2025-03-06,PTE,CTCP Xi măng Phú Thọ,UPCOM,2350,0.8330046901308343,0.8330046901308343,,118800.0,3.4,11
