sector_code_l4,sector_name_l4,sector_p20,sector_code_l3,symbol,name,stock_p20,adv50_bn
8633,Các công ty đầu cơ và phát triển bất động sản,0.2531222950414245,8630,VIC,Tập đoàn Vingroup - CTCP,0.684399466019822,692.367312
8633,Các công ty đầu cơ và phát triển bất động sản,0.2531222950414245,8630,VHM,CTCP Vinhomes,0.660568068073962,688.6150788
8633,Các công ty đầu cơ và phát triển bất động sản,0.2531222950414245,8630,NVL,CTCP Tập đoàn Đầu tư Địa ốc No Va,0.6397016991678253,323.8557416
8633,Các công ty đầu cơ và phát triển bất động sản,0.2531222950414245,8630,KSF,CTCP Tập đoàn Sunshine,0.5280301984049285,3.0443182
8633,Các công ty đầu cơ và phát triển bất động sản,0.2531222950414245,8630,TCH,CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy,0.5078182098676898,166.3621467
8633,Các công ty đầu cơ và phát triển bất động sản,0.2531222950414245,8630,NRC,CTCP Tập đoàn NRC,0.4969515449669557,6.4716502
8633,Các công ty đầu cơ và phát triển bất động sản,0.2531222950414245,8630,VPI,CTCP Phát triển Bất động sản Văn Phú,0.438170318907388,140.5487308
8633,Các công ty đầu cơ và phát triển bất động sản,0.2531222950414245,8630,VRE,CTCP Vincom Retail,0.4369887786357161,189.7490012
8633,Các công ty đầu cơ và phát triển bất động sản,0.2531222950414245,8630,DXG,CTCP Tập đoàn Đất Xanh,0.4246571584485609,262.9779993
8633,Các công ty đầu cơ và phát triển bất động sản,0.2531222950414245,8630,HHS,CTCP Đầu tư dịch vụ Hoàng Huy,0.4229420649505196,38.7947384
8633,Các công ty đầu cơ và phát triển bất động sản,0.2531222950414245,8630,CEO,CTCP Tập đoàn C.E.O,0.3858795583970557,193.4616568
8633,Các công ty đầu cơ và phát triển bất động sản,0.2531222950414245,8630,HPX,CTCP Đầu tư Hải Phát,0.37534033178089876,3.05856112
8633,Các công ty đầu cơ và phát triển bất động sản,0.2531222950414245,8630,SIP,CTCP Đầu tư Sài Gòn VRG,0.3719225413099756,23.2119466
8633,Các công ty đầu cơ và phát triển bất động sản,0.2531222950414245,8630,DXS,CTCP Dịch vụ Bất động sản Đất Xanh,0.3512195615262777,16.83823966
