date,industryCode,industryName,industryLevel,parentLevel1Code,parentLevel1Name,p_wave_10d_raw,p_wave_20d_raw,p_wave_10d,p_wave_20d,expected_return_10d,expected_return_20d,expected_drawdown_20d,confidence_10d,confidence_20d,rs_20d,rs_60d,dist_days_10,dist_days_20,volume_thrust_20,close_vs_ma20,close_vs_ma50,dist_to_20d_high
2026-04-29,8600,Bất động sản,2,8000,Tài chính,0.9724776670855249,0.9609266212237119,0.3509259259259259,0.2865740740740741,0.017546296296296296,0.02292592592592593,-0.04590945783770973,0.4947748063213292,0.5263725671118639,0.2750843634808142,0.2780368285319308,1.0,2.0,1.225646832382579,0.14471808752984128,0.24971294448860193,-0.049854909156475835
2026-04-29,0500,Dầu khí,2,0001,Dầu khí,0.9116479637210338,0.7100942205394563,0.3073251267433808,0.2531582398767644,0.015366256337169041,0.020252659190141152,-0.04700132482311864,0.4947748063213292,0.5263725671118639,-0.2250458448402164,-0.09985442122265087,3.0,6.0,0.916725352112676,-0.0653143005943908,-0.17103269210242777,-0.1338260745372749
2026-04-29,6500,Viễn thông,2,6000,Viễn thông,0.8284160087616973,0.5155762712755478,0.27958187588502154,0.21809989606840846,0.013979093794251078,0.017447991685472678,-0.04814686103632324,0.4947748063213292,0.5263725671118639,-0.16013155916935307,-0.30721084886424344,3.0,4.0,0.7870639534883721,-0.048549312966316815,-0.05420867550574626,-0.10979366616169484
2026-04-29,8500,Bảo hiểm,2,8000,Tài chính,0.7075301157375916,0.4682693907934121,0.2599001552613227,0.21565835468078587,0.012995007763066136,0.01725266837446287,-0.04822663873748472,0.4947748063213292,0.5263725671118639,-0.21307550783474116,0.004890255588104742,3.0,6.0,0.5745004179013753,-0.04942996666812083,-0.05988419041559756,-0.15247225675533727
2026-04-29,7500,Các dịch vụ hạ tầng,2,7000,Các dịch vụ hạ tầng,0.12066640037789729,0.08233533909746589,0.13824335300866378,0.13374356260979192,0.006912167650433189,0.010699485008783354,-0.05090321585211965,0.4947748063213292,0.5263725671118639,-0.14248549639952424,-0.2031662745617564,5.0,6.0,0.5892900750043607,-0.028214109901718798,-0.09180047850904471,-0.05637551528504858
2026-04-29,1300,Hóa chất,2,1000,Vật liệu cơ bản,0.14976254359091515,0.1257262205408531,0.15366762371761428,0.13326665513672767,0.007683381185880714,0.010661332410938213,-0.050918798869495754,0.4947748063213292,0.5263725671118639,-0.08771138752269425,-0.0985570946304255,3.0,4.0,1.0287291277797954,0.00842996632033799,-0.0346814386592178,-0.029631042093682614
2026-04-29,9500,Công nghệ thông tin,2,9000,Công nghệ,0.1809391064470227,0.1309186097795602,0.16502361038554167,0.1324889431988333,0.008251180519277083,0.010599115455906664,-0.05094421071419582,0.4947748063213292,0.5263725671118639,-0.1010730137474698,-0.26034950755206143,5.0,8.0,1.1094082444942206,-0.0011627412761519018,-0.05275949341736452,-0.04595137688963513
2026-04-29,5700,Du lịch và giải trí,2,5000,Dịch vụ tiêu dùng,0.04459311593869068,0.05967949500114545,0.12814303167373672,0.11198531098211181,0.0064071515836868365,0.008958824878568946,-0.05161416972124066,0.4947748063213292,0.5263725671118639,-0.04332987315797476,-0.07626822008818746,0.0,1.0,0.7973841646149219,0.026865802078761547,0.03692009007365282,-0.017582307059404334
2026-04-29,5300,Bán lẻ,2,5000,Dịch vụ tiêu dùng,0.028258750071992498,0.035778174818664917,0.10680022080744013,0.10633922389055839,0.0053400110403720065,0.008507137911244671,-0.0517986563947024,0.4947748063213292,0.5263725671118639,-0.1055599376488301,-0.02060994511062264,0.0,2.0,0.8229349436025977,0.0059379697260910635,-0.00791000575695533,-0.0469485380525102
2026-04-29,2300,Xây dựng và vật liệu xây dựng,2,2000,Công nghiệp,0.028992310393079465,0.040589969872897085,0.10817332498651941,0.10612006884751014,0.005408666249325971,0.00848960550780081,-0.05180581731592249,0.4947748063213292,0.5263725671118639,-0.09545410106488128,0.043252938892515136,2.0,3.0,1.2830367696344358,0.007077681432027694,0.027214936657758537,-0.025595097705367276
