industryCode,name,level
8530,Bảo hiểm phi nhân thọ,3
8570,Bảo hiểm nhân thọ,3
8580,Công ty bảo hiểm,3
8630,Đầu tư bất động sản và dịch vụ,3
8670,Đầu tư tín thác bất động sản,3
8770,Tài chính tổng hợp,3
8780,Công ty chứng khoán,3
8980,Quỹ đóng,3
8990,Quỹ mở,3
9530,Phần mềm và dịch vụ điện toán,3
9570,Công nghệ phần cứng và thiết bị,3
0533,Thăm dò và sản xuất dầu khí,4
0537,Dầu khí tích hợp,4
0573,"Thiết bị, dịch vụ khai thác dầu mỏ",4
0577,Ống dẫn dầu khí,4
0583,Thiết bị năng lượng tái tạo,4
0587,Nhiên liệu thay thế,4
1353,"Hóa chất cơ bản - Sản phẩm nhựa, cao su, hóa chất",4
1357,Hóa chất chuyên dụng - Phân bón,4
1733,"Trồng rừng, khai thác gỗ và kinh doanh lâm sản",4
1737,Giấy,4
1753,Nhôm,4
1755,Kim loại màu,4
1757,Khai thác quặng sắt và sản xuất thép,4
1771,Khai thác than,4
1773,Kim cương và đá quý,4
1775,Khai khoáng chung,4
1777,Khai thác vàng,4
1779,Khai thác bạch kim và các kim loại quý khác,4
2353,"Thiết bị, vật liệu xây dựng",4
2357,"Xây dựng, xây lắp",4
2713,Công nghiệp hàng không vũ trụ,4
2717,Công nghiệp quốc phòng,4
2723,"Thùng, hộp, bao bì",4
2727,Công nghiệp đa ngành,4
2733,Các linh kiện và thiết bị điện,4
2737,Các thiết bị điện tử,4
2753,Các phương tiện thương mại và xe thùng,4
2757,Máy công nghiệp,4
2771,Dịch vụ bưu chính,4
2773,Vận tải biển,4
2775,Đường sắt,4
2777,Dịch vụ vận tải,4
2779,Xe tải,4
2791,Các dịch vụ hỗ trợ doanh nghiệp,4
2793,Đào tạo nhân sự và việc làm,4
2795,"Điều hành, theo dõi tài chính",4
2797,Các nhà cung cấp công nghiệp,4
2799,"Dịch vụ xử lý nước thải, rác thải",4
3353,Ô tô,4
3355,Linh kiện ôtô,4
3357,Lốp,4
3533,Bia,4
3535,Chưng cất và bán rượu,4
3537,Nước giải khát,4
3573,"Nông sản, Thủy sản & Đồn điền",4
3577,Sản phẩm thực phẩm,4
3722,Sản phẩm gia dụng lâu bền,4
3724,Sản phẩm gia dụng không lâu bền,4
3726,Nội thất,4
3728,Xây dựng nhà ở,4
3743,Đồ điện tử tiêu dùng,4
3745,Sản phẩm tiêu khiển,4
3747,Đồ chơi,4
3763,Quần áo và đồ phụ kiện,4
3765,Da giầy,4
3767,Sản phẩm cá nhân,4
3785,Thuốc lá,4
4533,Các nhà cung cấp dịch vụ y tế,4
4535,Trang thiết bị y tế,4
4537,Vật tư y tế,4
4573,Công nghệ sinh học,4
4577,Dược phẩm,4
5333,Bán lẻ thuốc,4
5337,Bán buôn bán lẻ thực phẩm,4
5371,Bán lẻ đồ may mặc,4
5373,Bán lẻ tổng hợp,4
5375,Bán lẻ đồ nội thất,4
