symbol,date,stock_p20,adv50_vnd,label_wave_20d
AAS,2025-03-03,0.6768123014098871,7518086600.0,0.0
AAS,2025-03-04,0.6259263221872173,7623392400.0,0.0
AAS,2025-03-06,0.675390985358182,8070996200.0,0.0
AAS,2025-03-07,0.6433846946410944,8405892200.0,0.0
AAS,2025-03-10,0.6883909483420387,8460728400.0,0.0
AAS,2025-05-14,0.6025800211583534,4650887400.0,1.0
AAS,2025-05-15,0.5647849650811879,5054118400.0,0.0
AAS,2025-05-16,0.5965057454298327,5091917800.0,0.0
AAS,2025-05-19,0.6055549949339012,5772734000.0,0.0
AAS,2025-05-20,0.6637931173999074,5809729200.0,0.0
AAS,2025-05-21,0.6048252301616054,5521042000.0,0.0
AAS,2025-05-22,0.5905685721140636,5295859600.0,0.0
AAS,2025-05-26,0.578864233555579,4959921600.0,0.0
AAS,2025-06-03,0.6330669439253798,5112033800.0,0.0
AAV,2025-04-21,0.7344387610345613,4006279000.0,1.0
AAV,2025-04-22,0.6392437476143478,4114159400.0,1.0
AAV,2025-04-23,0.6871639967375829,4391727400.0,1.0
AAV,2025-04-25,0.7614797141049005,4780253400.0,0.0
AAV,2025-04-28,0.7372789632153793,4844487400.0,0.0
AAV,2025-04-29,0.7172698688936897,5415284400.0,0.0
AAV,2025-05-05,0.6992203062622652,5408852600.0,0.0
AAV,2025-05-06,0.7011159189765852,5596967800.0,0.0
AAV,2025-05-07,0.6240133115485017,5770902600.0,0.0
AAV,2025-05-08,0.8180525244525821,6187519600.0,0.0
AAV,2025-05-09,0.6580693367108528,6317015200.0,0.0
AAV,2025-05-12,0.6553958386838028,6467574800.0,0.0
AAV,2025-05-13,0.6051013564275847,6656260800.0,0.0
AAV,2025-05-14,0.6604931555371265,6934719400.0,0.0
AAV,2025-05-15,0.8188615764241862,7537107800.0,0.0
AAV,2025-05-16,0.6815023508175692,7673757800.0,0.0
AAV,2025-05-19,0.5977782664749427,7765272800.0,0.0
ANV,2025-06-26,0.5915257627954681,26790093000.0,1.0
ANV,2025-06-27,0.6179653079176305,28652291400.0,1.0
ANV,2025-07-02,0.5676195379365009,38240957600.0,0.0
ANV,2025-07-03,0.5652196564397414,41069784800.0,0.0
