event_start,event_date,event_close,ma20_event,ma50_event,ma200_event,event_close_vs_ma20,event_close_vs_ma50,event_close_vs_ma200,trend_state,extension_bucket,ret_5d,ret_10d,ret_20d,max_drawdown_20d,max_upside_20d,outcome_A,outcome_B,outcome_C,outcome_A_strict,outcome_B_strict,outcome_C_strict
2012-01-09,2012-01-18,362.66,,,,,,,,,0.07723487564109632,0.12923950807919238,0.15372525230243195,0.0010478133789224575,0.1688358241879444,False,,True,False,,False
2012-01-19,2012-02-06,399.73,365.14300000000003,,,0.09472179392731062,,,,highly_extended,-0.01048207540089563,0.035649063117604296,0.1437970630175367,-0.021639606734545902,0.1711655367372975,False,,True,False,,True
2012-03-28,2012-04-09,450.73,442.817,425.70959999999997,,0.01786968431654623,0.05877339857968922,,above_ma50,not_extended,0.038892463337252936,0.03203691788875829,0.0818450069886627,-0.004037894082932092,0.09253877043906544,False,False,True,False,False,True
2012-06-11,2012-06-20,432.89,430.1065,451.2894,,0.006471652951071327,-0.04077073381293694,,below_ma50,not_extended,-0.03430432673427419,-0.05119083369909205,-0.03247938275312434,-0.06426574880454616,0.0013860334034050403,True,True,True,False,True,False
2012-07-04,2012-07-13,416.98,418.93149999999997,433.8972,,-0.004658279456187797,-0.03898895867500407,,below_ma50,not_extended,0.017962492205861214,-0.009161110844644771,0.020576526452108057,-0.016547556237709315,0.036260731929588896,False,True,False,False,True,False
2012-07-16,2012-07-25,412.91,415.65749999999997,424.9036,,-0.00661000944287049,-0.028226637759717677,,below_ma50,not_extended,-0.0008718606960355091,0.02581676394371657,-0.006490518514930654,-0.05175461965077133,0.059819331089099315,True,True,True,False,True,False
2012-08-02,2012-08-13,426.17,419.6,420.9194,,0.015657769304099123,0.012474122124093157,,above_ma50,not_extended,0.02606940892132248,-0.09381232841354392,-0.09280334138958635,-0.11263110965107825,0.026843747800173734,True,True,True,True,True,False
2012-08-23,2012-09-04,402.08,413.32849999999996,414.8882,,-0.027214431136493134,-0.030871449224152414,,below_ma50,not_extended,-0.0384500596896139,-0.018827099084759213,-0.04417031436530039,-0.04727914842817349,0.00793374452845197,False,True,True,False,True,True
2012-10-02,2012-10-11,394.19,392.1245,402.23159999999996,,0.0052674596971113985,-0.019992462054199578,,below_ma50,not_extended,0.010959182120297228,-0.010832339734645702,-0.02179152185494293,-0.055303280144093026,0.01719982749435567,True,True,True,False,True,True
2012-10-15,2012-10-24,395.45,392.9015,397.342,419.63995,0.006486358540244819,-0.004761641105143655,-0.05764453551193116,below_ma50,not_extended,-0.017777215830066972,-0.03679352636237199,-0.029283095207990884,-0.05831331394613737,-0.002301175875584649,True,True,True,False,True,True
2012-11-05,2012-11-14,387.71,388.51750000000004,390.7862,421.24915,-0.00207841345627946,-0.007871823518844856,-0.0796183208915674,below_ma50,not_extended,-0.009904309922364574,-0.030744628717340183,0.0086920636558252,-0.03497459441335016,0.015733408991256415,False,True,True,False,True,True
2012-11-29,2012-12-10,386.69,382.63050000000004,386.974,418.83375,0.010609452199968228,-0.0007338994351041572,-0.07674584486087854,below_ma50,not_extended,0.017947192841811344,0.033670381959709283,0.1605420362564327,-0.0022757247407484416,0.18989371331040372,False,False,False,False,False,False
2012-12-11,2012-12-20,399.68,386.0345,387.59020000000004,417.07349999999997,0.03534787693846031,0.031192223126384366,-0.041703680526334,above_ma50,moderately_extended,0.025745596477181776,0.08634407526020804,0.12037129703763005,-0.01353582866293046,0.17679143314651724,False,False,False,False,False,False
2012-12-24,2013-01-04,426.06,399.8315,390.0716,415.82285,0.06559888352968679,0.09226101054267999,0.024619017449377667,above_ma50,moderately_extended,0.08597380650612596,0.06595315213819664,0.1346289255034503,0.001877669811763738,0.15216166737079284,False,False,False,False,False,False
2013-01-07,2013-01-16,465.25,426.07700000000006,401.0082,416.1567,0.09193878101845421,0.16020071410011072,0.1179683037663457,above_ma50,highly_extended,-0.04702847931219778,0.048038688876947955,0.0635787211176786,-0.05324019344438469,0.07011284255776462,True,False,True,False,False,True
2013-01-23,2013-02-01,483.42,460.9205,420.2726,416.42325,0.04881427491291879,0.15025343074947073,0.16088618971202973,above_ma50,moderately_extended,0.02194778867237579,-0.011853047039841136,-0.02635389516362585,-0.04919117951263918,0.02989119192420664,False,False,True,False,False,True
2013-03-27,2013-04-05,502.58,489.325,480.5516,423.4758,0.02708833597302407,0.04583982240408724,0.18679745099956113,above_ma50,not_extended,-0.01653468104580369,-0.06794938119304383,-0.032552031517370295,-0.07167018186159413,0.03159695968800991,True,True,True,True,True,True
2013-07-11,2013-07-22,506.16,488.32400000000007,499.2002,453.87325000000004,0.036524930169313796,0.013941901465584383,0.1152012153172719,above_ma50,moderately_extended,-0.04044175754702073,-0.024695748379958915,0.009601706970127966,-0.04069859333017234,0.014185237869448475,False,True,False,False,True,False
2013-07-25,2013-08-05,493.66,493.69900000000007,498.7542000000001,459.04119999999995,-7.899550130752164e-05,-0.010213848825734284,0.07541545290488094,below_ma50,not_extended,0.011748977028724239,0.03516590365838823,-0.043531985577117904,-0.06386986995097843,0.03986549446987797,True,True,True,False,True,False
2013-09-10,2013-09-19,476.09,477.57849999999996,489.72839999999997,474.93915,-0.0031167650972562244,-0.027848905638308885,0.0024231525238549434,below_ma50,not_extended,0.01894599760549487,0.034048184166859174,0.049360415047575046,-0.002919616038984163,0.055766766787792355,False,True,False,False,True,False
2013-09-20,2013-10-01,492.24,479.3855,487.9058,479.10689999999994,0.02681453652644894,0.008883272139827092,0.027411627759901025,above_ma50,not_extended,0.020274662766130325,0.0070697220867870225,0.009832601982772582,-0.0036770680968633007,0.027425646026328687,False,False,False,False,False,False
