date,symbol,name,exchange,industryCode,close,volume,traded_value_vnd,adv_apr_vnd,p_now,p_hist,p20
2026-04-01,VC3,CTCP Tập đoàn Nam Mê Kông,HNX,8630,26.7,1407700.0,37585590000.0,39297601500.0,0.6380829110572499,0.35,0.49404145552862494
2026-04-01,BMS,CTCP Chứng khoán Bảo Minh,UPCOM,8780,14.9,192500.0,2868250000.0,2730370000.0,0.8344913665828877,0.15,0.49224568329144386
2026-04-01,BSI,CTCP Chứng khoán BIDV,HSX,8780,37.1,528200.0,19596220000.0,14236373000.0,0.482796068009209,0.5,0.49139803400460447
2026-04-01,GIL,CTCP Sản xuất kinh doanh Xuất nhập khẩu Bình Thạnh,HSX,3760,13.7,250900.0,3437330000.0,2739649000.0,0.316915767291753,0.65,0.4834578836458765
2026-04-01,GMD,CTCP Gemadept,HSX,2770,77.4,2333600.0,180620640000.0,120860294000.0,0.7593980897974922,0.2,0.47969904489874615
2026-04-01,TV2,CTCP Tư vấn Xây dựng Điện 2,HSX,2790,37.6,563700.0,21195120000.0,16097597750.0,0.5540416980410896,0.4,0.4770208490205448
2026-04-01,DDV,CTCP DAP - VINACHEM,UPCOM,1350,27.5,1577000.0,43367500000.0,25797819500.0,0.3038559742502223,0.65,0.4769279871251112
2026-04-01,PC1,CTCP Tập đoàn PC1,HSX,2350,27.5,11742700.0,322924250000.0,180770509500.0,0.6949569725080512,0.25,0.4724784862540256
2026-04-01,PAN,CTCP Tập đoàn PAN,HSX,3570,31.85,1317000.0,41946450000.0,23982334750.0,0.6897465371402485,0.25,0.46987326857012424
2026-04-01,SGR,Tổng CTCP Địa ốc Sài Gòn,HSX,8630,15.85,149700.0,2372745000.0,2084190250.0,0.2704771580698102,0.65,0.4602385790349051
2026-04-01,EVF,Công ty Tài chính Tổng hợp Cổ phần Điện lực,HSX,8350,13.8,19272400.0,265959120000.0,112247012500.0,0.8185090494598383,0.1,0.4592545247299191
2026-04-01,SMC,CTCP Đầu tư Thương mại SMC,HSX,1750,12.7,1352900.0,17181830000.0,6639947500.0,0.8174356119873656,0.1,0.4587178059936828
2026-04-01,ORS,CTCP Chứng khoán Tiên Phong,HSX,8780,13.9,9624800.0,133784720000.0,31829000750.0,0.7542361572362909,0.15,0.45211807861814546
2026-04-01,GEG,CTCP Điện Gia Lai,HSX,7530,16.25,2951200.0,47957000000.0,19439764000.0,0.7034942915814024,0.2,0.4517471457907012
