test_month,cfg_w_sum,cfg_w_accel,cfg_w_vw,cfg_w_crowd,super_n,super_hit_rate,super_avg_ret20,base_n,base_hit_rate,base_avg_ret20
2023-10,1.8212962605296594,1.3430513152299055,1.054290633108326,0.40507088206440156,440,0.10909090909090909,-0.03140177951079343,440,0.10454545454545454,-0.03428452419156653
2023-11,1.8212962605296594,1.3430513152299055,1.054290633108326,0.40507088206440156,440,0.21363636363636362,0.028987052540868856,440,0.175,0.02512812984742656
2023-12,1.6930182487292926,0.49587413363010147,0.5354966520521773,0.4510687248260213,420,0.13095238095238096,0.01442094199304891,420,0.10238095238095238,0.014804266419028971
2024-01,1.6881190465444462,0.7488079568395893,0.5952915592279358,0.6961050724584978,440,0.2545454545454545,0.0307460368234917,440,0.30227272727272725,0.03025327232180075
2024-02,1.6930182487292926,0.49587413363010147,0.5354966520521773,0.4510687248260213,320,0.334375,0.06155736394493298,320,0.36875,0.06505149463121618
2024-03,1.6881190465444462,0.7488079568395893,0.5952915592279358,0.6961050724584978,420,0.16428571428571428,-0.017983732387241123,420,0.0880952380952381,-0.05604988139998866
2024-04,1.6881190465444462,0.7488079568395893,0.5952915592279358,0.6961050724584978,380,0.3131578947368421,0.06301166508425643,380,0.3078947368421053,0.05982697207228743
2024-05,1.6881190465444462,0.7488079568395893,0.5952915592279358,0.6961050724584978,440,0.3386363636363636,0.06980126466277352,440,0.3568181818181818,0.07059027420328293
2024-06,1.6881190465444462,0.7488079568395893,0.5952915592279358,0.6961050724584978,400,0.1375,-0.041380526368954396,400,0.2125,-0.03752296460314961
2024-07,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,460,0.06521739130434782,-0.09219604525924638,460,0.09130434782608696,-0.0688958376890955
2024-08,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,440,0.1409090909090909,0.04370351369752405,440,0.13863636363636364,0.08673959613636215
2024-09,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,380,0.08157894736842106,-0.027252313449115058,380,0.09736842105263158,-0.026063025054594086
2024-10,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,460,0.1565217391304348,-0.0019308431691010335,460,0.22826086956521738,0.023822078252522652
2024-11,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,420,0.3047619047619048,0.03951451688623005,420,0.3357142857142857,0.052038930561223135
2024-12,1.7289517614666277,1.4541370049443139,0.6621481244864098,0.23338195314670585,440,0.13636363636363635,-0.0024470287411295327,440,0.16590909090909092,0.00943352326513309
2025-01,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,340,0.3,0.05846459428028873,340,0.3088235294117647,0.06239031319002925
2025-02,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,400,0.1575,-0.017112647847566706,400,0.21,-0.005090431180372937
2025-03,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,420,0.04285714285714286,-0.09887726429890374,420,0.06428571428571428,-0.08296599812615481
2025-04,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,400,0.4525,0.07912492672919444,400,0.41,0.0783731198942633
2025-05,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,400,0.275,0.03212233528293069,400,0.265,0.029323667714722362
2025-06,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,420,0.34285714285714286,0.05580325702094061,420,0.3047619047619048,0.03621417772333376
2025-07,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,460,0.48695652173913045,0.09165968573098432,460,0.41956521739130437,0.1035279836277095
2025-08,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,420,0.17142857142857143,-0.012369455540187833,420,0.1976190476190476,-0.0007220983380691157
2025-09,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,400,0.1725,-0.018217942469545813,400,0.16,-0.03159904304632345
2025-10,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,460,0.13695652173913042,-0.04450445124548973,460,0.15217391304347827,-0.04615356661916689
2025-11,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,400,0.1925,0.004485446943043152,400,0.15,-0.018666444282855604
2025-12,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,460,0.13260869565217392,-0.02703099275903876,460,0.1282608695652174,-0.04185302809538731
2026-01,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,400,0.2525,0.03385041593342172,400,0.2925,0.03770696813738116
2026-02,1.9358196083101717,0.6375729086464148,0.6391187650702219,0.3257312898835032,300,0.17333333333333334,-0.03399151677984709,300,0.13666666666666666,-0.042040001728942185
