date,symbol,name,exchange,industryCode,stock_p20,p_now,p_hist,adv50_vnd,close,rank
2025-03-03,MSR,CTCP MaSan High - Tech Materials,UPCOM,1770,0.8537609740463077,0.9575219480926155,0.75,35950609000.0,20.5,1
2025-03-03,KSV,Tổng Công ty Khoáng sản TKV - CTCP,HNX,1770,0.8479522260040473,0.8959044520080944,0.8,15896347200.0,225.2,2
2025-03-03,HGM,CTCP Cơ khí và Khoáng sản Hà Giang,HNX,1770,0.795918283999528,0.9418365679990561,0.65,2550769200.0,336.0,3
2025-03-03,TVN,Tổng Công ty Thép Việt Nam - CTCP,UPCOM,1750,0.7524995391511436,0.8049990783022873,0.7,4901301400.0,9.2,4
2025-03-03,NAG,CTCP Tập đoàn Nagakawa,HNX,2350,0.7452871457306769,0.9405742914613536,0.55,5541799800.0,13.4,5
2025-03-03,BMS,CTCP Chứng khoán Bảo Minh,UPCOM,8780,0.7410335460146444,0.7320670920292888,0.75,3576154400.0,11.6,6
2025-03-03,TDC,CTCP Kinh doanh và Phát triển Bình Dương,HSX,8630,0.7258222038158764,0.7016444076317527,0.75,13459606200.0,12.65,7
2025-03-03,DVN,Tổng Công ty Dược Việt Nam - CTCP,UPCOM,4570,0.708065117962291,0.9161302359245821,0.5,3866753800.0,29.5,8
2025-03-03,CTP,CTCP Tập đoàn CTP Group,HNX,3570,0.6991813251497557,0.9483626502995114,0.45,5022888200.0,40.0,9
2025-03-03,VTO,CTCP Vận tải Xăng dầu Vitaco,HSX,2770,0.6888926428124964,0.8777852856249928,0.5,11226644700.0,16.0,10
2025-03-03,KCB,CTCP Khoáng sản và Luyện kim Cao Bằng,UPCOM,1770,0.6833900802299185,0.916780160459837,0.45,2020038200.0,22.7,11
2025-03-03,MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP,UPCOM,1770,0.6804465550710105,0.960893110142021,0.4,3235422400.0,25.4,12
2025-03-03,AAS,CTCP chứng khoán SmartInvest,UPCOM,8780,0.6768123014098871,0.8536246028197743,0.5,7518086600.0,9.1,13
2025-03-03,DBC,CTCP Tập đoàn Dabaco Việt Nam,HSX,3570,0.6693580529989701,0.8887161059979402,0.45,138226879800.0,30.4,14
2025-03-03,DST,CTCP Đầu tư Sao Thăng Long,HNX,2350,0.668441016960351,0.7868820339207019,0.55,3005803800.0,5.9,15
2025-03-03,MML,CTCP Masan MeatLife,UPCOM,3570,0.6682574621255122,0.7865149242510243,0.55,2673485400.0,31.8,16
2025-03-03,CTS,CTCP Chứng khoán Vietinbank,HSX,8780,0.667446698049002,0.884893396098004,0.45,25116725000.0,39.1,17
2025-03-03,PHR,CTCP Cao su Phước Hòa,HSX,1350,0.6617220461705067,0.9234440923410134,0.4,18080291600.0,64.0,18
2025-03-03,CLX,CTCP Xuất nhập khẩu và đầu tư Chợ Lớn (Cholimex),UPCOM,5330,0.6613342806819547,0.6226685613639094,0.7,8836931200.0,18.3,19
2025-03-03,NTC,CTCP Khu Công nghiệp Nam Tân Uyên,HSX,8630,0.6602585061010187,0.9205170122020372,0.4,8026520600.0,239.0,20
2025-03-04,MSR,CTCP MaSan High - Tech Materials,UPCOM,1770,0.8760496949120291,0.9520993898240582,0.8,36965968400.0,20.1,1
2025-03-04,KSV,Tổng Công ty Khoáng sản TKV - CTCP,HNX,1770,0.8112272836570058,0.8224545673140115,0.8,16099421000.0,218.5,2
2025-03-04,NAG,CTCP Tập đoàn Nagakawa,HNX,2350,0.75204259783066,0.9040851956613198,0.6,5656446600.0,13.2,3
2025-03-04,MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP,UPCOM,1770,0.7240680880760153,0.9481361761520305,0.5,3311780000.0,23.8,4
2025-03-04,TVN,Tổng Công ty Thép Việt Nam - CTCP,UPCOM,1750,0.6978830983343266,0.6957661966686532,0.7,4977690200.0,9.0,5
2025-03-04,HNG,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai,UPCOM,3570,0.6772418108623113,0.8044836217246224,0.55,43190004200.0,7.7,6
2025-03-04,CTP,CTCP Tập đoàn CTP Group,HNX,3570,0.6694469606699569,0.9388939213399139,0.4,5006227000.0,40.0,7
2025-03-04,KCB,CTCP Khoáng sản và Luyện kim Cao Bằng,UPCOM,1770,0.6674627719154665,0.884925543830933,0.45,2041853000.0,21.0,8
2025-03-04,QCG,CTCP Quốc Cường - Gia Lai,HSX,8630,0.6632447823557244,0.7764895647114487,0.55,10011708300.0,13.4,9
2025-03-04,SCR,CTCP Địa ốc Sài Gòn Thương Tín,HSX,8630,0.6476423691273586,0.8952847382547172,0.4,12361176100.0,6.45,10
2025-03-04,CTG,Ngân hàng TMCP Công Thương Việt Nam,HSX,8350,0.6409487621861283,0.7318975243722566,0.55,264875875500.0,41.6,11
2025-03-04,HGM,CTCP Cơ khí và Khoáng sản Hà Giang,HNX,1770,0.6360481643006473,0.8720963286012944,0.4,2565149400.0,305.0,12
2025-03-04,PHR,CTCP Cao su Phước Hòa,HSX,1350,0.630520326837179,0.961040653674358,0.3,19371070400.0,66.0,13
2025-03-04,DVN,Tổng Công ty Dược Việt Nam - CTCP,UPCOM,4570,0.6260320224879468,0.8520640449758934,0.4,3976796200.0,28.6,14
