industryCode,industryName,avg_share_pct,p10_now,p20_now,p10_2023_03_31,p20_2023_03_31,delta_p20
8355,Ngân hàng,23.94,0.0996169230446159,0.0987598086682896,0.1143001703518971,0.1116638306775776,-0.012904022009288002
8633,Các công ty đầu cơ và phát triển bất động sản,16.02,0.3352293804872017,0.2531222950414245,0.1900242309494691,0.1620521872571079,0.09107010778431662
8781,Công ty chứng khoán,13.14,0.1439038349884746,0.1277039212993928,0.2237977886124598,0.1911255676378338,-0.06342164633844102
2357,"Xây dựng, xây lắp",5.66,0.1441090444620701,0.1324416918067191,0.0722284135505779,0.0952485929260062,0.03719309888071291
1757,Khai thác quặng sắt và sản xuất thép,5.05,0.1275514356703476,0.1201416532240287,0.1201890779836858,0.1099885720554457,0.010153081168583003
8637,Dịch vụ bất động sản,4.21,0.1735547744183598,0.1691520379929713,0.055382692012228,0.0599564458397401,0.10919559215323119
3577,Sản phẩm thực phẩm,3.87,0.1122891093017217,0.1091263633452109,0.0681423472355821,0.073033770795844,0.036092592549366906
5373,Bán lẻ tổng hợp,3.18,0.1497482426830766,0.1307590316453689,0.2266779404554017,0.1837653451876182,-0.0530063135422493
9537,Công nghệ phần mềm,2.79,0.2217421575308343,0.1862260207254829,0.0545454545454545,0.052390889266187,0.13383513145929588
0533,Thăm dò và sản xuất dầu khí,2.42,0.2919846930956662,0.2262535122926952,0.1715576245219179,0.1473996393623208,0.07885387293037438
2733,Các linh kiện và thiết bị điện,2.37,0.2170123670864546,0.1809390688630811,0.1301082819303981,0.1102231373431735,0.07071593151990758
1353,"Hóa chất cơ bản - Sản phẩm nhựa, cao su, hóa chất",2.08,0.1994138716583008,0.1592517802518281,0.1344384279451576,0.1154374153631618,0.0438143648886663
1357,Hóa chất chuyên dụng - Phân bón,1.59,0.2283002810149395,0.1983126409076305,0.1340042759899737,0.1149014790694376,0.08341116183819292
2777,Dịch vụ vận tải,1.5,0.0762108832441418,0.0777168447402866,0.0631975641869443,0.0676143863863831,0.010102458353903498
0573,"Thiết bị, dịch vụ khai thác dầu mỏ",1.48,0.2378976409802071,0.2144436171055284,0.1664404211822916,0.1407750913328544,0.07366852577267399
3573,"Nông sản, Thủy sản & Đồn điền",1.34,0.132400958755492,0.1269294093227521,0.1133670488497976,0.1043560088227452,0.02257340050000689
5751,Hàng không chở khách,1.1,0.1679167071709413,0.1490927532080905,0.1620993730281456,0.1415606516917445,0.007532101516346007
2773,Vận tải biển,1.09,0.1484740345602461,0.1296344774608684,0.1003672438771114,0.101540382723239,0.028094094737629402
3763,Quần áo và đồ phụ kiện,0.97,0.1726192644077517,0.1472878424658107,0.0597033125007673,0.061121302630883,0.0861665398349277
7535,Sản xuất và cung cấp điện truyền thống,0.92,0.0992067945947111,0.0957672548949962,0.1337336246161093,0.127444181532448,-0.031676926637451794
