symbol,count,mean_p20,sum_p20,value_weighted_p20,hit_rate,hits,period_max_run
DGW,12,0.5906730387471694,7.088076464966032,584729134003.5234,0.16666666666666666,2,0.20300751879699241
VNE,10,0.6687548286089682,6.687548286089681,20532718936.845325,0.2,2,1.3003412969283277
PHR,10,0.6620059515279221,6.6200595152792205,158400154229.44034,0.0,0,0.0625
TCD,9,0.7210570625915332,6.489513563323799,30509219120.59423,0.1111111111111111,1,0.0
LIG,9,0.6990140913158405,6.291126821842564,24832933670.248047,1.0,9,0.375
CTP,9,0.6836961346011581,6.153265211410423,29922096345.27443,0.0,0,0.0
BCM,9,0.6288246222577539,5.659421600319785,180061029115.6014,0.0,0,0.08201058201058209
MSN,9,0.6102538673110949,5.492284805799854,2099981372102.7559,0.0,0,0.16323529411764692
DL1,9,0.5991778148491186,5.392600333642068,43086070338.80314,0.2222222222222222,2,0.6666666666666665
TTF,8,0.6701573356038452,5.361258684830761,15996710624.142551,0.25,2,0.0
CTG,8,0.6584936957088017,5.267949565670413,1466484025980.752,0.0,0,0.1200000000000001
HTN,8,0.6514807726268457,5.211846181014765,28980740475.318962,0.5,4,0.09478672985782
LAS,8,0.6370491932397329,5.096393545917863,109315831381.58878,0.0,0,0.18274111675126914
ANV,8,0.6271016393194933,5.016813114555946,241773323606.97513,0.5,4,0.42000000000000015
D2D,8,0.6138876192892161,4.911100954313729,31137132394.98389,0.0,0,0.2379032258064515
IDJ,7,0.7008216413335939,4.905751489335158,40219120442.19468,0.42857142857142855,3,0.3508771929824561
DRI,8,0.6130492258565172,4.904393806852138,86575263154.21516,0.0,0,0.018750000000000044
BMP,8,0.6111937087703427,4.889549670162742,145230927507.3463,0.75,6,0.2633779264214047
E1VFVN30,8,0.6110747033578051,4.888597626862441,48021588013.741714,0.375,3,0.24999999999999978
DPG,8,0.6101869114913292,4.881495291930634,211783214717.46686,0.125,1,0.40347293156281916
TVN,7,0.6830645834143096,4.7814520839001675,23543105152.199047,0.0,0,0.0
CTI,7,0.6560075137112771,4.59205259597894,150650021711.67795,0.42857142857142855,3,0.19124423963133652
HQC,7,0.6535964056072584,4.575174839250809,79910283845.84227,0.14285714285714285,1,0.2553846153846153
FIT,7,0.6445737433104533,4.5120162031731725,21091189034.989655,0.0,0,0.26303317535545023
BMS,7,0.634702391352936,4.442916739470553,17190547195.26017,0.0,0,0.25
BFC,7,0.6116641092105229,4.281648764473661,113359705299.93625,0.42857142857142855,3,0.1341040462427745
TSC,7,0.5977640674007424,4.184348471805197,9363085999.269896,0.0,0,0.30038022813688214
CTS,6,0.6911659049340253,4.146995429604152,307643455013.0759,0.3333333333333333,2,0.08695652173913038
L14,6,0.656470288644083,3.938821731864498,30069910663.448708,0.0,0,0.21753246753246747
FRT,6,0.632732110733626,3.7963926644017563,329080633275.68353,0.0,0,0.04958677685950419
DIG,5,0.7459042008167202,3.7295210040836007,1455032558196.3364,0.0,0,0.16500000000000004
VGI,6,0.5887862226030652,3.5327173356183916,136156709278.65318,0.0,0,0.0
PVC,6,0.5824280101733977,3.4945680610403866,47578567449.625824,0.0,0,0.16666666666666674
SJS,6,0.5789038297580135,3.473422978548081,11006116392.572987,0.16666666666666666,1,0.6592449177153921
PVB,5,0.6921724600278736,3.4608623001393677,18028808549.622772,0.0,0,0.011527377521613813
NVB,5,0.661720723662462,3.30860361831231,26113968516.637535,0.6,3,0.3982300884955752
HSG,5,0.6607253549722127,3.3036267748610637,443825809904.57,0.0,0,0.023809523809523947
KCB,5,0.6541825215856749,3.2709126079283743,6802361120.644357,0.0,0,0.0
LHG,5,0.6441714006559152,3.220857003279576,24223667149.49004,0.2,1,0.0
MSR,4,0.7959580907209212,3.1838323628836847,118663696060.13562,0.0,0,0.12682926829268304
DC4,5,0.6188589563004565,3.0942947815022825,37529602059.97654,0.0,0,0.16535433070866157
TLH,5,0.6139414511237621,3.0697072556188103,12867626726.00171,0.0,0,0.0596026490066226
PVS,5,0.5891896487844273,2.9459482439221363,563801491133.6248,0.0,0,0.04249291784702547
NAF,5,0.5423343664124924,2.7116718320624624,20576466106.57551,0.4,2,0.2622549019607845
NTC,4,0.6593149736830712,2.637259894732285,22399591528.535404,0.0,0,0.004184100418409997
SGP,4,0.6577320183344075,2.63092807333763,15942758225.321302,0.0,0,0.013812154696132506
C4G,4,0.6570924695952312,2.6283698783809246,20450956959.6386,0.25,1,0.08139534883720945
HNG,4,0.6469170829606284,2.5876683318425138,112093887869.87073,0.0,0,0.013157894736842257
GMD,4,0.6405506606407915,2.562202642563166,372976974190.7093,0.0,0,0.021381578947368585
FTS,4,0.6379052693838423,2.551621077535369,394162586259.23285,0.0,0,0.042338709677419484
PVD,4,0.6199965049435099,2.4799860197740395,330821131097.5257,0.0,0,0.0
DBC,4,0.6096952020316503,2.438780808126601,569607817195.4421,0.0,0,0.1825657894736843
LPB,4,0.6042404136204875,2.41696165448195,277154644093.45135,0.0,0,0.03203342618384397
PXL,3,0.7305711226210118,2.191713367863035,9926873651.819183,0.0,0,0.17948717948717952
TDC,3,0.7046512512817696,2.113953753845309,30231124752.986393,0.0,0,0.05138339920948609
CIG,3,0.6788247228498387,2.0364741685495162,5908774987.0294285,0.0,0,0.18055555555555558
LSG,3,0.6728184981255833,2.0184554943767496,5321681205.902324,0.0,0,0.05990783410138256
QCG,3,0.6640227225342333,1.9920681676027,32398036320.63197,0.3333333333333333,1,0.10505836575875493
MGC,3,0.6576632049327878,1.9729896147983637,4018430834.6759543,0.0,0,1.4700854700854702
DCL,3,0.6522868307132828,1.9568604921398483,31933683822.635036,0.0,0,0.2515592515592515
PET,3,0.6522213612079193,1.9566640836237579,53762572054.93326,0.6666666666666666,2,0.536734693877551
VDS,3,0.6480559879429707,1.944167963828912,59024701139.08699,0.0,0,0.009708737864077666
DVN,3,0.6473982047198539,1.9421946141595616,7718605648.947438,0.0,0,0.0
BMI,3,0.641408494279732,1.924225482839196,7024749405.2143135,0.0,0,0.023255813953488413
SAM,3,0.6401168051315398,1.9203504153946194,7698431942.209679,0.0,0,0.06422018348623837
PLC,3,0.6237677161476936,1.8713031484430807,17081863659.481579,0.0,0,0.10305343511450382
KHP,3,0.6091562096210176,1.8274686288630528,4537934697.422163,0.0,0,0.1659192825112108
TNG,3,0.608432780836201,1.825298342508603,44708541554.95428,0.0,0,0.0
TDP,3,0.6069770865334627,1.8209312596003882,8132530997.493078,0.0,0,0.05671641791044779
HBC,3,0.6068318501234847,1.8204955503704543,21433777874.547405,0.6666666666666666,2,0.04166666666666674
CTF,3,0.5950380433668175,1.7851141301004525,9408271460.930117,0.0,0,0.10144927536231885
PDR,2,0.7735386598344387,1.5470773196688774,384663616695.04425,0.0,0,0.10447761194029836
MBB,2,0.7325452845573095,1.465090569114619,770088349804.1448,0.0,0,0.24458874458874447
VHG,2,0.7273161953629161,1.4546323907258323,3790386445.008897,0.5,1,0.19999999999999996
MHC,2,0.7185081355241307,1.4370162710482615,3067642463.4287443,1.0,2,0.4144353899883586
IJC,2,0.6557763255921538,1.3115526511843076,44508106531.44266,0.0,0,0.0887372013651877
VHC,2,0.6476547556234078,1.2953095112468156,94474456750.87082,0.0,0,0.0
VGC,2,0.64023137408709,1.28046274817418,71735384146.0929,0.0,0,0.16923076923076907
EIB,2,0.6382393348118064,1.2764786696236128,282282082861.39935,0.0,0,0.3556581986143188
NDN,2,0.6333506182314179,1.2667012364628358,2760074306.6909504,0.0,0,0.26315789473684204
DPR,2,0.6330180642369683,1.2660361284739365,41410336716.30925,0.0,0,0.10178384050367262
HAP,2,0.6275466668257412,1.2550933336514825,2554583521.871711,1.0,2,0.4570230607966459
VPB,2,0.6251598318525062,1.2503196637050125,669215092503.4937,0.5,1,0.34375
NLG,2,0.6010534889258365,1.202106977851673,141172612369.95898,0.0,0,0.2394775036284471
CRE,2,0.5947839576878171,1.1895679153756342,2694253476.4461255,0.0,0,0.3110181311018132
DHG,2,0.5844337113779651,1.1688674227559301,3029021221.170491,0.0,0,0.07177974434611589
PPC,2,0.5778389690307855,1.155677938061571,6457439747.423856,0.0,0,0.09871244635193133
MPC,2,0.5769194022039386,1.1538388044078771,4077364714.69067,0.5,1,0.11428571428571432
SBS,2,0.5763368982549845,1.152673796509969,7995083531.995768,0.0,0,0.2142857142857144
MST,2,0.5757874794785033,1.1515749589570066,15676766783.318903,0.5,1,0.014705882352941346
FCN,2,0.5706474843083383,1.1412949686166767,24547633036.621735,0.0,0,0.022508038585209
VCG,2,0.5617188500801018,1.1234377001602036,233582799080.57788,0.0,0,0.21149425287356327
TCL,2,0.4654192961386022,0.9308385922772044,10579174713.043285,0.0,0,0.06398104265402837
POW,1,0.7568585901206182,0.7568585901206182,115050396933.05214,0.0,0,0.2032520325203251
EVS,1,0.7384669351281655,0.7384669351281655,1890513458.8219564,0.0,0,0.25396825396825395
HUT,1,0.7198039739207205,0.7198039739207205,21328204338.9088,1.0,1,0.06470588235294117
C69,1,0.7191818404051175,0.7191818404051175,2624325028.9483066,0.0,0,0.46153846153846145
VTO,1,0.6888926428124964,0.6888926428124964,7733952937.299906,0.0,0,0.050000000000000044
DST,1,0.668441016960351,0.668441016960351,2009202548.8552873,0.0,0,0.5423728813559321
MML,1,0.6682574621255122,0.6682574621255122,1786576568.4336097,0.0,0,0.15094339622641506
CTD,1,0.6633161250312746,0.6633161250312746,63855672170.04375,0.0,0,0.0786516853932584
CLX,1,0.6613342806819547,0.6613342806819547,5844165538.587922,0.0,0,0.016393442622950838
HAX,1,0.6606114654803226,0.6606114654803226,9239039057.6114,0.0,0,0.040462427745664664
NKG,1,0.6601460959944128,0.6601460959944128,116111188012.02069,0.0,0,0.034482758620689724
NTL,1,0.6502376260729981,0.6502376260729981,24905930587.180546,0.0,0,0.17808219178082196
REE,1,0.6404283246394777,0.6404283246394777,37578189295.38534,0.0,0,0.07438016528925617
VC2,1,0.6352253495575384,0.6352253495575384,3913103764.288056,0.0,0,0.0
PCH,1,0.627384242638519,0.627384242638519,1281528054.4246018,0.0,0,0.5107913669064748
SKG,1,0.6206842053488033,0.6206842053488033,1771707623.1000335,0.0,0,0.011811023622047223
KVC,1,0.6163278539048418,0.6163278539048418,1309675611.1351852,0.0,0,0.04761904761904767
CNG,1,0.6098178847393885,0.6098178847393885,1376221695.850945,0.0,0,0.022580645161290214
BSR,1,0.6073881550655289,0.6073881550655289,35311115414.07578,0.0,0,0.0
HHV,1,0.6046387277359876,0.6046387277359876,64094268264.04543,0.0,0,0.0748031496062993
NT2,1,0.5979469687925962,0.5979469687925962,7926179204.967998,0.0,0,0.0
MWG,1,0.5969824017119624,0.5969824017119624,285885525524.88635,0.0,0,0.20238095238095255
THG,1,0.5895572787435079,0.5895572787435079,2946644892.9144363,0.0,0,0.09344262295081962
FCM,1,0.5888586583420115,0.5888586583420115,1206964077.2276833,0.0,0,0.0
KHG,1,0.5816176445718798,0.5816176445718798,29043471534.783367,0.0,0,0.29143897996357016
VRE,1,0.5764262968687437,0.5764262968687437,190321554067.34583,0.0,0,0.6949152542372883
SZC,1,0.570734726011507,0.570734726011507,46593653947.07096,0.0,0,0.0
DGC,1,0.5640676243975992,0.5640676243975992,101227226603.72012,0.0,0,0.0
BOT,1,0.5556914726208892,0.5556914726208892,5582481424.034412,0.0,0,0.0
VEA,1,0.503812767771159,0.503812767771159,13395173352.018003,0.0,0,0.007425742574257432
IMP,1,0.4869007028136068,0.4869007028136068,6325142640.955411,1.0,1,0.1540084388185654
SHI,1,0.4822832748497249,0.4822832748497249,3005162885.763536,0.0,0,0.04635761589403975
VC3,1,0.4702638888368287,0.4702638888368287,6758091806.890739,0.0,0,0.07220216606498187
