symbol,count,mean_p20,sum_p20,value_weighted_p20,hit_rate,hits,period_max_run
SBT,73,0.6545486039140785,47.78204808572774,1732043064150.1582,0.4383561643835616,32,0.8278388278388278
GEX,65,0.6640059963564892,43.16038976317179,15085408850060.453,0.7692307692307693,50,1.567741935483871
DDV,61,0.6660341676707218,40.62808422791403,2284651992903.3833,0.7704918032786885,47,0.5980392156862746
HHS,59,0.6589870602666349,38.88023655573146,2314874629221.9233,0.5932203389830508,35,1.2771084337349392
TIN,39,0.7508152491691957,29.281794717598633,63964785339.659256,0.6923076923076923,27,2.549668874172186
TOS,43,0.6613078124284228,28.436235934422182,233116645674.63312,0.23255813953488372,10,0.33750000000000013
DRH,37,0.7304038986401972,27.024944249687294,95276058046.93541,0.5135135135135135,19,1.0789473684210527
HAH,33,0.7312337381448664,24.13071335878059,3081262090006.4717,0.5151515151515151,17,0.6168582375478928
SHB,35,0.6808495596591179,23.829734588069126,12956456552214.842,0.2857142857142857,10,0.7338709677419355
VFS,35,0.6565919545630964,22.980718409708373,753018061899.1942,0.5714285714285714,20,0.7664670658682635
VIX,34,0.6686382345462595,22.733699974572822,11872108107519.355,0.4117647058823529,14,1.3135593220338984
VHM,32,0.7088316645293434,22.68261326493899,12599586633175.652,0.375,12,1.2561692126909518
JVC,31,0.7083654531716858,21.959329048322257,80002971937.808,0.03225806451612903,1,0.4021739130434785
VND,31,0.6856781180482704,21.256021659496383,7871360187339.021,0.45161290322580644,14,0.6569343065693432
NAG,32,0.655723269615572,20.983144627698305,168545465356.46967,0.1875,6,0.16417910447761197
FIR,29,0.6309515503812236,18.297594961055484,51856633863.14957,0.1724137931034483,5,0.4628820960698692
VAB,27,0.6738062282883804,18.192768163786273,275096578384.4479,0.8518518518518519,23,0.6715686274509807
HVN,27,0.6721345368618424,18.147632495269747,1739278995763.1758,0.3333333333333333,9,0.44964028776978404
DLG,29,0.6246181935436271,18.11392761276519,84213111538.64792,0.7241379310344828,21,0.8415841584158417
MTA,24,0.713748002572561,17.129952061741463,60215524846.50675,0.0,0,0.023622047244094446
SBG,24,0.6779608567242988,16.271060561383173,74082187558.54993,0.125,3,0.12244897959183665
GEE,25,0.6471710438388873,16.179276095972185,1131169136025.9746,0.4,10,1.089430894308943
DXS,26,0.6217815495579185,16.166320288505883,341326939418.7167,0.6153846153846154,16,0.6232876712328768
HVH,25,0.6436996956873113,16.092492392182784,78607216209.72841,0.28,7,0.6296296296296298
APG,23,0.6871234045827266,15.803838305402712,103588072161.96213,0.043478260869565216,1,0.4285714285714286
NVL,22,0.6835694058289365,15.038526928236605,3693242752053.0596,0.5,11,0.6826923076923077
TCH,21,0.6988964201437764,14.676824823019304,2217510704758.4263,0.0,0,0.4831460674157302
VIC,22,0.6615609805486486,14.55434157207027,5553558251067.568,0.5454545454545454,12,1.9013079667063022
SSI,17,0.7934691287537653,13.48897518881401,10986407119732.107,0.8823529411764706,15,0.3458646616541352
BKC,20,0.6697724597062291,13.395449194124582,41540820448.10605,0.05,1,0.11111111111111094
BSI,21,0.635979081626567,13.355560714157907,444862984253.04565,0.0,0,0.06498194945848379
NRC,19,0.692452905027228,13.156605195517331,76967182161.54382,0.0,0,0.07692307692307687
SCR,20,0.6437784224903339,12.875568449806678,289585660625.62445,0.5,10,0.5132605304212168
G36,18,0.7052182305276989,12.69392814949858,66920327460.22785,0.0,0,0.4411764705882355
LDG,18,0.7012768669715487,12.622983605487876,74197330509.98323,0.8888888888888888,16,2.065217391304348
HGM,20,0.6301160618292974,12.602321236585947,38373316518.28946,0.1,2,0.0714285714285714
VEF,19,0.6629730080179196,12.596487152340472,53584789090.35684,0.2631578947368421,5,0.3209809264305177
API,18,0.6713072371742508,12.083530269136514,61377540823.496506,0.1111111111111111,2,0.3378378378378377
GEG,19,0.6290745316512554,11.952416101373853,214301378271.16125,0.05263157894736842,1,0.3552123552123554
AAV,17,0.6939105290539095,11.79647899391646,69102464066.82462,0.17647058823529413,3,0.3142857142857143
KSV,17,0.6928138147769395,11.777834851207972,197932596047.73083,0.0,0,0.1412078152753109
EVF,17,0.6849072184968202,11.643422714445943,1868365641220.3267,0.8235294117647058,14,0.3228699551569507
STB,19,0.6071178444483395,11.53523904451845,6101911098837.396,0.05263157894736842,1,0.2921492921492921
KLB,18,0.6372913172482516,11.47124371046853,118614392933.16913,0.7777777777777778,14,0.8852459016393444
SMC,16,0.6952244311511273,11.123590898418037,73125263835.69116,0.3125,5,1.1578099838969407
TDH,17,0.6391139266818374,10.864936753591236,29841043359.68682,0.47058823529411764,8,0.7709677419354839
CRC,16,0.6491763437692926,10.386821500308681,74684890175.1575,0.6875,11,0.826086956521739
VIG,15,0.6681493321271998,10.022239981907997,25885189050.802406,0.0,0,0.30645161290322576
VSC,16,0.6239131390917935,9.982610225468695,748779645297.471,0.0,0,0.41081081081081083
VCI,15,0.6592366373331319,9.888549559996978,2969503539116.505,0.26666666666666666,4,0.2050938337801611
TV2,15,0.6422880260382293,9.63432039057344,185518153581.3634,0.0,0,0.19830028328611893
CEO,14,0.6834852819355727,9.568793947098017,2633383654050.5015,0.6428571428571429,9,0.719178082191781
BAF,15,0.6359451713760749,9.539177570641122,1029051202063.915,0.26666666666666666,4,0.10574018126888207
APS,13,0.7225766691351261,9.393496698756639,74629063953.00496,0.6153846153846154,8,1.1111111111111112
CII,14,0.66998410272533,9.37977743815462,1612479865014.272,0.0,0,0.23508771929824568
IPA,14,0.6679950158725756,9.351930222216058,24600504905.63839,0.0,0,0.6929133858267718
NTP,13,0.7001822586817864,9.102369362863223,323395521423.3207,0.15384615384615385,2,0.2755905511811023
SHS,12,0.7463604598411163,8.956325518093395,2672085509679.7686,1.0,12,0.6546762589928057
ITC,14,0.630443523787014,8.826209333018195,63173925919.07433,0.21428571428571427,3,0.6267942583732058
AAS,14,0.6250320768355878,8.75044907569823,55164365641.94556,0.07142857142857142,1,0.2197802197802199
HDC,12,0.7179061666595885,8.614873999915062,1270849874267.8667,0.75,9,0.40643863179074446
TRC,12,0.6998906781531438,8.398688137837725,150633634578.73346,0.0,0,0.010688836104512989
PAN,13,0.6431004768326132,8.360306198823972,277653240873.5769,0.6153846153846154,8,0.22522522522522515
TCB,12,0.6670261293475445,8.004313552170533,4710571023797.443,0.3333333333333333,4,0.38888888888888884
GVR,13,0.602642271928922,7.834349535075986,802566807082.8956,0.0,0,0.0558912386706949
TAL,12,0.6422195630457214,7.706634756548656,27175426345.085876,0.8333333333333334,10,0.09961685823754785
VTD,12,0.6280526723074006,7.536632067688807,19358427043.069588,0.0,0,0.25555555555555554
PVP,12,0.6188591908389397,7.426310290067276,20219934324.799053,0.0,0,0.0029850746268658135
BIC,12,0.5956191808486503,7.147430170183803,16147856867.532982,0.0,0,0.1573948439620081
SVN,11,0.6484358874710032,7.132794762181035,21590141870.335926,0.0,0,0.4035087719298245
