test_month,base_n,base_hit_rate,base_avg_ret20,v23_n,v23_hit_rate,v23_avg_ret20
2023-10,440,0.10454545454545454,-0.034284524191566516,440,0.09545454545454546,-0.019479799873398918
2023-11,440,0.175,0.025128129847426548,440,0.14772727272727273,0.013756684158437404
2023-12,420,0.10238095238095238,0.014804266419028957,420,0.08571428571428572,0.012191286552363748
2024-01,440,0.30227272727272725,0.030253272321800743,440,0.25,0.022754431516518844
2024-02,320,0.36875,0.06505149463121615,320,0.321875,0.054028713770487145
2024-03,420,0.0880952380952381,-0.05604988139998865,420,0.08571428571428572,-0.05599563402225412
2024-04,380,0.3078947368421053,0.05982697207228744,380,0.2736842105263158,0.031245065094415582
2024-05,440,0.3568181818181818,0.07059027420328293,440,0.23863636363636365,0.04765721499259858
2024-06,400,0.2125,-0.037522964603149606,400,0.0575,-0.05131664756100219
2024-07,460,0.09130434782608696,-0.06889583768909546,460,0.04565217391304348,-0.058804547115465636
2024-08,440,0.13863636363636364,0.08673959613636215,440,0.15454545454545454,0.05397939162427678
2024-09,380,0.09736842105263158,-0.02606302505459408,380,0.09473684210526316,-0.026447488361235116
2024-10,460,0.22826086956521738,0.023822078252522663,460,0.20652173913043478,0.010321975325188974
2024-11,420,0.3357142857142857,0.05203893056122313,420,0.37142857142857144,0.05895697323137158
2024-12,440,0.16590909090909092,0.009433523265133099,440,0.1340909090909091,-0.006558423615333743
2025-01,340,0.3088235294117647,0.06239031319002925,340,0.28823529411764703,0.055475540721125184
2025-02,400,0.21,-0.0050904311803729296,400,0.17,-0.01866152820541231
2025-03,420,0.06428571428571428,-0.08296599812615477,420,0.06428571428571428,-0.08485705670669062
2025-04,400,0.41,0.07837311989426328,400,0.325,0.05979139985017554
2025-05,400,0.265,0.02932366771472236,400,0.1425,0.00974309122081673
2025-06,420,0.3047619047619048,0.036214177723333754,420,0.38571428571428573,0.06866452383124033
2025-07,460,0.41956521739130437,0.1035279836277095,460,0.3760869565217391,0.06033670985983106
2025-08,420,0.1976190476190476,-0.0007220983380691115,420,0.1595238095238095,0.0005486884876831899
2025-09,400,0.16,-0.03159904304632343,400,0.0975,-0.028275692509360083
2025-10,460,0.15217391304347827,-0.04615356661916688,460,0.1282608695652174,-0.04379328451600679
2025-11,400,0.15,-0.018666444282855597,400,0.1275,-0.0189747542807604
2025-12,460,0.1282608695652174,-0.0418530280953873,460,0.08478260869565217,-0.05432707886274068
2026-01,400,0.2925,0.037706968137381176,400,0.205,0.00020458846601725477
2026-02,300,0.13666666666666666,-0.04204000172894216,300,0.10333333333333333,-0.03304984405975952
2026-03,440,0.16363636363636364,-0.029669566473893526,440,0.09772727272727273,-0.026040958650947035
