test_month,base_n,base_hit_rate,base_avg_ret20,base_avg_mdd20,v2_n,v2_hit_rate,v2_avg_ret20,v2_avg_mdd20,cfg_w_sum,cfg_w_accel,cfg_w_vw,cfg_w_p20,cfg_w_crowd,cfg_min_slope50,cfg_min_slope100,cfg_max_dist20,cfg_min_breadth60,cfg_min_breadth_top20
2023-10,440,0.10454545454545454,-0.034284524191566516,-0.1432840849329884,0,,,,1.9698296835739388,1.6643090493964443,1.697234751904635,1.0814162046633244,0.23965817903710196,0.009462578870203284,-0.013390726602678565,9.515711202338279,0.20649173056617057,0.6765004890800894
2023-11,440,0.175,0.025128129847426548,-0.036868668904842805,0,,,,2.11488762252488,0.39906800268298775,0.873264685142784,0.8476401984613513,0.34516720790779787,-0.0008086819443000569,-0.014758169888778466,7.923131415359525,0.218742864470808,0.6391317429152968
2023-12,420,0.10238095238095238,0.014804266419028957,-0.037133179874451555,0,,,,2.075230062657302,0.3476136645516889,0.5141578836469279,0.23828138519842962,0.5204905549735765,-0.012134147085217442,-0.0135379353724332,5.119009079161877,0.20942425153453817,0.6187325855385023
2024-01,440,0.30227272727272725,0.030253272321800743,-0.04862674148058331,0,,,,2.1826483013310702,0.5860092684262452,1.1783893019382576,0.5642893318738844,0.22169768604933593,-0.005894944876094455,0.005507857551328418,9.239606914109121,0.2003957850192945,0.6742259713772004
2024-02,320,0.36875,0.06505149463121615,-0.025160045366648898,320,0.34375,0.06024796999133314,-0.024516956520795444,2.1738177436598303,0.6639891423239039,0.9225754405325328,0.44068127916221883,0.4379534685997321,-0.013791236866474856,-0.026027343698312312,7.113781669184501,0.05589799055821891,0.4344558381992
2024-03,420,0.0880952380952381,-0.05604988139998865,-0.09788550764697683,420,0.14285714285714285,-0.01589785068130512,-0.07037674847604287,1.9888778833709673,0.5655488830759827,1.548563733028928,0.2414288334437545,1.442953750602055,-0.014774288981158103,-0.025323147469040498,5.348256030711168,0.0403476632354763,0.481109009732897
2024-04,380,0.3078947368421053,0.05982697207228744,-0.07921618282514327,40,0.175,0.03261381618876412,-0.12175726326276988,2.095960718112619,0.4225765980730197,0.4232717080030394,1.1026623765293768,0.20238414858161474,-0.011674507033418866,-0.01910979963765355,3.42671652245781,0.03399821535259204,0.5660790881559928
2024-05,440,0.3568181818181818,0.07059027420328293,-0.03578452839745942,0,,,,1.6904984451949976,0.6817282648025835,1.2759039646976478,0.6067794580920105,0.31868656631891207,0.008854448981567495,-0.02700629481826735,3.924317991147528,0.045234444354012124,0.43644070003221414
2024-06,400,0.2125,-0.037522964603149606,-0.10586954354449452,360,0.11944444444444445,-0.023925384580175107,-0.09050631258578272,1.9939369703643437,0.23148689207427986,0.7413166135627377,0.28161121998927946,1.3635760543829119,-0.004094590001717989,-0.015628650664700476,6.364845787665586,0.043888710591021916,0.601501795357176
2024-07,460,0.09130434782608696,-0.06889583768909546,-0.14993287639053127,240,0.03333333333333333,-0.10137092252430312,-0.13872540968667788,1.6262882747498226,0.7520017690776255,0.5191782649747151,0.2582078063007272,0.9849604870939306,-0.018747544868714997,-0.022519148909177323,8.965207045058001,0.03345403988421743,0.4468708341987165
2024-08,440,0.13863636363636364,0.08673959613636215,-0.04478994581258591,120,0.058333333333333334,-0.011545491800613754,-0.05783162905478935,2.069126540884717,0.7045346207594128,0.9865330111896887,0.28076888444550746,1.083890311453022,-0.010743749289321607,-0.026027245016022865,3.8593873661292144,0.03349980873649794,0.4020959232752879
2024-09,380,0.09736842105263158,-0.02606302505459408,-0.06389684439884903,40,0.025,-0.038539873945285505,-0.07313747170527382,1.8348351013809987,1.6301496494568137,0.9749608553568031,0.7191472042902027,0.20889182062474687,-0.01803904652191655,-0.0279899853879735,5.056587094529499,0.034949687603380686,0.6282273421581837
2024-10,460,0.22826086956521738,0.023822078252522663,-0.05688475512455254,0,,,,1.396582902883423,1.6777937533586715,0.6781871379075812,0.8489162940544726,0.3088338003082209,-0.0030552746223083266,0.017371697267137554,5.710450471035489,0.0330297577623154,0.6480110046487209
2024-11,420,0.3357142857142857,0.05203893056122313,-0.054541146803805285,0,,,,0.9184566229854143,1.5965717365706733,0.6428160940266961,0.2765569628477,1.2683731509988845,-0.0015894154169721238,0.018089390952294053,6.234126910802756,0.049166735394416114,0.5663367462296693
2024-12,440,0.16590909090909092,0.009433523265133099,-0.06578300040645071,0,,,,1.9625157282039745,1.644114776578604,1.5563254568722389,0.935895610688851,0.5267514937908067,-0.014684135686777565,-0.005341315317671846,6.617218030505736,0.11749599148590917,0.5664718195358348
2025-01,340,0.3088235294117647,0.06239031319002925,-0.055655227365248174,60,0.31666666666666665,0.053306398433376624,-0.044892141195447814,1.2297760637306294,1.5053810250846758,1.0061799613292428,0.8749637356741247,1.4099242924453619,-0.007049902101063106,-0.017902053729838618,9.648622894577585,0.032305112127267735,0.5589689922597609
2025-02,400,0.21,-0.0050904311803729296,-0.0633089817578691,380,0.2131578947368421,0.011839613745406524,-0.03963646542285753,1.4075251759901062,1.0917198129548302,0.44579083889328786,1.1953952899845661,1.187229290876329,-0.018023726187791723,-0.027665763792287013,9.149037968265258,0.03736103900007697,0.4018370399866084
