date,industryCode,industryName,industryLevel,parentLevel1Code,parentLevel1Name,p_wave_10d_raw,p_wave_20d_raw,p_wave_10d,p_wave_20d,expected_return_10d,expected_return_20d,expected_drawdown_20d,confidence_10d,confidence_20d,rs_20d,rs_60d,dist_days_10,dist_days_20,volume_thrust_20,close_vs_ma20,close_vs_ma50,dist_to_20d_high
2026-04-29,8600,Bất động sản,2,8000,Tài chính,0.8654260659479202,0.8654904195679616,0.2979638657872096,0.25178462766088694,0.014898193289360482,0.020142770212870954,-0.04704620779148672,0.49155107808770815,0.5234730843681767,0.2750843634808142,0.2780368285319308,1.0,2.0,1.225646832382579,0.14471808752984128,0.24971294448860193,-0.049854909156475835
2026-04-29,0500,Dầu khí,2,0001,Dầu khí,0.6315909619964013,0.35469112389303575,0.2891156462585034,0.21515116112928828,0.01445578231292517,0.01721209289034306,-0.04824321135664553,0.49155107808770815,0.5234730843681767,-0.2250458448402164,-0.09985442122265087,3.0,6.0,0.916725352112676,-0.0653143005943908,-0.17103269210242777,-0.1338260745372749
2026-04-29,6500,Viễn thông,2,6000,Viễn thông,0.5341498619654671,0.2673060848590891,0.23459347488348006,0.19760666659191406,0.011729673744174003,0.015808533327353123,-0.0488164801323982,0.49155107808770815,0.5234730843681767,-0.16013155916935307,-0.30721084886424344,3.0,4.0,0.7870639534883721,-0.048549312966316815,-0.05420867550574626,-0.10979366616169484
2026-04-29,8500,Bảo hiểm,2,8000,Tài chính,0.24355225450995968,0.1202412820374149,0.18048780487804877,0.14022985264970064,0.009024390243902438,0.011218388211976052,-0.05069127543158292,0.49155107808770815,0.5234730843681767,-0.21307550783474116,0.004890255588104742,3.0,6.0,0.5745004179013753,-0.04942996666812083,-0.05988419041559756,-0.15247225675533727
2026-04-29,1300,Hóa chất,2,1000,Vật liệu cơ bản,0.13178211923421748,0.1046294307112733,0.14906542056074767,0.1312575008410527,0.007453271028037384,0.010500600067284217,-0.05098444826286677,0.49155107808770815,0.5234730843681767,-0.08771138752269425,-0.0985570946304255,3.0,4.0,1.0287291277797954,0.00842996632033799,-0.0346814386592178,-0.029631042093682614
2026-04-29,9500,Công nghệ thông tin,2,9000,Công nghệ,0.13923245457433192,0.09039794682792898,0.14906542056074767,0.12299895095480694,0.007453271028037384,0.009839916076384556,-0.05125429751801032,0.49155107808770815,0.5234730843681767,-0.1010730137474698,-0.26034950755206143,5.0,8.0,1.1094082444942206,-0.0011627412761519018,-0.05275949341736452,-0.04595137688963513
2026-04-29,5700,Du lịch và giải trí,2,5000,Dịch vụ tiêu dùng,0.08712861964105073,0.08963140715528399,0.12950340798442064,0.12255293478681027,0.006475170399221033,0.009804234782944822,-0.05126887115773808,0.49155107808770815,0.5234730843681767,-0.04332987315797476,-0.07626822008818746,0.0,1.0,0.7973841646149219,0.026865802078761547,0.03692009007365282,-0.017582307059404334
2026-04-29,7500,Các dịch vụ hạ tầng,2,7000,Các dịch vụ hạ tầng,0.10724373894395436,0.07401349598253096,0.14906542056074767,0.11346555008648868,0.007453271028037384,0.009077244006919094,-0.051565802704603064,0.49155107808770815,0.5234730843681767,-0.14248549639952424,-0.2031662745617564,5.0,6.0,0.5892900750043607,-0.028214109901718798,-0.09180047850904471,-0.05637551528504858
2026-04-29,3700,Hàng tiêu dùng cá nhân và gia đình,2,3000,Hàng tiêu dùng,0.09934020443771605,0.07146790810209039,0.14527027027027026,0.11198438297635702,0.007263513513513513,0.008958750638108562,-0.051614200043956525,0.49155107808770815,0.5234730843681767,-0.1406936301546733,-0.05941018754192151,3.0,4.0,1.1025746990717964,-0.027203143512040784,-0.0459740644829828,-0.06097312094771634
2026-04-29,5300,Bán lẻ,2,5000,Dịch vụ tiêu dùng,0.06657492538660961,0.06342864861439429,0.10847189231987332,0.10776408812057353,0.005423594615993666,0.008621127049645882,-0.051752098759712435,0.49155107808770815,0.5234730843681767,-0.1055599376488301,-0.02060994511062264,0.0,2.0,0.8229349436025977,0.0059379697260910635,-0.00791000575695533,-0.0469485380525102
2026-04-29,2300,Xây dựng và vật liệu xây dựng,2,2000,Công nghiệp,0.040954997933844384,0.05981691256930883,0.1008558871154291,0.10629968641512792,0.0050427943557714554,0.008503974913210234,-0.05179994828715836,0.49155107808770815,0.5234730843681767,-0.09545410106488128,0.043252938892515136,2.0,3.0,1.2830367696344358,0.007077681432027694,0.027214936657758537,-0.025595097705367276
2026-04-29,8700,Dịch vụ tài chính,2,8000,Tài chính,0.05302712595153065,0.0296459074492052,0.1008558871154291,0.10135785704514498,0.0050427943557714554,0.008108628563611598,-0.05196142324255668,0.49155107808770815,0.5234730843681767,-0.09524457746953474,-0.07425563165103344,3.0,4.0,0.5107643852283387,-0.014502137087906042,-0.023133124284953732,-0.05129735823428183
2026-04-29,1700,Tài nguyên cơ bản,2,1000,Vật liệu cơ bản,0.06790612277084977,0.038058131623482344,0.10847189231987332,0.10026369059439372,0.005423594615993666,0.008021095247551497,-0.051997175282055774,0.49155107808770815,0.5234730843681767,-0.13920387526092226,0.038663800650111435,2.0,3.0,0.6385092579145719,-0.027747466768456852,-0.01732604187408393,-0.0713105072429876
2026-04-29,8300,Ngân hàng,2,8000,Tài chính,0.023725886552029493,0.02384236877314274,0.1008558871154291,0.09085416349077775,0.0050427943557714554,0.00726833307926222,-0.05230463287632334,0.49155107808770815,0.5234730843681767,-0.08044001718832416,-0.08589381431354526,2.0,3.0,0.8054089660975743,0.005176320240414034,0.001899590034567522,-0.037141219505638645
2026-04-29,4500,Y tế,2,4000,Y tế,0.026297831101449762,0.021428469021256023,0.1008558871154291,0.08567473970631473,0.0050427943557714554,0.006853979176505178,-0.0524738712619433,0.49155107808770815,0.5234730843681767,-0.14916060552919852,-0.06792062999854942,3.0,5.0,1.1837550222608317,-0.023176868294483177,-0.032812322907077696,-0.055448102806844646
2026-04-29,8900,Quỹ đầu tư,2,8000,Tài chính,0.012263990388720598,0.01832983271197391,0.07043879907621248,0.07887022716190507,0.003521939953810624,0.006309618172952406,-0.05269620964664955,0.49155107808770815,0.5234730843681767,-0.0652566234758547,-0.049424712263265835,1.0,3.0,0.8001971969857032,0.014254741865341147,0.010259327073943503,-0.02049962909282199
2026-04-29,2700,Các sản phẩm và dịch vụ công nghiệp,2,2000,Công nghiệp,0.022662744509721486,0.017239131123202047,0.09661229611041405,0.07625418684958961,0.004830614805520703,0.006100334947967169,-0.052781689124212494,0.49155107808770815,0.5234730843681767,-0.10348282959638011,-0.032407427524386856,5.0,6.0,0.8786885890471104,-0.012046806141905675,-0.010646263191220307,-0.04110441288867017
2026-04-29,3300,Ôtô và linh kiện ôtô,2,3000,Hàng tiêu dùng,0.02281858551695241,0.01684905337398777,0.09661229611041405,0.07531858803192319,0.004830614805520703,0.006025487042553856,-0.05281225994445794,0.49155107808770815,0.5234730843681767,-0.1465574953961465,-0.08424918614902399,3.0,6.0,0.9475411330386035,-0.019527269955288085,-0.03708026062353331,-0.045440216785384235
2026-04-29,3500,Thực phẩm và đồ uống,2,3000,Hàng tiêu dùng,0.01046854629787752,0.01009129381712333,0.06069160197600565,0.06132932064371917,0.0030345800988002825,0.004906345651497533,-0.053269361183380985,0.49155107808770815,0.5234730843681767,-0.11099414116518247,-0.06869074452364754,1.0,2.0,1.027636803930627,-0.004499226035423298,-0.014897249667081058,-0.029963537893302084
2026-04-29,5500,Truyền thông,2,5000,Dịch vụ tiêu dùng,0.003110877134729836,0.0036790558218280805,0.05307777368227055,0.05170209635483833,0.0026538886841135276,0.0041361677083870665,-0.053583932063164745,0.49155107808770815,0.5234730843681767,-0.12387966567086017,-0.046234948475114335,4.0,7.0,0.9020039638846069,-0.007337453131744942,-0.008699178498382976,-0.03933579423526745
