test_month,threshold_selected,baseline_n,baseline_hit_rate,baseline_avg_ret20,threshold_n,threshold_hit_rate,threshold_avg_ret20,threshold_coverage,weighted_n,weighted_win_day_rate,weighted_avg_ret20,weighted_avg_mdd20
2024-04,0.7,120,0.575,0.14278980620494958,18,0.4444444444444444,0.21219227462255527,0.15,120,1.0,0.1471446789620295,-0.008391865986564556
2024-05,0.7,220,0.30454545454545456,0.04024701751144028,127,0.33070866141732286,0.03307273998542575,0.5772727272727273,220,0.9090909090909091,0.04043109108584698,-0.05069748415313103
2024-06,0.45,120,0.075,-0.1250082650299105,120,0.075,-0.1250082650299105,1.0,120,0.0,-0.13076243977907784,-0.1703769067452713
2024-07,0.45,180,0.15,0.04571914676360468,180,0.15,0.04571914676360468,1.0,180,0.8888888888888888,0.04832391271965805,-0.09048932143736498
2024-08,0.45,160,0.10625,0.029272096094576195,160,0.10625,0.029272096094576195,1.0,160,0.875,0.0314758895670542,-0.05970721525623725
2024-09,0.45,140,0.05,-0.037345024326959256,140,0.05,-0.037345024326959256,1.0,140,0.0,-0.03678792169153992,-0.0695660682098693
2024-10,0.45,180,0.3111111111111111,0.0481432007019882,180,0.3111111111111111,0.0481432007019882,1.0,180,1.0,0.052708965848264316,-0.053988655109636054
2024-11,0.45,140,0.42857142857142855,0.07394062051110108,140,0.42857142857142855,0.07394062051110108,1.0,140,1.0,0.07232571923299193,-0.03026577364141005
2024-12,0.5,160,0.16875,0.014524769920736782,160,0.16875,0.014524769920736782,1.0,160,0.875,0.01609274945258301,-0.08185183916459951
2025-01,0.6,80,0.25,0.023725763306331644,38,0.21052631578947367,-0.011010246552823786,0.475,80,1.0,0.014016959490633535,-0.06812474726117695
2025-02,0.5,220,0.17272727272727273,-0.02579625119586237,220,0.17272727272727273,-0.02579625119586237,1.0,220,0.0,-0.02926714681423352,-0.07762968330342988
2025-03,0.5,140,0.04285714285714286,-0.06476164924089862,140,0.04285714285714286,-0.06476164924089862,1.0,140,0.0,-0.06719046732470617,-0.19888539499312527
2025-04,0.5,140,0.4714285714285714,0.08221404309207979,140,0.4714285714285714,0.08221404309207979,1.0,140,1.0,0.07885962257084225,-0.055413542175069566
2025-05,0.45,180,0.15,0.00365525542024822,180,0.15,0.00365525542024822,1.0,180,0.7777777777777778,0.004423818592638325,-0.05458868939379227
2025-06,0.45,140,0.5071428571428571,0.0894387985048624,140,0.5071428571428571,0.0894387985048624,1.0,140,1.0,0.08978004869428792,-0.03417326654618864
2025-07,0.45,180,0.3111111111111111,0.053133303738530105,180,0.3111111111111111,0.053133303738530105,1.0,180,0.7777777777777778,0.0581853084155655,-0.04651651106857917
2025-08,0.45,140,0.18571428571428572,-0.01476125854880602,140,0.18571428571428572,-0.01476125854880602,1.0,140,0.14285714285714285,-0.01589315913481101,-0.07276120435984955
2025-09,0.45,160,0.14375,-0.04285751703024291,160,0.14375,-0.04285751703024291,1.0,160,0.0,-0.04392838334732066,-0.11118052824202143
2025-10,0.45,180,0.16666666666666666,-0.012887820642443057,180,0.16666666666666666,-0.012887820642443057,1.0,180,0.4444444444444444,-0.011585618761237957,-0.10009109309109691
2025-11,0.45,120,0.15833333333333333,-0.02701075431521066,120,0.15833333333333333,-0.02701075431521066,1.0,120,0.0,-0.030847283609212447,-0.08913285628570954
2025-12,0.45,180,0.12222222222222222,-0.030246798527534976,180,0.12222222222222222,-0.030246798527534976,1.0,180,0.2222222222222222,-0.02436821175530428,-0.09355948738400896
2026-01,0.45,160,0.2125,0.04481865288098147,160,0.2125,0.04481865288098147,1.0,160,0.875,0.04507808407446419,-0.09710708097427748
2026-02,0.45,100,0.09,-0.0784827176491349,100,0.09,-0.0784827176491349,1.0,100,0.0,-0.07534182334382214,-0.1390251324716843
2026-03,0.45,160,0.21875,0.016572476710064194,160,0.21875,0.016572476710064194,1.0,160,0.625,0.018459524504591752,-0.06015864256038085
