date,symbol,name,exchange,industryCode,close,volume,traded_value_vnd,adv_apr_vnd
2026-04-01,DIG,Tổng CTCP Đầu tư Phát triển Xây dựng,HSX,8630,14.3,12468600.0,178300980000.0,146101815250.0
2026-04-01,PVT,Tổng CTCP Vận tải Dầu khí,HSX,2770,21.75,8160200.0,177484350000.0,155330630500.0
2026-04-01,PLX,Tập đoàn Xăng dầu Việt Nam,HSX,0530,40.7,4263100.0,173508170000.0,132841876000.0
2026-04-01,NLG,CTCP Đầu tư Nam Long,HSX,8630,29.85,5707400.0,170365890000.0,82592236750.0
2026-04-01,PVD,Tổng CTCP Khoan và Dịch vụ Khoan Dầu khí,HSX,0570,34.8,4610200.0,160434960000.0,117829285500.0
2026-04-01,GAS,Tổng Công ty khí Việt Nam - CTCP,HSX,7570,80.0,1876800.0,150144000000.0,108382505000.0
2026-04-01,DGC,CTCP Tập đoàn Hóa chất Đức Giang,HSX,1350,50.5,2855400.0,144197700000.0,178170055000.0
2026-04-01,POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,HSX,7530,13.05,10934900.0,142700445000.0,130840365000.0
2026-04-01,VGI,Tổng CTCP Đầu tư Quốc tế Viettel,UPCOM,6530,95.3,1445600.0,137765680000.0,64421235000.0
2026-04-01,ORS,CTCP Chứng khoán Tiên Phong,HSX,8780,13.9,9624800.0,133784720000.0,31829000750.0
2026-04-01,KDH,CTCP Đầu tư và Kinh doanh Nhà Khang Điền,HSX,8630,26.5,4925000.0,130512500000.0,102785854500.0
2026-04-01,VSC,CTCP Container Việt Nam,HSX,2770,24.25,5369500.0,130210375000.0,141052574250.0
2026-04-01,REE,CTCP Cơ điện lạnh,HSX,7530,67.4,1823500.0,122903900000.0,76710272000.0
2026-04-01,IDC,Tổng công ty IDICO - CTCP,HNX,8630,49.3,2369900.0,116836070000.0,92180146000.0
2026-04-01,GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,HSX,1350,32.5,3228800.0,104936000000.0,101374722000.0
2026-04-01,VIB,Ngân hàng TMCP Quốc tế Việt Nam,HSX,8350,17.2,5681800.0,97726960000.0,113512908500.0
