test_month,industry_cap_selected,weight_cap_selected,baseline_n,baseline_hit_rate,baseline_avg_ret20,indcap_n,indcap_hit_rate,indcap_avg_ret20,indcap_coverage,weightcap_n,weightcap_win_day_rate,weightcap_avg_ret20,weightcap_avg_mdd20
2024-04,5,0.1,120,0.575,0.14278980620494958,120,0.5833333333333334,0.14087401043107378,1.0,120,1.0,0.1471446789620295,-0.008391865986564558
2024-05,5,0.1,220,0.30454545454545456,0.04024701751144028,220,0.30454545454545456,0.04024701751144028,1.0,220,0.9090909090909091,0.04043109108584698,-0.05069748415313103
2024-06,5,0.1,120,0.075,-0.1250082650299105,120,0.075,-0.1250082650299105,1.0,120,0.0,-0.13076243977907784,-0.1703769067452713
2024-07,5,0.1,180,0.15,0.04571914676360468,180,0.15,0.04571914676360468,1.0,180,0.8888888888888888,0.048323912719658066,-0.09048932143736498
2024-08,5,0.1,160,0.10625,0.029272096094576195,160,0.10625,0.029272096094576195,1.0,160,0.875,0.0314758895670542,-0.05970721525623725
2024-09,3,0.1,140,0.05,-0.037345024326959256,140,0.05714285714285714,-0.03736087618139549,1.0,140,0.0,-0.03678792169153992,-0.0695660682098693
2024-10,4,0.1,180,0.3111111111111111,0.0481432007019882,180,0.31666666666666665,0.04984904115782866,1.0,180,1.0,0.052708965848264316,-0.053988655109636054
2024-11,4,0.1,140,0.42857142857142855,0.07394062051110108,140,0.4357142857142857,0.07616546482384987,1.0,140,1.0,0.07232571923299193,-0.03026577364141005
2024-12,4,0.1,160,0.16875,0.014524769920736782,160,0.1625,0.011825076794836667,1.0,160,0.875,0.01609274945258301,-0.08185183916459951
2025-01,4,0.1,80,0.25,0.023725763306331644,80,0.25,0.024465935296503632,1.0,80,1.0,0.014016959490633535,-0.06812474726117695
2025-02,4,0.1,220,0.17272727272727273,-0.02579625119586237,220,0.16818181818181818,-0.026323596956115847,1.0,220,0.0,-0.02926714681423352,-0.07762968330342988
2025-03,4,0.1,140,0.04285714285714286,-0.06476164924089862,140,0.03571428571428571,-0.06568282295526462,1.0,140,0.0,-0.06719046732470617,-0.19888539499312527
2025-04,4,0.1,140,0.4714285714285714,0.08221404309207979,140,0.4714285714285714,0.08221404309207979,1.0,140,1.0,0.07885962257084227,-0.055413542175069566
2025-05,4,0.1,180,0.15,0.00365525542024822,180,0.15,-0.0010177357762107383,1.0,180,0.7777777777777778,0.004423818592638325,-0.05458868939379227
2025-06,4,0.1,140,0.5071428571428571,0.0894387985048624,140,0.4928571428571429,0.08694781353953382,1.0,140,1.0,0.08978004869428792,-0.03417326654618864
2025-07,5,0.1,180,0.3111111111111111,0.053133303738530105,180,0.3055555555555556,0.0524155533236096,1.0,180,0.7777777777777778,0.0581853084155655,-0.04651651106857917
2025-08,3,0.1,140,0.18571428571428572,-0.01476125854880602,140,0.1357142857142857,-0.02196208372030466,1.0,140,0.14285714285714285,-0.01589315913481101,-0.07276120435984955
2025-09,4,0.1,160,0.14375,-0.04285751703024291,160,0.125,-0.047858625985914394,1.0,160,0.0,-0.04392838334732066,-0.11118052824202143
2025-10,3,0.1,180,0.16666666666666666,-0.012887820642443057,180,0.17777777777777778,-0.014689475021502349,1.0,180,0.4444444444444444,-0.011585618761237957,-0.10009109309109691
2025-11,3,0.1,120,0.15833333333333333,-0.02701075431521066,120,0.175,-0.019462325248293815,1.0,120,0.0,-0.03084728360921245,-0.08913285628570954
2025-12,3,0.1,180,0.12222222222222222,-0.030246798527534976,180,0.15555555555555556,-0.012596797098164917,1.0,180,0.2222222222222222,-0.02436821175530428,-0.09355948738400896
2026-01,3,0.1,160,0.2125,0.04481865288098147,160,0.2125,0.0468477973980751,1.0,160,0.875,0.04507808407446419,-0.09710708097427748
2026-02,3,0.1,100,0.09,-0.0784827176491349,100,0.09,-0.08129775670138,1.0,100,0.0,-0.07534182334382214,-0.1390251324716843
2026-03,3,0.1,160,0.21875,0.016572476710064194,160,0.20625,0.012099071942945239,1.0,160,0.625,0.018459524504591752,-0.06015864256038085
