n,hit_rate,avg_ret20,median_ret20,avg_mdd20,median_mdd20,payoff_ratio,avg_picks_per_trading_day,turnover_proxy,score_name,coverage_vs_baseline,monthly_win_rate_vs_baseline
2087,0.22280785816962145,0.010225496050350875,0.0,-0.07374166568839732,-0.0514018691588784,1.3081716389005735,2.9814285714285713,1.0,B0_baseline_p20,1.0,0.0
2032,0.22588582677165353,0.006915500726922482,-0.0048449157711979,-0.0795518471204806,-0.0587277256179344,1.2479459690907933,2.9237410071942445,1.0,B1_p_now_only,1.0,0.6190476190476191
2202,0.1807447774750227,0.0014206833115954325,-0.00197937692656745,-0.07064747132096529,-0.04858148722671975,1.1444498830356964,3.2816691505216093,1.0,B2_p_hist_only,1.0,0.19047619047619047
1895,0.22585751978891822,0.012005498844093498,0.0,-0.07295832558567099,-0.0502958579881656,1.341006957578189,2.7187948350071736,1.0,E1_p20_persistence,1.0,0.2857142857142857
3004,0.20372836218375498,0.005125715523571757,-0.0034829369433817996,-0.07481390833348492,-0.05387478318472215,1.2439808532678203,4.132049518569463,1.0,E2_p20_accel,1.0,0.23809523809523808
2057,0.20563928050559066,0.0033502026352985226,-0.0025641025641025,-0.0726236083938897,-0.0506329113924051,1.1793983775096157,3.1404580152671757,1.0,E3_p20_extension_penalty,1.0,0.2857142857142857
2353,0.19422014449638758,0.001934154924860218,-0.0025706940874036,-0.07229268220374863,-0.0517241379310344,1.1523614985678088,3.5067064083457526,1.0,F1_baseline_plus_fixed,1.0,0.19047619047619047
