date,symbol,name,exchange,industryCode_l3,proxy_industryCode_l4,proxy_industryName_l4,stock_p20,industry_p20_l4,p20_gap,adv20_vnd,lead_prob_from_current_action,lead_prob_from_historical_analogs,expected_return_20d_from_analogs,expected_drawdown_20d_from_analogs
2026-04-29,BFC,CTCP Phân bón Bình Điền,HSX,1350,1353,"Hóa chất cơ bản - Sản phẩm nhựa, cao su, hóa chất",0.8388548528836592,0.16667110592725098,0.6721837469564083,9706360000.0,0.9277097057673185,0.75,0.0989555248724979,-0.024875766131400003
2026-04-29,HNG,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai,UPCOM,3570,3577,Sản phẩm thực phẩm,0.7548646560876411,0.1044633573191319,0.6504012987685092,13387845000.0,0.9097293121752822,0.6,0.11884540473787748,-0.06503595045543134
2026-04-29,DXP,CTCP Cảng Đoạn Xá,HNX,2770,2777,Dịch vụ vận tải,0.7137394916660201,0.09317745560968903,0.6205620360563311,6100365000.0,0.7774789833320402,0.65,0.0996844198890292,-0.04180344437549408
2026-04-29,PVP,CTCP Vận tải Dầu khí Thái Bình Dương,HSX,2770,2777,Dịch vụ vận tải,0.6417465958270989,0.09317745560968903,0.5485691402174099,5136495000.0,0.9334931916541978,0.35,0.0526293493735426,-0.04126610572010604
2026-04-29,STB,Ngân hàng TMCP Sài Gòn Thương Tín,HSX,8350,8355,Ngân hàng,0.6262004200781042,0.09702427728996743,0.5291761427881367,343132910000.0,0.6524008401562083,0.6,0.08496699704683285,-0.02004790260324516
2026-04-29,LPB,Ngân hàng TMCP Lộc Phát Việt Nam,HSX,8350,8355,Ngân hàng,0.6029342816885901,0.09702427728996743,0.5059100043986227,75063370000.0,0.6558685633771801,0.55,0.06840256827830608,-0.02430646602734316
2026-04-29,TIN,Công ty Tài chính Cổ phần Tín Việt,UPCOM,8350,8355,Ngân hàng,0.5972958095386127,0.09702427728996743,0.5002715322486453,4550680000.0,0.7945916190772254,0.4,0.17510702286709479,-0.026803385000849732
2026-04-29,BMP,CTCP Nhựa Bình Minh,HSX,1350,1353,"Hóa chất cơ bản - Sản phẩm nhựa, cao su, hóa chất",0.6507076985188592,0.16667110592725098,0.48403659259160825,24423305000.0,0.40141539703771845,0.9,0.14226603311573455,-0.012573184372990103
2026-04-29,TCO,CTCP Janus Group,HSX,2770,2777,Dịch vụ vận tải,0.5760101307678935,0.09317745560968903,0.4828326751582045,6212895000.0,0.902020261535787,0.25,0.007400097711849502,-0.0837326519484993
2026-04-29,PET,Tổng CTCP Dịch vụ Tổng hợp Dầu khí,HSX,5370,5373,Bán lẻ tổng hợp,0.5689632910994359,0.11999629903147045,0.4489669920679654,30073600000.0,0.5379265821988718,0.6,0.060381092393368974,-0.048862952152401995
