score_name,slice_type,slice_key,n,hit_rate,avg_ret20,avg_mdd20,payoff_ratio
B0_baseline_p20,year,2023,3580,0.22513966480446929,0.007698580076966393,-0.07976438852578056,1.031532058702796
B0_baseline_p20,year,2024,5000,0.2212,0.0165812793244085,-0.0699460685458449,1.4466421623163355
B0_baseline_p20,year,2025,4980,0.22951807228915663,0.00589354360507249,-0.0828499894249552,1.2473901846954416
B0_baseline_p20,year,2026,1140,0.20175438596491227,-0.009284054835301168,-0.10175405370795056,1.3847993572433162
B0_baseline_p20,month,2023-04,180,0.5166666666666667,0.09586509295593679,-0.03221617869111979,2.447239574485141
B0_baseline_p20,month,2023-05,400,0.4075,0.09180560153499853,-0.034341307216723106,2.733678074687356
B0_baseline_p20,month,2023-06,440,0.2636363636363636,0.020678312241761695,-0.07054149965887649,1.2439280513184097
B0_baseline_p20,month,2023-07,420,0.3380952380952381,0.0516504275229515,-0.044783898412544015,1.5656518921294806
B0_baseline_p20,month,2023-08,460,0.24565217391304348,0.00011858052959454939,-0.10071483677971614,1.0649377130823898
B0_baseline_p20,month,2023-09,380,0.034210526315789476,-0.1564531659071768,-0.19732001719327538,0.3840396210892147
B0_baseline_p20,month,2023-10,440,0.10454545454545454,-0.034284524191566516,-0.1432840849329884,1.0439009608603884
B0_baseline_p20,month,2023-11,440,0.175,0.025128129847426548,-0.036868668904842805,1.4699439987782223
B0_baseline_p20,month,2023-12,420,0.10238095238095238,0.014804266419028957,-0.037133179874451555,1.3929042479114526
B0_baseline_p20,month,2024-01,440,0.30227272727272725,0.030253272321800743,-0.04862674148058331,1.1650895656718143
B0_baseline_p20,month,2024-02,320,0.36875,0.06505149463121615,-0.025160045366648898,2.4942604838511997
B0_baseline_p20,month,2024-03,420,0.0880952380952381,-0.05604988139998865,-0.09788550764697683,0.5668339369997544
B0_baseline_p20,month,2024-04,380,0.3078947368421053,0.05982697207228744,-0.07921618282514327,1.779901153402098
B0_baseline_p20,month,2024-05,440,0.3568181818181818,0.07059027420328293,-0.03578452839745942,2.225935038333452
B0_baseline_p20,month,2024-06,400,0.2125,-0.037522964603149606,-0.10586954354449452,1.227243396485291
