"industryCode","industryName","avg_share_pct","avg_daily_value_bn_vnd","days"
"8355","Ngân hàng","23.94","5342.31","22"
"8633","Các công ty đầu cơ và phát triển bất động sản","16.02","3510.69","22"
"8781","Công ty chứng khoán","13.14","2966.54","22"
"2357","Xây dựng, xây lắp","5.66","1259.87","22"
"1757","Khai thác quặng sắt và sản xuất thép","5.05","1148.12","22"
"8637","Dịch vụ bất động sản","4.21","924.21","22"
"3577","Sản phẩm thực phẩm","3.87","856.68","22"
"5373","Bán lẻ tổng hợp","3.18","692.6","22"
"9537","Công nghệ phần mềm","2.79","615.52","22"
"0533","Thăm dò và sản xuất dầu khí","2.42","531.23","22"
"2733","Các linh kiện và thiết bị điện","2.37","527.61","22"
"1353","Hóa chất cơ bản - Sản phẩm nhựa, cao su, hóa chất","2.08","455.11","22"
"1357","Hóa chất chuyên dụng - Phân bón","1.59","349.47","22"
"2777","Dịch vụ vận tải","1.5","329.33","22"
"0573","Thiết bị, dịch vụ khai thác dầu mỏ","1.48","323.92","22"
"3573","Nông sản, Thủy sản & Đồn điền","1.34","292.95","22"
"5751","Hàng không chở khách","1.1","239.99","22"
"2773","Vận tải biển","1.09","242.47","22"
"3763","Quần áo và đồ phụ kiện","0.97","208.81","22"
"7535","Sản xuất và cung cấp điện truyền thống","0.92","205.82","22"
"7573","Phân phối khí đốt","0.54","117.93","22"
"2353","Thiết bị, vật liệu xây dựng","0.53","117.13","22"
"1775","Khai khoáng chung","0.53","116.23","22"
"5755","Dịch vụ giải trí","0.41","89.5","22"
"7537","Sản xuất và cung cấp điện bằng năng lượng thay thế","0.4","88.45","22"
"6535","Viễn thông cố định","0.39","87.94","22"
"8995","Quỹ mở","0.34","76.46","22"
"8575","Bảo hiểm nhân thọ","0.24","52.4","22"
"4577","Dược phẩm","0.23","51.59","22"
"2771","Dịch vụ bưu chính","0.19","41.05","22"
"3533","Bia","0.15","34.76","22"
"3537","Nước giải khát","0.14","31.15","22"
"3724","Sản phẩm gia dụng không lâu bền","0.13","29.31","22"
"1737","Giấy","0.12","26.54","22"
"2779","Xe tải","0.11","25.16","22"
"2791","Các dịch vụ hỗ trợ doanh nghiệp","0.11","23.86","22"
"8581","Công ty bảo hiểm","0.09","19.8","22"
"8532","Bảo hiểm tổng hợp","0.07","15.16","22"
"8777","Dịch vụ đầu tư","0.07","14.37","22"
"7577","Cung cấp nước sạch","0.06","13.46","22"
"3353","Ô tô","0.05","10.1","22"
"2757","Máy công nghiệp","0.05","10.39","22"
"1771","Khai thác than","0.04","7.9","22"
"9533","Dịch vụ điện toán","0.04","8.47","22"
"3722","Sản phẩm gia dụng lâu bền","0.03","5.44","22"
"9535","Dịch vụ internet","0.03","5.67","22"
"0587","Nhiên liệu thay thế","0.02","3.37","22"
"3357","Lốp","0.02","5.17","22"
"8775","Tài chính đặc thù","0.02","4.23","22"
"4535","Trang thiết bị y tế","0.01","1.36","22"
"4533","Các nhà cung cấp dịch vụ y tế","0.01","1.26","22"
"9578","Thiết bị viễn thông","0.01","1.81","22"
"5557","Xuất bản","0.01","3.04","22"
"5555","Các công ty truyền thông","0.01","2.26","22"
"5759","Du lịch","0.01","2.33","22"
"3767","Sản phẩm cá nhân","0.01","1.34","22"
"1755","Kim loại màu","0.01","2.43","22"
"1733","Trồng rừng, khai thác gỗ và kinh doanh lâm sản","0.01","1.56","22"
"1753","Nhôm","0.01","2.22","22"
"0577","Ống dẫn dầu khí","0.01","3.02","22"
"3726","Nội thất","0.01","2.14","22"
"8675","Tín thác đầu tư bất động sản đặc biệt","0","0","22"
"8671","Tín thác đầu tư bất động sản công nghiệp và văn phòng","0","0","22"
"8674","Tín thác đầu tư bất động sản đa dạng","0","0","22"
"8672","Tín thác đầu tư bất động sản bán lẻ","0","0","22"
"8673","Tín thác đầu tư bất động sản nhà ở","0","0","22"
"1779","Khai thác bạch kim và các kim loại quý khác","0","0","22"
"8538","Tái bảo hiểm","0","0.57","22"
"8536","Bảo hiểm tài sản và tai nạn","0","0","22"
"8534","Môi giới bảo hiểm","0","0","22"
"2713","Công nghiệp hàng không vũ trụ","0","0","22"
"2717","Công nghiệp quốc phòng","0","0","22"
"2723","Thùng, hộp, bao bì","0","0.67","22"
"8676","Tín thác đầu tư bất động sản thế chấp","0","0","22"
"9572","Phần cứng máy tính","0","0.25","22"
"0583","Thiết bị năng lượng tái tạo","0","0.01","22"
"8985","Quỹ đóng","0","0.32","22"
"0537","Dầu khí tích hợp","0","0","22"
"9576","Thiết bị bán dẫn","0","0","22"
"9574","Thiết bị điện tử văn phòng","0","0.28","22"
"8773","Tài chính cá nhân","0","0","22"
"8771","Quản lý tài sản","0","0.37","22"
"8677","Tín thác đầu tư bất động sản khách sạn và nhà nghỉ","0","0","22"
"8779","Tài chính thế chấp","0","0","22"
"1773","Kim cương và đá quý","0","0","22"
"1777","Khai thác vàng","0","0","22"
"2727","Công nghiệp đa ngành","0","0.02","22"
"3743","Đồ điện tử tiêu dùng","0","0.37","22"
"5371","Bán lẻ đồ may mặc","0","0.06","22"
"5337","Bán buôn bán lẻ thực phẩm","0","0.99","22"
"5375","Bán lẻ đồ nội thất","0","0","22"
"5553","Phát thanh truyền hình","0","0.06","22"
"5379","Bán lẻ đặc chủng","0","0.08","22"
"5377","Dịch vụ tiêu dùng đặc chủng","0","0","22"
"3747","Đồ chơi","0","0","22"
"3765","Da giầy","0","0.08","22"
"3785","Thuốc lá","0","0.2","22"
"4537","Vật tư y tế","0","0.11","22"
"5333","Bán lẻ thuốc","0","0","22"
"3745","Sản phẩm tiêu khiển","0","0","22"
"4573","Công nghệ sinh học","0","0.12","22"
"3728","Xây dựng nhà ở","0","0","22"
"2793","Đào tạo nhân sự và việc làm","0","0.01","22"
"2795","Điều hành, theo dõi tài chính","0","0","22"
"6575","Viễn thông di động","0","0.3","22"
"2775","Đường sắt","0","0.13","22"
"2737","Các thiết bị điện tử","0","0.18","22"
"2753","Các phương tiện thương mại và xe thùng","0","0","22"
"7575","Đa tiện ích","0","0.36","22"
"5753","Khách sạn","0","0.55","22"
"5752","Cờ bạc","0","0","22"
"3535","Chưng cất và bán rượu","0","0.04","22"
"3355","Linh kiện ôtô","0","0.02","22"
"2797","Các nhà cung cấp công nghiệp","0","0.44","22"
"2799","Dịch vụ xử lý nước thải, rác thải","0","0","22"
"5757","Nhà hàng và bar","0","0","22"
