date,market_status,rally_attempt_active,rally_day_count,rally_start_date,attempt_id,downtrend_low_day,day1_triggered_today,day1_low,ftd_detected,ftd_valid,ftd_date,ftd_late,ftd_low,ftd_close,distribution_count_20d,dd_flag_today,ftd_flag_today,ma50_break_flag,ma50,close,close_vs_ma50_pct,close_vs_ftd_close_pct,allow_new_buys,primary_state,ma50_primary,ma200,ma200_slope,ma50_above_ma200,breadth_pct,breadth_pass,market_status_combined
2012-02-06,downtrend,False,0,,0,False,False,,False,False,,False,,,0,False,False,False,447.47,447.47,0.0,,False,NEUTRAL,447.47,447.47,,False,,False,correction
2012-02-07,downtrend,False,0,,0,False,False,,False,False,,False,,,0,False,False,False,448.39,449.31,0.0020517852762105,,False,NEUTRAL,448.39,448.39,,False,,False,correction
2012-02-08,downtrend,False,0,,0,False,False,,False,False,,False,,,0,False,False,False,452.5866666666666,460.98,0.0185452510016499,,False,NEUTRAL,452.58666666666664,452.58666666666664,,False,,False,correction
2012-02-09,downtrend,False,0,,0,False,False,,False,False,,False,,,0,False,False,False,455.6225,464.73,0.0199891357428574,,False,NEUTRAL,455.6225,455.6225,,False,,False,correction
2012-02-10,downtrend,False,0,,0,False,False,,False,False,,False,,,0,False,False,False,456.14400000000006,458.23,0.0045731172612155,,False,NEUTRAL,456.14400000000006,456.14400000000006,,False,,False,correction
2012-02-13,downtrend,False,0,,0,False,False,,False,False,,False,,,0,False,False,False,454.49166666666673,446.23,-0.0181778177084289,,False,NEUTRAL,454.49166666666673,454.49166666666673,,False,,False,correction
2012-02-14,downtrend,False,0,,0,True,False,,False,False,,False,,,0,False,False,False,453.88142857142856,450.22,-0.0080669274857813,,False,NEUTRAL,453.88142857142856,453.88142857142856,,False,,False,correction
2012-02-15,downtrend,False,0,,0,False,False,,False,False,,False,,,0,False,False,False,452.90625,446.08,-0.0150721037742358,,False,NEUTRAL,452.90625,452.90625,,False,,False,correction
2012-02-16,downtrend,False,0,,0,True,False,,False,False,,False,,,0,False,False,False,451.8655555555556,443.54,-0.0184248510495992,,False,NEUTRAL,451.86555555555555,451.86555555555555,,False,,False,correction
2012-02-17,rally_attempt,True,1,2012-02-17,1,False,True,445.44,False,False,,False,,,0,False,False,False,451.801,451.22,-0.0012859643958291,,False,NEUTRAL,451.80100000000004,451.80100000000004,,False,,False,correction
2012-02-20,rally_attempt,True,2,2012-02-17,1,False,False,445.44,False,False,,False,,,0,False,False,False,453.04090909090905,465.44,0.0273685900330094,,False,NEUTRAL,453.04090909090905,453.04090909090905,,False,,False,correction
2012-02-21,rally_attempt,True,3,2012-02-17,1,False,False,445.44,False,False,,False,,,0,False,False,False,453.81,462.27,0.0186421630197659,,False,NEUTRAL,453.81,453.81,,False,,False,correction
