date,market_status,rally_attempt_active,rally_day_count,rally_start_date,attempt_id,downtrend_low_day,day1_triggered_today,day1_low,ftd_detected,ftd_valid,ftd_date,ftd_late,ftd_low,ftd_close,distribution_count_20d,dd_flag_today,ftd_flag_today,ma50_break_flag,ma50,close,close_vs_ma50_pct,close_vs_ftd_close_pct,allow_new_buys
2019-10-01,downtrend,False,0,,0,False,False,,False,False,,False,,,0,False,False,False,926.31,926.31,0.0,,False
2019-10-02,downtrend,False,0,,0,True,False,,False,False,,False,,,0,False,False,False,923.02,919.73,-0.003564386470498948,,False
2019-10-03,downtrend,False,0,,0,True,False,,False,False,,False,,,0,False,False,False,922.5799999999999,921.7,-0.0009538468208717399,,False
2019-10-04,downtrend,False,0,,0,False,False,,False,False,,False,,,0,False,False,False,920.725,915.16,-0.006044149990496628,,False
2019-10-07,downtrend,False,0,,0,True,False,,False,False,,False,,,0,False,False,False,918.0799999999999,907.5,-0.011524050191704327,,False
2019-10-08,downtrend,False,0,,0,True,False,,False,False,,False,,,0,False,False,False,917.6116666666667,915.27,-0.0025519146625206934,,False
2019-10-09,downtrend,False,0,,0,False,False,,False,False,,False,,,0,False,False,False,917.1728571428572,914.54,-0.0028706226120330802,,False
2019-10-10,downtrend,False,0,,0,False,False,,False,False,,False,,,0,False,False,False,916.6575,913.05,-0.003935493900393605,,False
2019-10-11,rally_attempt,True,1,2019-10-11,1,False,True,912.94,False,False,,False,,,0,False,False,False,916.6600000000001,916.68,2.1818340496970734e-05,,False
2019-10-14,rally_attempt,True,2,2019-10-11,1,False,False,912.94,False,False,,False,,,0,False,False,False,917.1850000000001,921.91,0.005151632440565379,,False
2019-10-15,rally_attempt,True,3,2019-10-11,1,False,False,912.94,False,False,,False,,,0,False,False,False,917.7381818181817,923.27,0.006027664851928627,,False
2019-10-16,rally_attempt,True,4,2019-10-11,1,False,False,912.94,False,False,,False,,,0,False,False,False,918.3133333333334,924.64,0.0068894422383063425,,False
2019-10-17,rally_attempt,True,5,2019-10-11,1,False,False,912.94,False,False,,False,,,1,True,False,False,918.3738461538462,919.1,0.0007906952590113203,,False
2019-10-18,rally_attempt,True,6,2019-10-11,1,False,False,912.94,False,False,,False,,,1,False,False,False,918.4278571428571,919.13,0.0007645051831586258,,False
2019-10-21,rally_attempt,True,7,2019-10-11,1,False,False,912.94,False,False,,False,,,2,True,False,True,918.1326666666666,914.0,-0.004501165045864841,,False
2019-10-22,rally_attempt,True,8,2019-10-11,1,False,False,912.94,False,False,,False,,,2,False,False,False,918.05,916.81,-0.0013506889602963312,,False
2019-10-23,rally_attempt,True,9,2019-10-11,1,False,False,912.94,False,False,,False,,,2,False,False,False,918.1417647058823,919.61,0.0015991379006574657,,False
