symbol,report_date,revenue,net_profit,equity,gross_profit,gross_margin,total_debt,shares_outstanding
AAA,2014-03-31,323213395902.0,14663044984.0,566862277898.0,44347525291.0,0.137208190790602,500924849932.0,19800000.0
AAA,2014-06-30,383850285048.0,15297841769.0,574506366197.0,48442418067.0,0.12620133409811676,529062762156.0,19800000.0
AAA,2014-09-30,409307011959.0,16361331560.0,570932977224.0,51291235762.0,0.12531237986007873,571668228902.0,19800000.0
AAA,2014-12-31,444272916182.0,641342778.0,786325823263.0,38663726846.0,0.08702697247059078,635324911650.0,39600000.0
AAA,2015-03-31,318379498949.0,-6652369012.0,781399493211.0,27720064271.0,0.08706610935222425,632482881668.0,39600000.0
AAA,2015-06-30,369107895242.0,5637025332.0,789180777196.0,45810887147.0,0.12411245529431113,747628868110.0,39600000.0
AAA,2015-09-30,467440978697.0,19854016189.0,807324450237.0,59413244364.0,0.12710320034331493,746508869350.0,39600000.0
AAA,2015-12-31,459620575013.0,21177198476.0,819485268245.0,56863595384.0,0.12371855934080335,1135279409795.0,49499988.0
AAA,2016-03-31,423552742882.0,28358077594.0,845169662669.0,56164070769.0,0.13260230682686683,1059664355790.0,49499988.0
AAA,2016-06-30,517094984795.0,33658682426.0,869941423079.0,69292888093.0,0.1340041774345788,1272184933719.0,51899988.0
AAA,2016-09-30,535587161272.0,38673855843.0,909028510526.0,82792453418.0,0.15458259533587576,1546666365900.0,51899988.0
AAA,2016-12-31,667534919901.0,41294860102.0,954752102324.0,98785999420.0,0.14798626480042518,2122863876413.0,56964988.0
AAA,2017-03-31,728734941879.0,66894667573.0,1056853454020.0,101744530820.0,0.1396180215506858,2154804227790.0,56964988.0
AAA,2017-06-30,853731610464.0,39129314217.0,1172988967471.0,122914975208.00002,0.14397378953930987,2199719244789.0,59249988.0
AAA,2017-09-30,1061671182278.0,52029043164.0,1222623934758.0,129032542060.0,0.12153719928908521,2554983615060.0,59249988.0
AAA,2017-12-31,1425470568520.0,65289636792.0,1624970288622.0,196693057080.0,0.1379846497176138,2951186840177.0,83599988.0
AAA,2018-03-31,1297958670465.0,49238222361.0,1512942801711.0,147525799357.0,0.11365985891072183,3273870677890.0,83599988.0
AAA,2018-06-30,2318181552195.0,36613161825.0,2889363079668.0,170103448453.0,0.0733779665755408,3600336216972.0,167199976.0
AAA,2018-09-30,2186507667133.0,42906658795.0,2927114269523.0,157839968620.0,0.07218816151098316,3758330813509.0,171199976.0
AAA,2018-12-31,2208924723596.0,51502432019.0,2980250148691.0,197466856761.0,0.08939501407704628,4548916573712.0,171199976.0
AAA,2019-03-31,2612336783301.0,214037468440.0,3124272893149.0,374652686918.0,0.14341668704927912,4857799855948.0,171199976.0
AAA,2019-06-30,2430034397763.0,131699043390.0,3222221370274.0,291414459883.0,0.1199219484922787,5129086342647.0,171199976.0
AAA,2019-09-30,2364182734557.0,63700407693.0,3210456755680.0,199576324530.0,0.08441662381372418,4727606491958.0,171199976.0
AAA,2019-12-31,1833236968875.0,58905123997.0,3265931397773.0,176495907954.0,0.09627555572496992,4724198988433.0,171199976.0
AAA,2020-03-31,1572347331826.0,58484466803.0,3240944871944.0,178765551995.0,0.11369342407786949,4527286854655.0,171199976.0
AAA,2020-06-30,1810595983352.0,67684300148.0,3241598335108.0,183365659083.0,0.10127364733436044,4544986504306.0,171199976.0
AAA,2020-09-30,1927157012492.0,78565203153.0,3966823445104.0,207211139931.0,0.1075216697901828,4239353049643.0,211199976.0
AAA,2020-12-31,2118456687374.0,57706672925.0,4024161975486.0,207592870355.0,0.09799250161320423,4545451942407.0,221759974.0
AAA,2021-03-31,2283617308096.0,75141819491.0,4127655391361.0,239097135644.0,0.10470105249086188,5051729751083.0,221759974.0
AAA,2021-06-30,3264745856008.0,86326563080.0,5215425290450.0,364025190493.0,0.11150184625339118,4426884790877.0,296759974.0
AAA,2021-09-30,3407180113876.0,62514754147.0,5297721952824.0,317756575798.0,0.09326086827752728,4659393268030.0,326434496.0
AAA,2021-12-31,4198836350021.0,60517570104.0,5458382336505.0,380688803247.0,0.09066531093670656,4533249592064.0,326434496.0
AAA,2022-03-31,4027684398467.0,88086043638.0,5373898620965.0,393675768916.0,0.09774245694767922,5103178395965.0,326434496.0
